sample_id,pair_seed,alpha_1,alpha_2,swapped,source_seed_1,source_seed_2,split
0,100,0.34,0.42,False,10000348,11001316,fit
1,100,0.42,0.34,True,11001316,10000348,fit
2,100,0.34,0.5,False,10000385,11002313,fit
3,100,0.5,0.34,True,11002313,10000385,fit
4,100,0.34,0.58,False,10000422,11003310,fit
5,100,0.58,0.34,True,11003310,10000422,fit
6,100,0.34,0.66,False,10000459,11004307,fit
7,100,0.66,0.34,True,11004307,10000459,fit
8,100,0.42,0.5,False,10001382,11002350,fit
9,100,0.5,0.42,True,11002350,10001382,fit
10,100,0.42,0.58,False,10001419,11003347,fit
11,100,0.58,0.42,True,11003347,10001419,fit
12,100,0.42,0.66,False,10001456,11004344,fit
13,100,0.66,0.42,True,11004344,10001456,fit
14,100,0.5,0.58,False,10002416,11003384,fit
15,100,0.58,0.5,True,11003384,10002416,fit
16,100,0.5,0.66,False,10002453,11004381,fit
17,100,0.66,0.5,True,11004381,10002453,fit
18,100,0.58,0.66,False,10003450,11004418,fit
19,100,0.66,0.58,True,11004418,10003450,fit
20,101,0.34,0.42,False,10100351,11101319,fit
21,101,0.42,0.34,True,11101319,10100351,fit
22,101,0.34,0.5,False,10100388,11102316,fit
23,101,0.5,0.34,True,11102316,10100388,fit
24,101,0.34,0.58,False,10100425,11103313,fit
25,101,0.58,0.34,True,11103313,10100425,fit
26,101,0.34,0.66,False,10100462,11104310,fit
27,101,0.66,0.34,True,11104310,10100462,fit
28,101,0.42,0.5,False,10101385,11102353,fit
29,101,0.5,0.42,True,11102353,10101385,fit
30,101,0.42,0.58,False,10101422,11103350,fit
31,101,0.58,0.42,True,11103350,10101422,fit
32,101,0.42,0.66,False,10101459,11104347,fit
33,101,0.66,0.42,True,11104347,10101459,fit
34,101,0.5,0.58,False,10102419,11103387,fit
35,101,0.58,0.5,True,11103387,10102419,fit
36,101,0.5,0.66,False,10102456,11104384,fit
37,101,0.66,0.5,True,11104384,10102456,fit
38,101,0.58,0.66,False,10103453,11104421,fit
39,101,0.66,0.58,True,11104421,10103453,fit
40,102,0.34,0.42,False,10200354,11201322,fit
41,102,0.42,0.34,True,11201322,10200354,fit
42,102,0.34,0.5,False,10200391,11202319,fit
43,102,0.5,0.34,True,11202319,10200391,fit
44,102,0.34,0.58,False,10200428,11203316,fit
45,102,0.58,0.34,True,11203316,10200428,fit
46,102,0.34,0.66,False,10200465,11204313,fit
47,102,0.66,0.34,True,11204313,10200465,fit
48,102,0.42,0.5,False,10201388,11202356,fit
49,102,0.5,0.42,True,11202356,10201388,fit
50,102,0.42,0.58,False,10201425,11203353,fit
51,102,0.58,0.42,True,11203353,10201425,fit
52,102,0.42,0.66,False,10201462,11204350,fit
53,102,0.66,0.42,True,11204350,10201462,fit
54,102,0.5,0.58,False,10202422,11203390,fit
55,102,0.58,0.5,True,11203390,10202422,fit
56,102,0.5,0.66,False,10202459,11204387,fit
57,102,0.66,0.5,True,11204387,10202459,fit
58,102,0.58,0.66,False,10203456,11204424,fit
59,102,0.66,0.58,True,11204424,10203456,fit
60,103,0.34,0.42,False,10300357,11301325,fit
61,103,0.42,0.34,True,11301325,10300357,fit
62,103,0.34,0.5,False,10300394,11302322,fit
63,103,0.5,0.34,True,11302322,10300394,fit
64,103,0.34,0.58,False,10300431,11303319,fit
65,103,0.58,0.34,True,11303319,10300431,fit
66,103,0.34,0.66,False,10300468,11304316,fit
67,103,0.66,0.34,True,11304316,10300468,fit
68,103,0.42,0.5,False,10301391,11302359,fit
69,103,0.5,0.42,True,11302359,10301391,fit
70,103,0.42,0.58,False,10301428,11303356,fit
71,103,0.58,0.42,True,11303356,10301428,fit
72,103,0.42,0.66,False,10301465,11304353,fit
73,103,0.66,0.42,True,11304353,10301465,fit
74,103,0.5,0.58,False,10302425,11303393,fit
75,103,0.58,0.5,True,11303393,10302425,fit
76,103,0.5,0.66,False,10302462,11304390,fit
77,103,0.66,0.5,True,11304390,10302462,fit
78,103,0.58,0.66,False,10303459,11304427,fit
79,103,0.66,0.58,True,11304427,10303459,fit
80,104,0.34,0.42,False,10400360,11401328,fit
81,104,0.42,0.34,True,11401328,10400360,fit
82,104,0.34,0.5,False,10400397,11402325,fit
83,104,0.5,0.34,True,11402325,10400397,fit
84,104,0.34,0.58,False,10400434,11403322,fit
85,104,0.58,0.34,True,11403322,10400434,fit
86,104,0.34,0.66,False,10400471,11404319,fit
87,104,0.66,0.34,True,11404319,10400471,fit
88,104,0.42,0.5,False,10401394,11402362,fit
89,104,0.5,0.42,True,11402362,10401394,fit
90,104,0.42,0.58,False,10401431,11403359,fit
91,104,0.58,0.42,True,11403359,10401431,fit
92,104,0.42,0.66,False,10401468,11404356,fit
93,104,0.66,0.42,True,11404356,10401468,fit
94,104,0.5,0.58,False,10402428,11403396,fit
95,104,0.58,0.5,True,11403396,10402428,fit
96,104,0.5,0.66,False,10402465,11404393,fit
97,104,0.66,0.5,True,11404393,10402465,fit
98,104,0.58,0.66,False,10403462,11404430,fit
99,104,0.66,0.58,True,11404430,10403462,fit
100,105,0.34,0.42,False,10500363,11501331,fit
101,105,0.42,0.34,True,11501331,10500363,fit
102,105,0.34,0.5,False,10500400,11502328,fit
103,105,0.5,0.34,True,11502328,10500400,fit
104,105,0.34,0.58,False,10500437,11503325,fit
105,105,0.58,0.34,True,11503325,10500437,fit
106,105,0.34,0.66,False,10500474,11504322,fit
107,105,0.66,0.34,True,11504322,10500474,fit
108,105,0.42,0.5,False,10501397,11502365,fit
109,105,0.5,0.42,True,11502365,10501397,fit
110,105,0.42,0.58,False,10501434,11503362,fit
111,105,0.58,0.42,True,11503362,10501434,fit
112,105,0.42,0.66,False,10501471,11504359,fit
113,105,0.66,0.42,True,11504359,10501471,fit
114,105,0.5,0.58,False,10502431,11503399,fit
115,105,0.58,0.5,True,11503399,10502431,fit
116,105,0.5,0.66,False,10502468,11504396,fit
117,105,0.66,0.5,True,11504396,10502468,fit
118,105,0.58,0.66,False,10503465,11504433,fit
119,105,0.66,0.58,True,11504433,10503465,fit
120,106,0.34,0.42,False,10600366,11601334,fit
121,106,0.42,0.34,True,11601334,10600366,fit
122,106,0.34,0.5,False,10600403,11602331,fit
123,106,0.5,0.34,True,11602331,10600403,fit
124,106,0.34,0.58,False,10600440,11603328,fit
125,106,0.58,0.34,True,11603328,10600440,fit
126,106,0.34,0.66,False,10600477,11604325,fit
127,106,0.66,0.34,True,11604325,10600477,fit
128,106,0.42,0.5,False,10601400,11602368,fit
129,106,0.5,0.42,True,11602368,10601400,fit
130,106,0.42,0.58,False,10601437,11603365,fit
131,106,0.58,0.42,True,11603365,10601437,fit
132,106,0.42,0.66,False,10601474,11604362,fit
133,106,0.66,0.42,True,11604362,10601474,fit
134,106,0.5,0.58,False,10602434,11603402,fit
135,106,0.58,0.5,True,11603402,10602434,fit
136,106,0.5,0.66,False,10602471,11604399,fit
137,106,0.66,0.5,True,11604399,10602471,fit
138,106,0.58,0.66,False,10603468,11604436,fit
139,106,0.66,0.58,True,11604436,10603468,fit
140,107,0.34,0.42,False,10700369,11701337,fit
141,107,0.42,0.34,True,11701337,10700369,fit
142,107,0.34,0.5,False,10700406,11702334,fit
143,107,0.5,0.34,True,11702334,10700406,fit
144,107,0.34,0.58,False,10700443,11703331,fit
145,107,0.58,0.34,True,11703331,10700443,fit
146,107,0.34,0.66,False,10700480,11704328,fit
147,107,0.66,0.34,True,11704328,10700480,fit
148,107,0.42,0.5,False,10701403,11702371,fit
149,107,0.5,0.42,True,11702371,10701403,fit
150,107,0.42,0.58,False,10701440,11703368,fit
151,107,0.58,0.42,True,11703368,10701440,fit
152,107,0.42,0.66,False,10701477,11704365,fit
153,107,0.66,0.42,True,11704365,10701477,fit
154,107,0.5,0.58,False,10702437,11703405,fit
155,107,0.58,0.5,True,11703405,10702437,fit
156,107,0.5,0.66,False,10702474,11704402,fit
157,107,0.66,0.5,True,11704402,10702474,fit
158,107,0.58,0.66,False,10703471,11704439,fit
159,107,0.66,0.58,True,11704439,10703471,fit
160,108,0.34,0.42,False,10800372,11801340,fit
161,108,0.42,0.34,True,11801340,10800372,fit
162,108,0.34,0.5,False,10800409,11802337,fit
163,108,0.5,0.34,True,11802337,10800409,fit
164,108,0.34,0.58,False,10800446,11803334,fit
165,108,0.58,0.34,True,11803334,10800446,fit
166,108,0.34,0.66,False,10800483,11804331,fit
167,108,0.66,0.34,True,11804331,10800483,fit
168,108,0.42,0.5,False,10801406,11802374,fit
169,108,0.5,0.42,True,11802374,10801406,fit
170,108,0.42,0.58,False,10801443,11803371,fit
