condition_type,condition_value,observation_length,model,feature_dim,cv_rmse_clean,ridge_alpha,test_rmse,median_sample_rmse,p90_sample_rmse
gaussian_noise_sigma,0.0,1024,oracle_tm,32,0.014246490859982303,1.0,0.012895214587390083,0.010835184591686194,0.019873585154825405
gaussian_noise_sigma,0.0,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.003806482622215137,0.0023959805491691327,0.005971910180661948
gaussian_noise_sigma,0.0,1024,direct_tm,32,0.021526492610639894,1.0,0.022999982370827666,0.019060518042704234,0.03619830625029551
gaussian_noise_sigma,0.0,1024,direct_fourier,32,0.054619290488102774,1.0,0.05226562103110272,0.025455249062422143,0.09368935329508785
gaussian_noise_sigma,0.01,1024,oracle_tm,32,0.014246490859982303,1.0,0.012962580046032767,0.01061297247491758,0.01986932894871436
gaussian_noise_sigma,0.01,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.003805700005500085,0.00239921405783837,0.005962854732174578
gaussian_noise_sigma,0.01,1024,direct_tm,32,0.021526492610639894,1.0,0.02295672960529763,0.018707009732969043,0.03594685191677258
gaussian_noise_sigma,0.01,1024,direct_fourier,32,0.054619290488102774,1.0,0.05226653410207077,0.025479038715262768,0.09365251563664166
gaussian_noise_sigma,0.03,1024,oracle_tm,32,0.014246490859982303,1.0,0.013365775790617228,0.01125113611148713,0.02131441236404597
gaussian_noise_sigma,0.03,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.003805584995936899,0.002448962601513213,0.005885689406344678
gaussian_noise_sigma,0.03,1024,direct_tm,32,0.021526492610639894,1.0,0.022971547392149957,0.019011703721176252,0.03578140909697339
gaussian_noise_sigma,0.03,1024,direct_fourier,32,0.054619290488102774,1.0,0.05226274209917604,0.025363422145332708,0.09380660543870094
gaussian_noise_sigma,0.1,1024,oracle_tm,32,0.014246490859982303,1.0,0.02493196159489863,0.020670417981701765,0.03891586929697096
gaussian_noise_sigma,0.1,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.003837197963388668,0.0024469368738934565,0.0061890102869527576
gaussian_noise_sigma,0.1,1024,direct_tm,32,0.021526492610639894,1.0,0.022679501145977377,0.01765937569020415,0.03530143409874211
gaussian_noise_sigma,0.1,1024,direct_fourier,32,0.054619290488102774,1.0,0.05226882518546635,0.025219997616383043,0.09363578928976778
gaussian_noise_sigma,0.3,1024,oracle_tm,32,0.014246490859982303,1.0,0.12499862411177141,0.12356891405755475,0.15257289840196292
gaussian_noise_sigma,0.3,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.004722956426214112,0.0026881669465386076,0.0073403088927091655
gaussian_noise_sigma,0.3,1024,direct_tm,32,0.021526492610639894,1.0,0.04221112184879782,0.03816424121509226,0.06240890768793477
gaussian_noise_sigma,0.3,1024,direct_fourier,32,0.054619290488102774,1.0,0.052214516999368736,0.025306620040186863,0.09298356746244706
missing_rate,0.0,1024,oracle_tm,32,0.014246490859982303,1.0,0.012895214587390083,0.010835184591686194,0.019873585154825405
missing_rate,0.0,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.003806482622215137,0.0023959805491691327,0.005971910180661948
missing_rate,0.0,1024,direct_tm,32,0.021526492610639894,1.0,0.022999982370827666,0.019060518042704234,0.03619830625029551
missing_rate,0.0,1024,direct_fourier,32,0.054619290488102774,1.0,0.05226562103110272,0.025455249062422143,0.09368935329508785
missing_rate,0.05,1024,oracle_tm,32,0.014246490859982303,1.0,0.015567491906304739,0.012543854889087505,0.02394923972639343
missing_rate,0.05,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.14570610207611762,0.04507887080433119,0.26241200553667615
missing_rate,0.05,1024,direct_tm,32,0.021526492610639894,1.0,0.02370856960609234,0.019065416031747096,0.03615978991969928
