beta,coupling_form,coupling,lambda_perp_local
1.05,output_cross,0.0,0.6628757220200099
1.05,output_cross,0.025,0.6115824276324592
1.05,output_cross,0.05,0.5575152063621834
1.05,output_cross,0.07500000000000001,0.5003567925222349
1.05,output_cross,0.1,0.4397321707058001
1.05,output_cross,0.125,0.3751936495682288
1.05,output_cross,0.15000000000000002,0.3062007780812773
1.05,output_cross,0.17500000000000002,0.2320928059275554
1.05,output_cross,0.2,0.15205009825401908
1.05,output_cross,0.225,0.06503872126438942
1.05,output_cross,0.25,-0.030271458539935524
1.05,output_cross,0.275,-0.13563197419776193
1.05,output_cross,0.30000000000000004,-0.2534150098541455
1.05,output_cross,0.325,-0.38694640247866796
1.05,output_cross,0.35000000000000003,-0.5410970823059265
1.05,output_cross,0.375,-0.7234186390998808
1.05,output_cross,0.4,-0.9465621904140907
1.05,output_cross,0.42500000000000004,-1.234244262865872
1.05,output_cross,0.45,-1.6397093709740358
1.05,output_cross,0.47500000000000003,-2.3328565515339825
1.05,output_cross,0.5,-inf
1.05,state_diffusive,0.0,0.6628757220200099
1.05,state_diffusive,0.05,0.5896449117343112
1.05,state_diffusive,0.1,0.509423887818694
1.05,state_diffusive,0.15000000000000002,0.4206508608238013
1.05,state_diffusive,0.2,0.3211545884392976
1.05,state_diffusive,0.25,0.20778030117039675
1.05,state_diffusive,0.30000000000000004,0.07566856397871254
1.05,state_diffusive,0.35000000000000003,-0.08329913102265504
1.05,state_diffusive,0.4,-0.28444269368995756
1.05,state_diffusive,0.45,-0.5633392981381887
1.05,state_diffusive,0.5,-1.0531234836016228
1.05,state_diffusive,0.55,-1.6934978253268935
1.05,state_diffusive,0.6000000000000001,-1.2577515699294486
1.05,state_diffusive,0.65,-0.9543604931673307
1.05,state_diffusive,0.7000000000000001,-0.7209004073425516
1.05,state_diffusive,0.75,-0.5344438169711492
1.05,state_diffusive,0.8,-0.37312458721296626
1.05,state_diffusive,0.8500000000000001,-0.23382041506272236
1.05,state_diffusive,0.9,-0.11571677658397757
1.05,state_diffusive,0.9500000000000001,-0.006851632654739606
1.05,state_diffusive,1.0,0.08895568697039191
1.1,output_cross,0.0,0.9010469796371766
1.1,output_cross,0.025,0.8497536852496261
1.1,output_cross,0.05,0.7956864639793503
1.1,output_cross,0.07500000000000001,0.7385280501394016
1.1,output_cross,0.1,0.6779034283229668
1.1,output_cross,0.125,0.6133649071853956
1.1,output_cross,0.15000000000000002,0.5443720356984442
1.1,output_cross,0.17500000000000002,0.47026406354472217
1.1,output_cross,0.2,0.3902213558711859
1.1,output_cross,0.225,0.3032099788815562
1.1,output_cross,0.25,0.20789979907723127
1.1,output_cross,0.275,0.10253928341940487
1.1,output_cross,0.30000000000000004,-0.015243752236978705
1.1,output_cross,0.325,-0.14877514486150117
1.1,output_cross,0.35000000000000003,-0.3029258246887596
1.1,output_cross,0.375,-0.48524738148271407
1.1,output_cross,0.4,-0.7083909327969241
1.1,output_cross,0.42500000000000004,-0.9960730052487051
1.1,output_cross,0.45,-1.4015381133568694
1.1,output_cross,0.47500000000000003,-2.094685293916816
1.1,output_cross,0.5,-inf
1.1,state_diffusive,0.0,0.9010469796371766
1.1,state_diffusive,0.05,0.8377898888584335
1.1,state_diffusive,0.1,0.7690453124410224
1.1,state_diffusive,0.15000000000000002,0.6936890717184768
1.1,state_diffusive,0.2,0.6101951357556143
1.1,state_diffusive,0.25,0.5164111905945203
1.1,state_diffusive,0.30000000000000004,0.4091471010760383
1.1,state_diffusive,0.35000000000000003,0.2833456081199316
1.1,state_diffusive,0.4,0.13017459060755632
1.1,state_diffusive,0.45,-0.06834919683542234
1.1,state_diffusive,0.5,-0.3612842151685503
1.1,state_diffusive,0.55,-1.3388933936537868
1.1,state_diffusive,0.6000000000000001,-0.9848967880134376
1.1,state_diffusive,0.65,-0.7491681713248403
1.1,state_diffusive,0.7000000000000001,-0.5541585257223788
1.1,state_diffusive,0.75,-0.39578495387126705
1.1,state_diffusive,0.8,-0.2550266379301206
1.1,state_diffusive,0.8500000000000001,-0.13317666723679036
1.1,state_diffusive,0.9,-0.02572963050084257
1.1,state_diffusive,0.9500000000000001,0.07506682492035285
1.1,state_diffusive,1.0,0.1629918239773822
1.2,output_cross,0.0,1.184530157737603
1.2,output_cross,0.025,1.1332368633500527
1.2,output_cross,0.05,1.079169642079777
1.2,output_cross,0.07500000000000001,1.0220112282398282
1.2,output_cross,0.1,0.9613866064233935
1.2,output_cross,0.125,0.8968480852858222
1.2,output_cross,0.15000000000000002,0.8278552137988707
1.2,output_cross,0.17500000000000002,0.7537472416451487
1.2,output_cross,0.2,0.6737045339716125
1.2,output_cross,0.225,0.5866931569819828
1.2,output_cross,0.25,0.4913829771776579
1.2,output_cross,0.275,0.38602246151983144
1.2,output_cross,0.30000000000000004,0.2682394258634479
1.2,output_cross,0.325,0.1347080332389254
1.2,output_cross,0.35000000000000003,-0.019442646588333036
1.2,output_cross,0.375,-0.20176420338228745
1.2,output_cross,0.4,-0.42490775469649744
1.2,output_cross,0.42500000000000004,-0.7125898271482787
1.2,output_cross,0.45,-1.1180549352564426
1.2,output_cross,0.47500000000000003,-1.8112021158163891
1.2,output_cross,0.5,-inf
1.2,state_diffusive,0.0,1.184530157737603
1.2,state_diffusive,0.05,1.1324054345755081
1.2,state_diffusive,0.1,1.076356542407918
1.2,state_diffusive,0.15000000000000002,1.0156823377952369
1.2,state_diffusive,0.2,0.9494645020138558
1.2,state_diffusive,0.25,0.8764638781077432
1.2,state_diffusive,0.30000000000000004,0.7949445152499728
1.2,state_diffusive,0.35000000000000003,0.702353254662546
1.2,state_diffusive,0.4,0.5946791901816728
1.2,state_diffusive,0.45,0.4649940058965949
1.2,state_diffusive,0.5,0.29938631826834133
1.2,state_diffusive,0.55,0.060647620491664986
1.2,state_diffusive,0.6000000000000001,-0.6738495123926166
1.2,state_diffusive,0.65,-0.49046054690147584
1.2,state_diffusive,0.7000000000000001,-0.34344294153750193
1.2,state_diffusive,0.75,-0.21136250345225507
1.2,state_diffusive,0.8,-0.09242328704448034
1.2,state_diffusive,0.8500000000000001,0.010574049565999813
1.2,state_diffusive,0.9,0.1017205581064052
1.2,state_diffusive,0.9500000000000001,0.1901716240732118
1.2,state_diffusive,1.0,0.2695404255989907
1.3,output_cross,0.0,1.3709468261828823
1.3,output_cross,0.025,1.319653531795332
1.3,output_cross,0.05,1.2655863105250562
1.3,output_cross,0.07500000000000001,1.2084278966851079
1.3,output_cross,0.1,1.1478032748686728
1.3,output_cross,0.125,1.0832647537311015
1.3,output_cross,0.15000000000000002,1.01427188224415
