coupling,input_gain,validation_nmse_tm_d16,validation_median_sync_rms
0.3,0.02,1.0509934908041159,5.211901127534521
0.3,0.05,1.0584501971228524,5.128868496780132
0.3,0.1,1.0296170495522663,4.582035854222905
0.3,0.2,1.0400552810442183,5.225061964690447
0.48,0.02,1.0533558607112468,0.15368327692645906
0.48,0.05,1.0411823933331763,0.14747128551285693
0.48,0.1,1.0403792529722227,0.10398107843299786
0.48,0.2,1.0535601044901066,0.15429402443578333
0.52,0.02,1.0484725179911778,0.0002882868999803721
0.52,0.05,1.037478937359254,0.0004835394778530113
0.52,0.1,1.039597740549419,0.000350862957798442
0.52,0.2,1.050998999448335,0.0003428369462955299
0.65,0.02,1.047367082109277,1.1132374320367633e-13
0.65,0.05,1.0370997744321735,1.1868792562236456e-13
0.65,0.1,1.042416081747975,9.305987600035407e-14
0.65,0.2,1.045025930534805,7.615118357452711e-14
0.85,0.02,1.0512463421217626,0.0
0.85,0.05,1.042767336994226,0.0
0.85,0.1,1.0422824838284304,0.0
0.85,0.2,1.029532787895036,0.0
