representation,dimension,alpha,validation_nmse,test_nmse,test_rmse,coupling,input_gain,median_sync_rms
tm_spectrum,4,100.0,1.01334744960845,1.006307706440426,0.6573394426516858,0.85,0.2,0.0
tm_spectrum,8,100.0,1.0206376624843785,1.0078251403292788,0.6578348643786155,0.85,0.2,0.0
tm_spectrum,16,100.0,1.021200591337863,1.0170265776341327,0.6608310552401346,0.85,0.2,0.0
tm_spectrum,32,100.0,1.0386184160065801,1.041615768397871,0.6687719753317761,0.85,0.2,0.0
raw_mean_dct,4,100.0,1.0126226098924769,1.0071426111151132,0.657612073966656,0.85,0.2,0.0
raw_mean_dct,8,100.0,1.0140976288357335,1.0088065322894975,0.6581550770486452,0.85,0.2,0.0
raw_mean_dct,16,100.0,1.0226511765888138,1.0204351789479724,0.6619375284960572,0.85,0.2,0.0
raw_mean_dct,32,100.0,1.1406772682391244,1.069389719762704,0.677629485962484,0.85,0.2,0.0
reservoir_flat,4,100.0,1.0120042037405028,1.0074015631815274,0.6576966096912527,0.85,0.2,0.0
reservoir_flat,8,100.0,1.0140475934903947,1.0092510651540216,0.658300069834109,0.85,0.2,0.0
reservoir_flat,16,100.0,1.0407229806070577,1.0147150212016616,0.6600796406395757,0.85,0.2,0.0
reservoir_flat,32,100.0,1.0598819359093474,1.075827108529001,0.6796659836636563,0.85,0.2,0.0
terminal_state,4,100.0,1.0202649139068605,1.0147260381347103,0.6600832239281431,0.85,0.2,0.0
terminal_state,8,100.0,1.020677150502141,1.0178778222177394,0.6611075530278097,0.85,0.2,0.0
input_oracle,4,1e-05,0.5211486528987481,0.5176327432942464,0.471449482157968,0.85,0.2,0.0
input_oracle,8,1e-05,0.26055193661695303,0.2787757997892385,0.3459806642718431,0.85,0.2,0.0
input_oracle,16,1e-05,0.004696667691397023,0.006605797889707458,0.05325825514468773,0.85,0.2,0.0
input_oracle,32,1e-05,5.421199087775785e-16,3.1130697337897616e-16,1.1561620701598567e-08,0.85,0.2,0.0
