kind,amplitude,f0,f1,phase,sample_id,phase2,ratio,split
sine,0.92795157999613,2.295251582466226,2.295251582466226,2.301985466427455,0,,,validation
chirp,0.9464101167245107,1.7537246449291943,6.177317181086064,1.1300909528143732,1,,,train
mixture,0.726720888581798,2.8041497463072353,7.855020243616095,-2.565226977581111,2,2.7702140490432363,0.6853024280316069,train
sine,0.7501670981906494,1.8598026116066868,1.8598026116066868,0.5863160647376602,3,,,train
chirp,0.9767855180337566,0.9917167102880524,6.515975544735774,-2.6888683646885116,4,,,train
mixture,0.6828746393085867,2.1089937150014597,4.923397520287054,0.21816885506109918,5,-0.3272724240509235,0.4258058661488677,train
sine,0.7314933931039497,4.053570399973642,4.053570399973642,1.3594243795092877,6,,,train
chirp,0.8818471065921039,1.8684386840208675,7.473680569651965,-1.4264191935865205,7,,,train
mixture,0.6959071000901353,3.9725395365827882,6.6797214170962365,0.4260991755643455,8,-0.4396121434457352,0.5174677706633009,validation
sine,0.9908768625224275,1.6305374876983134,1.6305374876983134,2.761626807881206,9,,,validation
chirp,0.9198026463195423,0.7986126049124802,7.522307937200829,1.212127055110499,10,,,train
mixture,0.9578969158795048,1.76585034290281,6.354695555369311,1.44280319148554,11,0.7599380595941962,0.3207738740905876,train
sine,0.527072883895319,6.962619892434665,6.962619892434665,2.7635246334268686,12,,,train
chirp,0.5008865450206661,1.9241562858824919,7.89470329433262,-2.35046522710789,13,,,test
mixture,0.6324562425536182,3.906452628465834,5.207628242778158,0.16253886511588256,14,1.047036689329727,0.6626223003123721,train
sine,0.8062377435656898,6.76933719770702,6.76933719770702,-1.2955320614245156,15,,,train
chirp,0.6446938705303769,0.5155558646961249,6.396232087897347,0.6569764634606403,16,,,test
mixture,0.6333197790384828,1.6376515067132558,5.03134084121178,2.3457287396097586,17,2.5108023177725016,0.2553413047717237,test
sine,0.5119046393230547,1.2263326425772583,1.2263326425772583,0.598251456765051,18,,,train
chirp,0.8673634330019454,0.8570522831837497,4.106425689609562,2.5076639224068886,19,,,train
mixture,0.7197166090204095,3.840383777832192,5.706695327178619,-0.7433668732031871,20,-1.9599035631208643,0.2824522486208802,train
sine,0.6649189300344016,4.126357435666345,4.126357435666345,-2.5169480141800173,21,,,train
chirp,0.8904657410792645,0.700969892328275,7.745300427146027,0.3393137449403474,22,,,test
mixture,0.9532495603337865,1.8440795064240825,7.189942755507966,-2.7703608498989567,23,-1.43442409602176,0.45967394686858426,validation
sine,0.6592502890710636,1.8953425301210776,1.8953425301210776,3.038586454473183,24,,,validation
chirp,0.721763493634618,2.3908039131417267,6.691433864953186,-2.5891208944037176,25,,,test
mixture,0.749527276513249,1.6026424462736155,6.289781701780073,1.635519960835354,26,-2.6890114249938617,0.5279682439916633,train
sine,0.5179611187365686,1.50598724976547,1.50598724976547,2.3569654746560644,27,,,train
chirp,0.9466932355990565,1.8100092565035346,4.777837192341403,-2.7671956274174336,28,,,train
mixture,0.8962000693256666,3.7219199467321804,5.8117888970630895,-2.6560090425018816,29,-0.9151653566234206,0.633347423072294,train
sine,0.5213398892284877,2.5280174133081665,2.5280174133081665,0.2387662370971011,30,,,train
chirp,0.7456226920591121,1.884163290886441,7.977785843319779,1.3557312992843116,31,,,train
mixture,0.6266165566253648,2.4290068190468888,6.149560889558802,2.7448254018286145,32,2.1350971297787975,0.5977327476170675,test
sine,0.6548081308993774,4.904282937812699,4.904282937812699,-0.20994460579824548,33,,,train
chirp,0.505806800922363,0.8738137470729108,6.185956418308475,0.9527857537892093,34,,,train
