representation,dimension,alpha,validation_nmse,test_nmse,test_rmse,test_psnr,test_ssim,classification_accuracy,classification_balanced_accuracy,classification_c,coupling,input_gain,median_sync_rms
tm_spectrum,8,100.0,1.009107364859874,1.0067674731799983,0.2737999710163625,11.25133454607731,0.5731425450117901,0.10555555555555556,0.10537323037323039,0.1,0.85,0.2,0.0
tm_spectrum,16,100.0,1.0175972238425712,1.012963053925703,0.27464115235513675,11.224706357511307,0.5717575431117367,0.10277777777777777,0.10205276705276707,0.1,0.85,0.2,0.0
tm_spectrum,32,100.0,1.0343208155673842,1.0192070348748663,0.27548630638483573,11.198099527577916,0.5704686078283314,0.11388888888888889,0.11432432432432434,1.0,0.85,0.2,0.0
raw_mean_dct,8,100.0,1.0048581582548568,1.004489931812897,0.27349009616784303,11.261172261201363,0.573529844515736,0.09166666666666666,0.09047833547833548,10.0,0.85,0.2,0.0
raw_mean_dct,16,100.0,1.0575647597054572,1.017459330842303,0.2752500074332906,11.235184385081995,0.5726885355739467,0.07777777777777778,0.07651437151437153,0.01,0.85,0.2,0.0
raw_mean_dct,32,100.0,1.3400662350660506,1.0530265565966674,0.28001962642042044,11.17606019687543,0.5699050877824806,0.11388888888888889,0.11385242385242385,1.0,0.85,0.2,0.0
reservoir_flat,8,100.0,1.0168242211050416,1.0042213975466558,0.27345353712977905,11.262896149717974,0.5735549344054368,0.09166666666666666,0.08941441441441442,0.01,0.85,0.2,0.0
reservoir_flat,16,100.0,1.1352268776757823,1.0299204137578513,0.2769304064073586,11.23075474973705,0.5723277751077951,0.09722222222222222,0.09696053196053196,100.0,0.85,0.2,0.0
reservoir_flat,32,100.0,3.4622240271073736,1.0623064525712351,0.2812507696794833,11.15731430617753,0.5681821382207867,0.11388888888888889,0.1133140283140283,0.01,0.85,0.2,0.0
terminal_state,8,100.0,1.0102835912319998,1.0033752280307264,0.2733383051645619,11.26675536612894,0.5744801997832734,0.11944444444444445,0.11659159159159158,0.01,0.85,0.2,0.0
input_oracle,8,1e-05,0.33191023899607036,0.3311751680216502,0.15703544609218553,16.271510245188377,0.8902304883019964,0.8888888888888888,0.8884491634491635,100.0,0.85,0.2,0.0
input_oracle,16,1e-05,0.15627543052144535,0.15326305542653676,0.10682860310242727,19.880482013787613,0.9532044266903423,0.9611111111111111,0.9612441012441012,1.0,0.85,0.2,0.0
input_oracle,32,1e-05,0.035989577286247465,0.03524538948962781,0.051229482286790154,26.44961233979137,0.9911449174264331,0.9611111111111111,0.9611690261690262,0.1,0.85,0.2,0.0
