model,alpha,rmse,mae
tm,0.38,0.00862724679392757,0.007249377467573054
tm,0.46,0.004784150617895307,0.003923758362950905
tm,0.54,0.005072064248371697,0.0038056648887486466
tm,0.62,0.006806426481469664,0.005011688874241513
fourier_raw,0.38,0.0040576366621333255,0.0022545127428387213
fourier_raw,0.46,0.0026412984844500667,0.0018812630637200973
fourier_raw,0.54,0.0055411631991141574,0.002644971833129686
fourier_raw,0.62,0.002658698058819026,0.0018914147826240128
fourier_cayley,0.38,0.004474085732985703,0.0032711451273008175
fourier_cayley,0.46,0.00519089670099768,0.004373959166679048
fourier_cayley,0.54,0.005150237570128926,0.003966953313193404
fourier_cayley,0.62,0.004772985794289465,0.003671572568765706
tm_shuffle,0.38,0.12410654014006484,0.12239546645050071
tm_shuffle,0.46,0.05372811091375444,0.04904840218015762
tm_shuffle,0.54,0.042966161235754606,0.037309817371715244
tm_shuffle,0.62,0.12246815759007706,0.12050465007676105
fourier_raw_shuffle,0.38,0.11884995645782173,0.11833212019685764
fourier_raw_shuffle,0.46,0.04370248545230214,0.04212984196269363
fourier_raw_shuffle,0.54,0.04180185299233591,0.039897088799370116
fourier_raw_shuffle,0.62,0.11651226791190941,0.1160421810821497
fourier_cayley_shuffle,0.38,0.11968812518406924,0.1175717550098816
fourier_cayley_shuffle,0.46,0.043451106846435404,0.03740332636112879
fourier_cayley_shuffle,0.54,0.042234268653189855,0.039153798565450794
fourier_cayley_shuffle,0.62,0.11841974904534014,0.11681278991000814
tm_instant,0.38,0.11750576845882689,0.11606239397575746
tm_instant,0.46,0.03772880283932303,0.03407842931955329
tm_instant,0.54,0.04464274320865651,0.03949576659434303
tm_instant,0.62,0.12179468677691432,0.11961456931664834
quantiles,0.38,0.11681421732798708,0.11626846843575395
quantiles,0.46,0.03853683965970325,0.03622714880818193
quantiles,0.54,0.03899425311310615,0.03640634736123466
quantiles,0.62,0.11911823891075267,0.1181183841785367
constant,0.38,0.12,0.12
constant,0.46,0.03999999999999998,0.03999999999999998
constant,0.54,0.040000000000000036,0.040000000000000036
constant,0.62,0.12,0.12
analytic,0.38,0.012261366980796664,0.009993119251571887
analytic,0.46,0.011739377464174125,0.009629140978746845
analytic,0.54,0.011903109684920447,0.00848970000727744
analytic,0.62,0.010223078586544695,0.008362097574917992
