model,dimension,rmse,mae,r2
tm,16,0.006507126123821933,0.004997622398378529,0.9947071637010843
fourier_raw,16,0.0039119700258639445,0.0021680406055781293,0.9980870613145928
fourier_cayley,16,0.004905843253911385,0.003820907543984744,0.9969915877460065
tm_shuffle,16,0.09371990696050524,0.08231458401978366,-0.09792762008571998
fourier_raw_shuffle,16,0.0885405597343729,0.07910030801026778,0.020071160240493047
fourier_cayley_shuffle,16,0.08947096792939166,0.07773541746161733,-0.000631762777778988
tm_instant,16,0.08952372371761111,0.07731278980157552,-0.0018121385333957907
quantiles,16,0.08780711246527244,0.0767550871959268,0.036238875063874576
constant,0,0.08944271909999157,0.08000000000000002,0.0
analytic,0,0.011558000037225792,0.009118514453128541,0.9833015793924361
