model,seed,rmse,mae,r2
tm,530000,0.007046155518004897,0.005848374357346989,0.9937939615520112
tm,530001,0.0036054184821257894,0.0033956243635426125,0.9983751196960933
tm,530002,0.009675691803472272,0.008252614859048671,0.9882976235155274
tm,530003,0.004221807399480826,0.0037894591705415204,0.9977720427852111
tm,530004,0.008514241391723241,0.006674931910137016,0.9909384616904333
tm,530005,0.005727788100887795,0.003187723543192106,0.995899055433916
tm,530006,0.007465021436313827,0.006876547670000413,0.9930341818694218
tm,530007,0.0031810493756421563,0.002386748316925813,0.9987351156087159
tm,530008,0.0054891849461291805,0.003994681835163175,0.9962336060783986
tm,530009,0.005385019227619876,0.0043890153075832605,0.9963751959897705
tm,530010,0.0066883292025422154,0.0054728414114755125,0.9944082815598027
tm,530011,0.004413761382786447,0.0040981366150688175,0.9975648388069779
tm,530012,0.004008305542783314,0.002519693744898757,0.9979916858344615
tm,530013,0.0050106637518591126,0.003966270665723165,0.9968616560957256
tm,530014,0.009817424366958495,0.006989099144203509,0.9879522723498813
tm,530015,0.0039703097273086855,0.0035156167015812922,0.9980295800836547
tm,530016,0.004340095515097902,0.003572055769486937,0.9976454463649784
tm,530017,0.009159170679285594,0.008462505792577596,0.9895136990584644
tm,530018,0.002604164382178635,0.0023408157362002635,0.9991522909838241
tm,530019,0.0055924874281563265,0.004741757314709119,0.9960905105457392
tm,530020,0.005637688476473641,0.004885356090792409,0.9960270585802795
tm,530021,0.009595607031324695,0.008303340642081422,0.988490540712549
tm,530022,0.0056731860348128195,0.0048487753884191576,0.9959768700268006
tm,530023,0.004829294707056388,0.004417814582467511,0.9970847390790496
tm,530024,0.00900171645440326,0.008643753198399676,0.9898711376093157
tm,530025,0.004202669269439439,0.0030242175549480693,0.9977921963764637
tm,530026,0.00264139902150849,0.0021699523698429507,0.9991278764011468
tm,530027,0.009589345703190175,0.008581830939060106,0.9885055561230885
tm,530028,0.0020785876680976217,0.0016458373751610522,0.9994599341632541
tm,530029,0.008077530856621917,0.005928226242346582,0.9918441869075401
tm,530030,0.0067905648508459785,0.005348812301322767,0.9942360286258068
tm,530031,0.004831015176744738,0.003959338088184286,0.9970826615452577
tm,530032,0.00558137666298354,0.00504871517133916,0.9961060293182379
tm,530033,0.003849214778206107,0.0037104800363270962,0.998147943198905
tm,530034,0.006379775586452114,0.005506685883467935,0.9949123079333136
tm,530035,0.0061505013960897244,0.0046244105190517415,0.9952714165720873
tm,530036,0.0070150895347205365,0.00508264086204771,0.9938485648524819
tm,530037,0.010021109561968852,0.00906759551990051,0.987447170393377
tm,530038,0.004627672985365473,0.00419286260531343,0.9973230803425648
tm,530039,0.0023895065911792718,0.002225814318795108,0.9992862822813389
tm,530040,0.0015015373617937044,0.0014086432980295882,0.9997181731938922
tm,530041,0.008048225212286595,0.006706889754906367,0.9919032588665393
tm,530042,0.00679224285699555,0.004677489270625598,0.9942331796214491
tm,530043,0.007636522658343415,0.005412514124104886,0.9927104402110759
tm,530044,0.006299838294496,0.005682645703500133,0.9950390046829002
tm,530045,0.004914921949358381,0.004603436108329001,0.9969804427789644
tm,530046,0.006229186346430382,0.004389280924406866,0.9951496546826807
tm,530047,0.013355599074942116,0.011314002019591748,0.9777034966686756
fourier_raw,530000,0.0012502191036362418,0.0010645812416741895,0.9998046190241129
fourier_raw,530001,0.00339353787841798,0.003073108395078003,0.9985604875834678
fourier_raw,530002,0.004300776006633292,0.002911743898707783,0.997687915717596
fourier_raw,530003,0.001250640356481285,0.0009701530233419547,0.9998044873373425
fourier_raw,530004,0.0034987762428798407,0.002152975832029197,0.9984698206002824
fourier_raw,530005,0.0005295810714486972,0.0004292045300446773,0.9999649429860954
fourier_raw,530006,0.002821342662025979,0.0020699203916476894,0.9990050031979291
fourier_raw,530007,0.003047525605707288,0.002501486827293356,0.9988390734603197
fourier_raw,530008,0.004161610726163544,0.0031189834111249592,0.9978351245204851
fourier_raw,530009,0.0021296476496015402,0.0021146930340553427,0.9994330751110684
fourier_raw,530010,0.0012122396453235515,0.0011465574153939617,0.9998163093802882
fourier_raw,530011,0.0036775247957786246,0.003066144648977087,0.9983094764220541
fourier_raw,530012,0.002488727827782653,0.0021965131818186823,0.9992257792249025
fourier_raw,530013,0.0015487123319987753,0.0012463929306626431,0.9997001862640894
fourier_raw,530014,0.0021168656332026313,0.001509290048676698,0.9994398599863707
fourier_raw,530015,0.001832414215089052,0.0017937309734686602,0.9995802822680424
fourier_raw,530016,0.0029031515221199637,0.0020434865840801425,0.9989464639049516
fourier_raw,530017,0.010749547044594457,0.006187509037911279,0.9855559047920063
fourier_raw,530018,0.005066753612271058,0.00424925970066449,0.9967910009790673
fourier_raw,530019,0.002198678284465221,0.0015487935224121757,0.9993957267251776
fourier_raw,530020,0.0031545551565593617,0.002264980406860878,0.9987560977205281
fourier_raw,530021,0.0017099397605956621,0.0012772966682364079,0.9996345132518918
fourier_raw,530022,0.0016337617721238012,0.0012243111575401672,0.9996663528089934
fourier_raw,530023,0.0021589589290908376,0.0014737449754887305,0.9994173620428124
fourier_raw,530024,0.0007786533004969604,0.0006762155917719448,0.9999242123797032
fourier_raw,530025,0.001026595970505894,0.0008309973399632936,0.9998682625891676
fourier_raw,530026,0.003263508927548537,0.0029333953226912263,0.9986686886849764
fourier_raw,530027,0.004709259196132465,0.0037584289393417236,0.9972278597279552
fourier_raw,530028,0.0029081329731460138,0.0021338421194470047,0.9989428453263126
fourier_raw,530029,0.001080264140999441,0.0010349531255470362,0.9998541286732089
fourier_raw,530030,0.0008516247170429367,0.0008421147298485893,0.9999093419176652
fourier_raw,530031,0.0037431236430543234,0.002173440656603562,0.998248628174101
fourier_raw,530032,0.00450716856414356,0.0034359846186954174,0.9974606789417995
fourier_raw,530033,0.002262097657685168,0.0018546972882654,0.9993603642733869
fourier_raw,530034,0.0012176479379353317,0.0009980659740439768,0.9998146666874053
fourier_raw,530035,0.016560164823032228,0.009105518896505044,0.9657201176292507
fourier_raw,530036,0.002822241762919749,0.0023351686815666073,0.999004368928954
fourier_raw,530037,0.0010285030349934774,0.0007881354162985466,0.9998677726883761
fourier_raw,530038,0.001803031531154007,0.001378934065892748,0.9995936346622081
fourier_raw,530039,0.0023309645919506127,0.0021872477099506293,0.999320825508884
fourier_raw,530040,0.0033691150358760866,0.002985591937575402,0.9985811329843792
fourier_raw,530041,0.0015048896653530334,0.001064120021072229,0.9997169133868892
fourier_raw,530042,0.0013082977553466701,0.0012322321772767764,0.9997860446229193
fourier_raw,530043,0.0029550054663325725,0.0023787278603468742,0.9989084928367431
fourier_raw,530044,0.0047522909534369415,0.0028872990201941617,0.9971769663367351
fourier_raw,530045,0.0037151980338663865,0.002885310421387649,0.9982746629461444
fourier_raw,530046,0.0022830365438665273,0.001996216622059538,0.9993484680174213
fourier_raw,530047,0.000565686372535559,0.0005344486942156779,0.9999599998659909
fourier_cayley,530000,0.004290402945899083,0.003818486172915192,0.9976990553202275
fourier_cayley,530001,0.004317330035884391,0.003821449243198577,0.9976700826701563
fourier_cayley,530002,0.005414977119450053,0.004375281262928785,0.996334752849479
fourier_cayley,530003,0.007061303835476151,0.004492967182038718,0.9937672485178862
fourier_cayley,530004,0.006434979250330374,0.004653276483163715,0.9948238802559772
fourier_cayley,530005,0.0016208338806815601,0.0012518767996654995,0.9996716121914043
fourier_cayley,530006,0.00365946663850014,0.0032837856374690194,0.998326037990213
fourier_cayley,530007,0.006089047565634502,0.004596804568979679,0.99536543746793
fourier_cayley,530008,0.0009839480207946862,0.0008758518232057921,0.9998789807865468
fourier_cayley,530009,0.0032772667420441484,0.00254953986145684,0.9986574403376864
fourier_cayley,530010,0.003761043090258564,0.003758180862895019,0.9982318193591523
fourier_cayley,530011,0.004808143700927482,0.004094599177714264,0.997110219268904
fourier_cayley,530012,0.0018193950033755595,0.0014562646982853866,0.9995862252277115
fourier_cayley,530013,0.004492971750101067,0.003702041702234926,0.9974766506065992
fourier_cayley,530014,0.0034391593376588564,0.0022135246635423544,0.9985215228812743
fourier_cayley,530015,0.005953438042235353,0.00472859913062898,0.9955695719346581
fourier_cayley,530016,0.0027746216909290845,0.0018538990907092379,0.9990376843090282
fourier_cayley,530017,0.005478555814970768,0.004715077633975398,0.9962481782727812
fourier_cayley,530018,0.00819927034794197,0.0064349722763252515,0.99159649572017
fourier_cayley,530019,0.002628582023590545,0.0026036514339831812,0.9991363195681571
fourier_cayley,530020,0.005799044990608002,0.005601655446338921,0.9957963846496131
fourier_cayley,530021,0.0035823275419600707,0.003189248795312391,0.9983958661727643
fourier_cayley,530022,0.004099908883696466,0.003256294576111457,0.9978988433931734
fourier_cayley,530023,0.0030549484950003125,0.00281502038870865,0.998833411211612
fourier_cayley,530024,0.004179336650114253,0.0035600031289421963,0.9978166431456265
fourier_cayley,530025,0.005369009098976976,0.0041224131957222215,0.9963967176618878
fourier_cayley,530026,0.0011176047758031619,0.001089657321872592,0.9998438699456378
fourier_cayley,530027,0.00370427614134906,0.0036554151578458843,0.998284792283579
fourier_cayley,530028,0.0023629662734136183,0.0021720723960809013,0.9993020487988388
fourier_cayley,530029,0.0077691787741868586,0.006567016944055912,0.9924549826468405
fourier_cayley,530030,0.003230728941596576,0.003064334337678956,0.9986952988132413
fourier_cayley,530031,0.0038461587069315408,0.0025723082456034357,0.9981508829001369
fourier_cayley,530032,0.004796246974667123,0.004389097012925627,0.9971245018697495
fourier_cayley,530033,0.0040418366888790936,0.0032395515698932092,0.9979579445225538
fourier_cayley,530034,0.0027783650458193254,0.002266253740308699,0.9990350859590211
fourier_cayley,530035,0.005284179090066241,0.004149495636292452,0.9965096814180133
fourier_cayley,530036,0.0038089785644709827,0.00326847429013416,0.998186460286925
fourier_cayley,530037,0.007924929256658615,0.007578900334401117,0.9921494370346196
fourier_cayley,530038,0.007855376002581082,0.007485899239410454,0.9922866334822592
fourier_cayley,530039,0.005333278966169151,0.004977945894711219,0.9964445169336272
fourier_cayley,530040,0.0011840702166628057,0.0009849772621754044,0.9998247472152515
fourier_cayley,530041,0.006042983021168332,0.005527259110337482,0.9954352945257339
fourier_cayley,530042,0.008763059058313752,0.0071448257630500195,0.9904010994925632
fourier_cayley,530043,0.004259309674835625,0.0030627207739298,0.9977322851367314
fourier_cayley,530044,0.004842418906476491,0.004726447751284751,0.9970688723917749
fourier_cayley,530045,0.006171136056374573,0.005657726073187722,0.9952396349717142
fourier_cayley,530046,0.0033068807761639156,0.0026544636493249785,0.9986330674415297
fourier_cayley,530047,0.006332145312703154,0.00534395437031128,0.9949879919673514
tm_shuffle,530000,0.11573335394175256,0.09751275489584316,-0.6742761518258715
tm_shuffle,530001,0.09590500571741235,0.08898009417636117,-0.14972126520711204
tm_shuffle,530002,0.09174195880610109,0.0856370911761937,-0.052073375697543556
tm_shuffle,530003,0.10990551854109713,0.08551855772185082,-0.5099028757234307
tm_shuffle,530004,0.08707771126235055,0.08123647646301126,0.05218402516383858
tm_shuffle,530005,0.0823195462243222,0.06670838040592296,0.1529365386777103
tm_shuffle,530006,0.09076996141941947,0.07233690109577853,-0.029898237010362205
tm_shuffle,530007,0.09242808894720406,0.08347732810914006,-0.06786895330403286
tm_shuffle,530008,0.09320367350084881,0.08004183781264902,-0.08586559425660312
tm_shuffle,530009,0.08400524849407412,0.0713239237020764,0.11788977818110735
tm_shuffle,530010,0.10035225064698261,0.09739707215117716,-0.25882177623935254
tm_shuffle,530011,0.10888334479507343,0.10161211386525118,-0.48194784672035573
tm_shuffle,530012,0.10022517947089984,0.08867942096394889,-0.2556358249967603
tm_shuffle,530013,0.08581840095570811,0.071480943029198,0.07940025717566457
tm_shuffle,530014,0.08310433032139868,0.07037900152137729,0.136708785228982
tm_shuffle,530015,0.08298545044213446,0.07325806793682951,0.13917687686450586
tm_shuffle,530016,0.09209749279774611,0.08085210948639808,-0.060243522453862
tm_shuffle,530017,0.08471861911468827,0.06886559908472668,0.1028444469125469
tm_shuffle,530018,0.09288019022730068,0.08873949780751095,-0.0783412170824449
tm_shuffle,530019,0.106475358865137,0.09963752618955415,-0.4171252556824634
tm_shuffle,530020,0.08596159746471219,0.07249869308914476,0.07632547016434832
tm_shuffle,530021,0.09252350234397759,0.0897673557273645,-0.07007481074950328
tm_shuffle,530022,0.09479187236779293,0.078638376300012,-0.12318738337399315
tm_shuffle,530023,0.10437893120125663,0.09640829347721247,-0.36187015983958326
tm_shuffle,530024,0.09965550297974615,0.08934924176766985,-0.24140240926827428
tm_shuffle,530025,0.08497769077194677,0.0798155052958915,0.09734900888342424
tm_shuffle,530026,0.09528407965602444,0.08550971074760287,-0.13488197948695113
tm_shuffle,530027,0.08654052232021159,0.07978991917984214,0.06384224956812001
tm_shuffle,530028,0.08246317994308659,0.0783306012433952,0.14997799420926516
tm_shuffle,530029,0.08271536632541927,0.07365930849157028,0.14477102170646206
tm_shuffle,530030,0.08717683154328552,0.06784865416135205,0.05002500525920228
tm_shuffle,530031,0.12372110037467302,0.11309809453849767,-0.9133638347399893
tm_shuffle,530032,0.09008351807433375,0.07666055721771382,-0.014380028581101989
tm_shuffle,530033,0.09748267055947733,0.08624345267234812,-0.18785888242594861
tm_shuffle,530034,0.10007873234005674,0.08207136767948672,-0.25196908334908996
tm_shuffle,530035,0.07938762492797846,0.07735447573912149,0.21220062603682666
tm_shuffle,530036,0.09145611933321397,0.08481038194175897,-0.04552772043638442
tm_shuffle,530037,0.10147172785566198,0.08717863881948594,-0.2870639442516909
tm_shuffle,530038,0.08066117301036081,0.07524494735872185,0.18672189607408018
tm_shuffle,530039,0.08233736082873012,0.06590306774844999,0.15256987646993736
tm_shuffle,530040,0.10919164942647357,0.09383649713349644,-0.4903520380592379
tm_shuffle,530041,0.09002402677322066,0.07050795212294154,-0.013040674558193688
tm_shuffle,530042,0.06085971954347443,0.05400285088531076,0.5370118171362045
tm_shuffle,530043,0.09291513359770881,0.08725101172641637,-0.07915275643500963
tm_shuffle,530044,0.10192953328029065,0.09518325724834586,-0.29870371934223483
tm_shuffle,530045,0.10253719378557082,0.09399016889485858,-0.3142345136774627
tm_shuffle,530046,0.08390134248190924,0.07174424990362939,0.12007059121667141
tm_shuffle,530047,0.10290757772947928,0.0907287042431755,-0.3237461942686024
fourier_raw_shuffle,530000,0.07985144653393407,0.07360183433949277,0.20296831080478372
fourier_raw_shuffle,530001,0.08660788219562723,0.07730662514781407,0.062384342698544426
fourier_raw_shuffle,530002,0.08972494738427145,0.07913931145248103,-0.006320772888785076
fourier_raw_shuffle,530003,0.09032531032473541,0.08015671449926766,-0.019832710657469388
fourier_raw_shuffle,530004,0.0884234533173305,0.07649583362034447,0.022661612929734565
fourier_raw_shuffle,530005,0.09016770852315538,0.08508562275207297,-0.016276957539588466
fourier_raw_shuffle,530006,0.0951219686387048,0.08333727085998685,-0.1310236147128423
fourier_raw_shuffle,530007,0.08722069276899878,0.07809097268015754,0.04906884411199053
fourier_raw_shuffle,530008,0.08181585975481846,0.07496407874079465,0.16327063657248464
fourier_raw_shuffle,530009,0.09035745652742318,0.07813705857316015,-0.020558743763146037
fourier_raw_shuffle,530010,0.09547720822203591,0.08837387970112633,-0.1394871612342501
fourier_raw_shuffle,530011,0.090753576400311,0.08023612853271683,-0.02952645368088569
fourier_raw_shuffle,530012,0.08960984573109923,0.081611593286936,-0.003740556493925462
fourier_raw_shuffle,530013,0.08724477125313672,0.08127702066371645,0.04854373612348106
fourier_raw_shuffle,530014,0.08356420261427606,0.0731218053714682,0.1271280051800272
fourier_raw_shuffle,530015,0.08420722377749541,0.07858900330545147,0.11364293296085137
fourier_raw_shuffle,530016,0.09097534400417255,0.08340421249923351,-0.03456415208469177
fourier_raw_shuffle,530017,0.09259650664127925,0.08069442285021149,-0.07176413027105899
fourier_raw_shuffle,530018,0.09467618182100193,0.08493475489959702,-0.12044742552542709
fourier_raw_shuffle,530019,0.08798462871348026,0.07264561984859269,0.032338138768878144
fourier_raw_shuffle,530020,0.08942101055542846,0.07742731067174385,0.0004853589057438601
fourier_raw_shuffle,530021,0.09080167622230677,0.08189449084843953,-0.030618050597578605
fourier_raw_shuffle,530022,0.08133232417496844,0.07042135108649902,0.17313163053723046
fourier_raw_shuffle,530023,0.09559100394364849,0.08194591874796495,-0.14220500436932748
fourier_raw_shuffle,530024,0.09290688330691073,0.084876429310373,-0.078961120725491
fourier_raw_shuffle,530025,0.10060327352928754,0.09115419291607413,-0.26512733060108085
fourier_raw_shuffle,530026,0.08279112342658072,0.07271693020981608,0.1432037352205846
fourier_raw_shuffle,530027,0.09019094347827261,0.07918879114557557,-0.016800785687620667
