alpha,baseline,target,horizon,mean_difference,lower,upper
0.25,euclidean_fourier,cayley,1,-0.4676107039178159,-0.4758987301127686,-0.4597475113327196
0.25,euclidean_fourier,cdf,1,-0.6309538258956204,-0.6407104535630256,-0.6214435429220917
0.25,cdf_cosine,cayley,1,-0.003304396758119336,-0.003486396336442135,-0.003120536983177649
0.25,cdf_cosine,cdf,1,0.06199391972391884,0.05693267204937114,0.06715432275228475
0.25,cdf_legendre,cayley,1,4.538607518182146e-05,4.4993721807712404e-05,4.577167145346587e-05
0.25,cdf_legendre,cdf,1,0.021272271286955562,0.015884854771556687,0.026789876909350033
0.25,cdf_rbf,cayley,1,1.0309317067096439e-05,1.0077039163349642e-05,1.0540981550412923e-05
0.25,cdf_rbf,cdf,1,0.04147532391342552,0.03631817100974621,0.04679830646420339
0.5,euclidean_fourier,cayley,1,-0.457379381773902,-0.46636659562353977,-0.44929185380778985
0.5,euclidean_fourier,cdf,1,-0.6312842903023225,-0.6446408854978201,-0.6194409864745789
0.5,cdf_cosine,cayley,1,-0.0005685072167461155,-0.0005964408349141777,-0.0005399743818823626
0.5,cdf_cosine,cdf,1,0.06070803238944678,0.056193841364281655,0.0649461633987446
0.5,cdf_legendre,cayley,1,-9.584139179429593e-11,-9.918643221136601e-11,-9.22503777929872e-11
0.5,cdf_legendre,cdf,1,0.021354940312270036,0.016511468341359574,0.02583295603956277
0.5,cdf_rbf,cayley,1,-4.987614749037605e-07,-5.122426016077759e-07,-4.851976301914202e-07
0.5,cdf_rbf,cdf,1,0.04124618220255057,0.03658302472062347,0.045627418693036104
0.75,euclidean_fourier,cayley,1,-0.35817391372293156,-0.37139346613956403,-0.3447715928686721
0.75,euclidean_fourier,cdf,1,-0.6536110700901586,-0.6758713930346484,-0.6315098187574217
0.75,cdf_cosine,cayley,1,-0.00034028062067457504,-0.00037367058493605683,-0.0003085473138501988
0.75,cdf_cosine,cdf,1,0.06298604860699371,0.052895213418854996,0.07375369642889265
0.75,cdf_legendre,cayley,1,-0.003771458552928822,-0.0038627697092960506,-0.003688089185709196
0.75,cdf_legendre,cdf,1,0.023221701513772456,0.012981898215882269,0.034117606489273526
0.75,cdf_rbf,cayley,1,-0.0007425648138051087,-0.0007505556211267916,-0.0007343521989727123
0.75,cdf_rbf,cdf,1,0.04341902199568586,0.03329465736753426,0.05421131407970086
