alpha,dictionary,horizon,target,nmse
0.25,tm,1,cayley,4.594984878553453e-05
0.25,tm,1,cdf,0.13987423477981578
0.25,tm,2,cayley,0.07447485143092941
0.25,tm,2,cdf,0.28740384334231184
0.25,tm,3,cayley,0.411746730211969
0.25,tm,3,cdf,0.6155149433708699
0.25,tm,4,cayley,0.5745303775020422
0.25,tm,4,cdf,0.7389539541938356
0.25,phase_fourier,1,cayley,4.594984878553452e-05
0.25,phase_fourier,1,cdf,0.13987423477981578
0.25,phase_fourier,2,cayley,0.0744748514309294
0.25,phase_fourier,2,cdf,0.28740384334231184
0.25,phase_fourier,3,cayley,0.41174673021196906
0.25,phase_fourier,3,cdf,0.6155149433708696
0.25,phase_fourier,4,cayley,0.5745303775020422
0.25,phase_fourier,4,cdf,0.7389539541938356
0.25,euclidean_fourier,1,cayley,0.4676566537666014
0.25,euclidean_fourier,1,cdf,0.7708280606754361
0.25,euclidean_fourier,2,cayley,0.6330960115057128
0.25,euclidean_fourier,2,cdf,0.8655483610634894
0.25,euclidean_fourier,3,cayley,0.6872919943520316
0.25,euclidean_fourier,3,cdf,0.8649572035673523
0.25,euclidean_fourier,4,cayley,0.8737745323354317
0.25,euclidean_fourier,4,cdf,0.9285726173999485
0.25,cdf_cosine,1,cayley,0.0033503466069048707
0.25,cdf_cosine,1,cdf,0.07788031505589695
0.25,cdf_cosine,2,cayley,0.04663414179661379
0.25,cdf_cosine,2,cdf,0.25285749336735985
0.25,cdf_cosine,3,cayley,0.37470661292730095
0.25,cdf_cosine,3,cdf,0.5965039319572304
0.25,cdf_cosine,4,cayley,0.6026039322340292
0.25,cdf_cosine,4,cdf,0.761358536483742
0.25,cdf_legendre,1,cayley,5.637736037130776e-07
0.25,cdf_legendre,1,cdf,0.11860196349286023
0.25,cdf_legendre,2,cayley,0.02065354077383647
0.25,cdf_legendre,2,cdf,0.32180782519093626
0.25,cdf_legendre,3,cayley,0.24422690081194146
0.25,cdf_legendre,3,cdf,0.5187942858577292
0.25,cdf_legendre,4,cayley,0.8283957088368914
0.25,cdf_legendre,4,cdf,0.9289399702902753
0.25,cdf_rbf,1,cayley,3.564053171843809e-05
0.25,cdf_rbf,1,cdf,0.09839891086639026
0.25,cdf_rbf,2,cayley,0.02087578993061201
0.25,cdf_rbf,2,cdf,0.26798818494731963
0.25,cdf_rbf,3,cayley,0.4195988915454903
0.25,cdf_rbf,3,cdf,0.6657522225366249
0.25,cdf_rbf,4,cayley,0.8483093732891239
0.25,cdf_rbf,4,cdf,0.9219557352200952
0.5,tm,1,cayley,6.624669051622968e-09
0.5,tm,1,cdf,0.13720004382933193
0.5,tm,2,cayley,1.4903586812991047e-08
0.5,tm,2,cdf,0.24250911100936745
0.5,tm,3,cayley,2.6498619562291386e-08
0.5,tm,3,cdf,0.3942206752054851
0.5,tm,4,cayley,1.0009192650163259
0.5,tm,4,cdf,0.9998279633316521
0.5,phase_fourier,1,cayley,6.624669051348025e-09
0.5,phase_fourier,1,cdf,0.13720004382933193
0.5,phase_fourier,2,cayley,1.49035868124011e-08
0.5,phase_fourier,2,cdf,0.24250911100936745
0.5,phase_fourier,3,cayley,2.649861956127177e-08
0.5,phase_fourier,3,cdf,0.3942206752054851
0.5,phase_fourier,4,cayley,1.0009192650163259
0.5,phase_fourier,4,cdf,0.9998279633316519
0.5,euclidean_fourier,1,cayley,0.45737938839857106
0.5,euclidean_fourier,1,cdf,0.7684843341316544
0.5,euclidean_fourier,2,cayley,0.4762542943693366
0.5,euclidean_fourier,2,cdf,0.7535605274948877
0.5,euclidean_fourier,3,cayley,0.8491007744473537
0.5,euclidean_fourier,3,cdf,0.9419216092658683
0.5,euclidean_fourier,4,cayley,0.9558619902830624
0.5,euclidean_fourier,4,cdf,0.9801973386114721
0.5,cdf_cosine,1,cayley,0.0005685138414151671
0.5,cdf_cosine,1,cdf,0.07649201143988514
0.5,cdf_cosine,2,cayley,0.0029517716590061575
0.5,cdf_cosine,2,cdf,0.22635099238647974
0.5,cdf_cosine,3,cayley,0.22354976205790697
0.5,cdf_cosine,3,cdf,0.5450078565872515
0.5,cdf_cosine,4,cayley,0.9934899403518926
0.5,cdf_cosine,4,cdf,0.9754988321283432
0.5,cdf_legendre,1,cayley,6.720510443417264e-09
0.5,cdf_legendre,1,cdf,0.11584510351706188
0.5,cdf_legendre,2,cayley,0.0002116794814547559
0.5,cdf_legendre,2,cdf,0.28816204606043344
0.5,cdf_legendre,3,cayley,0.7571551627070519
0.5,cdf_legendre,3,cdf,0.8241442992754808
0.5,cdf_legendre,4,cayley,0.9432935736726629
0.5,cdf_legendre,4,cdf,0.9307252245989184
0.5,cdf_rbf,1,cayley,5.053861439553835e-07
0.5,cdf_rbf,1,cdf,0.09595386162678136
0.5,cdf_rbf,2,cayley,2.989547444052701e-05
0.5,cdf_rbf,2,cdf,0.2902343592435059
0.5,cdf_rbf,3,cayley,0.8613498798024267
0.5,cdf_rbf,3,cdf,0.8436209999160543
0.5,cdf_rbf,4,cayley,0.9680372274458691
0.5,cdf_rbf,4,cdf,0.9449523021212665
0.75,tm,1,cayley,4.619423704000922e-05
0.75,tm,1,cdf,0.13858368857673511
0.75,tm,2,cayley,0.022217306969546446
0.75,tm,2,cdf,0.2865092591290481
0.75,tm,3,cayley,0.46506002068626834
0.75,tm,3,cdf,0.6015285290084221
0.75,tm,4,cayley,0.7182210778562057
0.75,tm,4,cdf,0.7648515119499338
0.75,phase_fourier,1,cayley,4.619423704000915e-05
0.75,phase_fourier,1,cdf,0.13858368857673511
0.75,phase_fourier,2,cayley,0.02221730696954644
0.75,phase_fourier,2,cdf,0.2865092591290481
0.75,phase_fourier,3,cayley,0.46506002068626834
0.75,phase_fourier,3,cdf,0.601528529008422
0.75,phase_fourier,4,cayley,0.7182210778562058
0.75,phase_fourier,4,cdf,0.7648515119499338
0.75,euclidean_fourier,1,cayley,0.3582201079599716
0.75,euclidean_fourier,1,cdf,0.7921947586668937
0.75,euclidean_fourier,2,cayley,0.726906088762394
0.75,euclidean_fourier,2,cdf,0.9446980411630612
0.75,euclidean_fourier,3,cayley,0.9168477003526189
0.75,euclidean_fourier,3,cdf,0.9966129608365414
0.75,euclidean_fourier,4,cayley,0.9640622059261966
0.75,euclidean_fourier,4,cdf,1.004394571962071
0.75,cdf_cosine,1,cayley,0.00038647485771458424
0.75,cdf_cosine,1,cdf,0.0755976399697414
0.75,cdf_cosine,2,cayley,0.024229428806474714
0.75,cdf_cosine,2,cdf,0.20324582262587262
0.75,cdf_cosine,3,cayley,0.46285680587140804
0.75,cdf_cosine,3,cdf,0.5174950741936666
0.75,cdf_cosine,4,cayley,0.7170681293240245
0.75,cdf_cosine,4,cdf,0.6987577064700671
0.75,cdf_legendre,1,cayley,0.003817652789968831
0.75,cdf_legendre,1,cdf,0.11536198706296268
0.75,cdf_legendre,2,cayley,0.27683100157210433
0.75,cdf_legendre,2,cdf,0.3916029968795544
0.75,cdf_legendre,3,cayley,0.6182351074329134
0.75,cdf_legendre,3,cdf,0.5990643113256696
0.75,cdf_legendre,4,cayley,0.7414268155434534
0.75,cdf_legendre,4,cdf,0.7143730662635625
0.75,cdf_rbf,1,cayley,0.0007887590508451179
0.75,cdf_rbf,1,cdf,0.09516466658104927
0.75,cdf_rbf,2,cayley,0.07457389965639095
0.75,cdf_rbf,2,cdf,0.26282615977193796
0.75,cdf_rbf,3,cayley,0.6005249812301858
0.75,cdf_rbf,3,cdf,0.5921667285878632
0.75,cdf_rbf,4,cayley,0.7314062019326683
0.75,cdf_rbf,4,cdf,0.7074653129467068
