alpha,dictionary,horizon,target,seed,nmse
0.25,tm,1,cayley,630000,4.6201548003058676e-05
0.25,tm,1,cayley,630001,4.565618085230523e-05
0.25,tm,1,cayley,630002,4.537411591909948e-05
0.25,tm,1,cayley,630003,4.529483847671785e-05
0.25,tm,1,cayley,630004,4.580723035986831e-05
0.25,tm,1,cayley,630005,4.5620376725552894e-05
0.25,tm,1,cayley,630006,4.580018746961911e-05
0.25,tm,1,cayley,630007,4.401133930068213e-05
0.25,tm,1,cayley,630008,4.6157412512894874e-05
0.25,tm,1,cayley,630009,4.5506002579994724e-05
0.25,tm,1,cayley,630010,4.385487268904498e-05
0.25,tm,1,cayley,630011,4.5095095340708447e-05
0.25,tm,1,cayley,630012,4.555157929999244e-05
0.25,tm,1,cayley,630013,4.7727939118118854e-05
0.25,tm,1,cayley,630014,4.571497475207721e-05
0.25,tm,1,cayley,630015,4.715147120090148e-05
0.25,tm,1,cayley,630016,4.611457465110996e-05
0.25,tm,1,cayley,630017,4.735291937048425e-05
0.25,tm,1,cayley,630018,4.616494805140012e-05
0.25,tm,1,cayley,630019,4.54085062381862e-05
0.25,tm,1,cayley,630020,4.517447616866264e-05
0.25,tm,1,cayley,630021,4.7796272914758536e-05
0.25,tm,1,cayley,630022,4.674824305907009e-05
0.25,tm,1,cayley,630023,4.75112657985203e-05
0.25,tm,1,cdf,630000,0.15422056294055486
0.25,tm,1,cdf,630001,0.12817908978758827
0.25,tm,1,cdf,630002,0.11728528851243476
0.25,tm,1,cdf,630003,0.13405696354858007
0.25,tm,1,cdf,630004,0.13290397379076338
0.25,tm,1,cdf,630005,0.1188211984641209
0.25,tm,1,cdf,630006,0.14512261042362337
0.25,tm,1,cdf,630007,0.11137800387434159
0.25,tm,1,cdf,630008,0.13552223617713063
0.25,tm,1,cdf,630009,0.12845828558630779
0.25,tm,1,cdf,630010,0.10683012762930377
0.25,tm,1,cdf,630011,0.12535786486506498
0.25,tm,1,cdf,630012,0.1549270747911532
0.25,tm,1,cdf,630013,0.1769642701325397
0.25,tm,1,cdf,630014,0.13554192908271404
0.25,tm,1,cdf,630015,0.18352989886971646
0.25,tm,1,cdf,630016,0.1589664974257535
0.25,tm,1,cdf,630017,0.14781477610517327
0.25,tm,1,cdf,630018,0.14774217753249932
0.25,tm,1,cdf,630019,0.13042821924626927
0.25,tm,1,cdf,630020,0.12054375759037225
0.25,tm,1,cdf,630021,0.16072326144963764
0.25,tm,1,cdf,630022,0.15253231834918643
0.25,tm,1,cdf,630023,0.14913124854074927
0.25,tm,2,cayley,630000,0.07779926749486946
0.25,tm,2,cayley,630001,0.072246647871248
0.25,tm,2,cayley,630002,0.06953322562704733
0.25,tm,2,cayley,630003,0.07129967483734982
0.25,tm,2,cayley,630004,0.07234561883410374
0.25,tm,2,cayley,630005,0.0697182204830215
0.25,tm,2,cayley,630006,0.07593365280099527
0.25,tm,2,cayley,630007,0.06399954196709659
0.25,tm,2,cayley,630008,0.07517870519842854
0.25,tm,2,cayley,630009,0.07304106591021622
0.25,tm,2,cayley,630010,0.06366856170534498
0.25,tm,2,cayley,630011,0.06924408512640558
0.25,tm,2,cayley,630012,0.07497084139969974
0.25,tm,2,cayley,630013,0.08603639076756127
0.25,tm,2,cayley,630014,0.07353775587447024
0.25,tm,2,cayley,630015,0.0852632338970505
0.25,tm,2,cayley,630016,0.07726110017090998
0.25,tm,2,cayley,630017,0.07860019347708212
0.25,tm,2,cayley,630018,0.07586829100208961
0.25,tm,2,cayley,630019,0.07142208818700706
0.25,tm,2,cayley,630020,0.06906582075752597
0.25,tm,2,cayley,630021,0.0821993605725586
0.25,tm,2,cayley,630022,0.07921449498825336
0.25,tm,2,cayley,630023,0.07994859539197031
0.25,tm,2,cdf,630000,0.29829887852089654
0.25,tm,2,cdf,630001,0.27493102206956693
0.25,tm,2,cdf,630002,0.2639820162118726
0.25,tm,2,cdf,630003,0.271313604952444
0.25,tm,2,cdf,630004,0.2786189470693612
0.25,tm,2,cdf,630005,0.26798353843156103
0.25,tm,2,cdf,630006,0.29771308385893575
0.25,tm,2,cdf,630007,0.24074383032655944
0.25,tm,2,cdf,630008,0.2860173183066482
0.25,tm,2,cdf,630009,0.2805941614343994
0.25,tm,2,cdf,630010,0.23671503102687033
0.25,tm,2,cdf,630011,0.2672120732421059
0.25,tm,2,cdf,630012,0.2898547098213989
0.25,tm,2,cdf,630013,0.3338117220435123
0.25,tm,2,cdf,630014,0.2845329620132107
0.25,tm,2,cdf,630015,0.3349467543592262
0.25,tm,2,cdf,630016,0.2986693834311002
0.25,tm,2,cdf,630017,0.3067215725859843
0.25,tm,2,cdf,630018,0.29633158211180666
0.25,tm,2,cdf,630019,0.2746361859370958
