alpha,dictionary,gram_condition,stable_rank,energy_rank90,nonzero_fraction,own_dictionary_nmse,first8_nmse
0.25,tm,1.0507202065144912,8.557227498950645,9,0.29296875,0.46320896630652375,0.12708825318910733
0.25,phase_fourier,1.050720206514491,8.557227498950661,9,0.29296875,0.4632089663065237,0.1270882531891073
0.25,euclidean_fourier,4.247531350154897,3.192912708131838,5,0.58203125,0.6577672625409461,0.6210842704705329
0.25,cdf_cosine,1.0634216794880744,8.502043815725205,9,0.375,0.4687837655970099,0.13671631504662596
0.25,cdf_legendre,1.1005038923571593,6.892671344459418,7,0.3671875,0.571938592873343,0.2076304002094904
0.25,cdf_rbf,1850960180315.2917,2.1794632532358555,3,0.96875,0.0163660276227687,0.016442309881215134
0.5,tm,1.0666751201040579,8.000229050120238,8,0.09765625,0.5004150037040318,1.6575121146019115e-09
0.5,phase_fourier,1.0666751201040579,8.000229050120248,8,0.09765625,0.5004150037040319,1.6575121145430568e-09
0.5,euclidean_fourier,4.307545428187305,5.220028592124447,6,0.58984375,0.6233753000114111,0.5365493156789023
0.5,cdf_cosine,1.0777933175879884,7.7224597345756765,7,0.3046875,0.5155846762774048,0.040076014464080344
0.5,cdf_legendre,1.3165060871956882,7.410931336520419,9,0.4140625,0.528067647639485,0.21652736730570044
0.5,cdf_rbf,1833933784217.6816,1.3280431666617545,2,0.86328125,0.01624407131823037,0.01620596311597298
0.75,tm,1.2225350031347144,8.564023468250184,9,0.38671875,0.4658886948659531,0.12737405399006924
0.75,phase_fourier,1.2225350031347142,8.56402346825019,9,0.38671875,0.46588869486595325,0.12737405399006924
0.75,euclidean_fourier,4.548958419851308,7.92391575729411,11,0.5625,0.5885960515638742,0.49600180336328376
0.75,cdf_cosine,1.3761495572727678,8.614273391451121,9,0.453125,0.4668033814193551,0.13323070002249585
0.75,cdf_legendre,2.216750060064717,9.674528360062185,11,0.65234375,0.4270492507812873,0.1906391227313365
0.75,cdf_rbf,1965244525137.314,1.9179898448938686,2,0.9296875,0.03400362745279122,0.033651638646036146
