distribution,node_count,initialization,mean_sample_absolute_mean,mean_sample_signed_mean,mean_row_mean_std,theory_kc_absolute_sample,signed_mean_consistency_kc,r50,r50_ci_lower,r50_ci_upper,r50_bootstrap_valid_fraction,sustained_sync_k50,sustained_sync_k50_ci_lower,sustained_sync_k50_ci_upper,sustained_sync_k50_bootstrap_valid_fraction,max_slope,max_slope_ci_lower,max_slope_ci_upper,bootstrap_seed_count,r50_times_absolute_mean,r50_times_signed_mean,sustained_sync_k50_times_absolute_mean,sustained_sync_k50_times_signed_mean
biased_sign,64,global,1.0,0.7632275132275133,0.08167072487268114,0.5,0.6551126516464472,0.5378985541426794,0.515297594211118,0.5629328137295524,1.0,nan,nan,nan,0.0,0.5,0.0,0.55,3.0,0.5378985541426794,0.4105389758469921,nan,nan
biased_sign,64,local,1.0,0.7632275132275133,0.08167072487268114,0.5,0.6551126516464472,0.6641501188406818,0.5707392406597559,0.6886997433163591,1.0,nan,nan,nan,0.0,0.7,0.7,0.7,3.0,0.6641501188406818,0.506897643612531,nan,nan
biased_sign,128,global,1.0,0.7513123359580052,0.05403026969256842,0.5,0.6655021834061136,0.5368516150751445,0.5246070462527883,0.6015735379602382,1.0,nan,nan,nan,0.0,0.0,0.0,0.6,3.0,0.5368516150751445,0.4033432409849346,nan,nan
biased_sign,128,local,1.0,0.7513123359580052,0.05403026969256842,0.5,0.6655021834061136,0.5721182644792839,0.5617384434829812,0.5758113325121613,1.0,nan,nan,nan,0.0,0.7,0.0,0.7,3.0,0.5721182644792839,0.42983950973017065,nan,nan
biased_sign,256,global,1.0,0.7489991830065359,0.04096919005207813,0.5,0.6675574704807614,0.5634572688619894,0.4392982905927129,0.5709789899876492,1.0,nan,nan,nan,0.0,0.7,0.1,0.7,3.0,0.5634572688619894,0.42202903403672415,nan,nan
biased_sign,256,local,1.0,0.7489991830065359,0.04096919005207813,0.5,0.6675574704807614,0.5650731728415054,0.4828684903888937,0.574533769194536,1.0,nan,nan,nan,0.0,0.55,0.4,0.6,3.0,0.5650731728415054,0.4232393447971986,nan,nan
positive_binary,64,global,1.0221560846560847,1.0221560846560847,0.12288867648889906,0.4891620834681333,0.4891620834681333,0.4665493610633199,0.45332083309361243,0.4806357455724511,1.0,nan,0.675,0.6875,0.232,0.7,0.65,0.7,3.0,0.476886268203281,0.476886268203281,nan,nan
positive_binary,64,local,1.0221560846560847,1.0221560846560847,0.12288867648889906,0.4891620834681333,0.4891620834681333,0.4822679547491965,0.3859027445189426,0.4906729419020944,1.0,0.6875,0.675,0.6875,0.71,0.65,0.6,0.7,3.0,0.4929531243815365,0.4929531243815365,0.7027323082010581,0.7027323082010581
positive_binary,128,global,1.0099245406824147,1.0099245406824147,0.08962370271458907,0.4950864939494843,0.4950864939494843,0.4727351710153445,0.4599453217934344,0.48142022539593476,1.0,nan,nan,nan,0.0,0.5,0.5,0.7,3.0,0.47742685045209454,0.47742685045209454,nan,nan
positive_binary,128,local,1.0099245406824147,1.0099245406824147,0.08962370271458907,0.4950864939494843,0.4950864939494843,0.49289593022705624,0.48021494010027116,0.5015697918687801,1.0,nan,nan,nan,0.0,0.7,0.7,0.7,3.0,0.4977876959387913,0.4977876959387913,nan,nan
positive_binary,256,global,1.0006535947712418,1.0006535947712418,0.060914233291155896,0.4996734160679295,0.4996734160679295,0.4750531374721824,0.39978526748169196,0.47771382969126897,1.0,nan,nan,nan,0.0,0.65,0.3,0.7,3.0,0.4753636297188963,0.4753636297188963,nan,nan
positive_binary,256,local,1.0006535947712418,1.0006535947712418,0.060914233291155896,0.4996734160679295,0.4996734160679295,0.45780259196365203,0.42323782059507825,0.49878668143916793,1.0,nan,nan,nan,0.0,0.7,0.45,0.7,3.0,0.45810180934402045,0.45810180934402045,nan,nan
rademacher,64,global,1.0,0.0026455026455026454,0.12463709953514718,0.5,189.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.6,0.4,0.7,3.0,nan,nan,nan,nan
rademacher,64,local,1.0,0.0026455026455026454,0.12463709953514718,0.5,189.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,0.7,3.0,nan,nan,nan,nan
rademacher,128,global,1.0,-0.004429133858267717,0.0862453760668906,0.5,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,0.5,0.2,0.7,3.0,nan,nan,nan,nan
