distribution,node_count,matrix_seed,target_absolute_mean,target_signed_mean,sample_absolute_mean,sample_signed_mean,row_mean_std,row_absolute_mean_std,symmetric,diagonal_zero
uniform_positive,64,20260910,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,64,20260911,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,64,20260912,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,64,20260913,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,64,20260914,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,64,20260915,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,64,20260916,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,64,20260917,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,64,20260918,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,64,20260919,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,128,20260910,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,128,20260911,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,128,20260912,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,128,20260913,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,128,20260914,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,128,20260915,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,128,20260916,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,128,20260917,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,128,20260918,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,128,20260919,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,256,20260910,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,256,20260911,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,256,20260912,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,256,20260913,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,256,20260914,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,256,20260915,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,256,20260916,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,256,20260917,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,256,20260918,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,256,20260919,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,512,20260910,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,512,20260911,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,512,20260912,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,512,20260913,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,512,20260914,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,512,20260915,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,512,20260916,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,512,20260917,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,512,20260918,1.0,1.0,1.0,1.0,0.0,0.0,True,True
uniform_positive,512,20260919,1.0,1.0,1.0,1.0,0.0,0.0,True,True
