distribution,node_count,matrix_seed,initialization,coupling_strength,sample_absolute_mean,sample_signed_mean,row_mean_std,mean_tm_order,q05_tm_order,mean_phase_mad,median_sync_residual,median_adaptive_scale,max_tm_modulus_error,local_initial_growth_rate,near_zero_rate,nonfinite_event_rate,finite_completed,first_nonfinite_step,synchronized
uniform_positive,64,20260910,global,0.0,1.0,1.0,0.0,0.08459257762508039,0.018722708868679907,1.403161678902638,0.3644596353392098,0.5779708815127271,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260910,global,0.4,1.0,1.0,0.0,0.8129694535035299,0.1135179249860902,0.2558969297270006,0.005383500156184211,0.7903712082262521,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260910,global,0.425,1.0,1.0,0.0,0.8007224292563203,0.09963685575206571,0.27213063082580446,0.007429651543639305,0.7852576283347297,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260910,global,0.45,1.0,1.0,0.0,0.9121641692704341,0.3217936680756071,0.11644444250026119,1.8019732889277164e-05,0.8732425160245729,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260910,global,0.475,1.0,1.0,0.0,0.962478362431672,0.6890652183627327,0.05423298594509636,1.438861058000896e-06,0.9402633582491373,3.3306690738754696e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260910,global,0.5,1.0,1.0,0.0,0.9999759505977127,0.9999999972897832,5.222758995908672e-05,0.0,1.0648226332473458,3.3306690738754696e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260910,global,0.525,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0628109076877292,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260910,global,0.55,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.2090993909010397,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260910,global,0.575,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.259365624112609,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260910,global,0.6,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.5454628106085697,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260910,local,0.0,1.0,1.0,0.0,0.08184385497249787,0.019465062521677786,1.4049714487012306,0.3655710422878179,0.5809249967393247,4.440892098500626e-16,0.6491939987136119,0.0,0.0,True,-1,False
uniform_positive,64,20260910,local,0.4,1.0,1.0,0.0,0.804535346895369,0.10976350216407335,0.2708737078493182,0.00543208753036987,0.8430108363101846,4.440892098500626e-16,0.2068765423169397,0.0,0.0,True,-1,False
uniform_positive,64,20260910,local,0.425,1.0,1.0,0.0,0.8256572850166782,0.13043315946269993,0.24072827633135238,0.007583806791053897,0.8479600608486899,4.440892098500626e-16,0.34989752003069563,0.0,0.0,True,-1,False
uniform_positive,64,20260910,local,0.45,1.0,1.0,0.0,0.9803616767697279,0.8627035054614869,0.0,0.0,0.8870833078667306,3.3306690738754696e-16,0.028671341325636725,0.0,0.0,True,-1,True
uniform_positive,64,20260910,local,0.475,1.0,1.0,0.0,0.9073774261646084,0.25588911857498714,0.1273742187114435,1.9827710745267614e-05,0.8641401399921661,4.440892098500626e-16,0.01454699848647596,0.0,0.0,True,-1,False
uniform_positive,64,20260910,local,0.5,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0216038278341857,1.1102230246251565e-16,-0.28764277279415434,0.0,0.0,True,-1,True
uniform_positive,64,20260910,local,0.525,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.1238755310417265,1.1102230246251565e-16,-0.30062904948049024,0.0,0.0,True,-1,True
uniform_positive,64,20260910,local,0.55,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.1736042814576968,1.1102230246251565e-16,0.031192261270642473,0.0,0.0,True,-1,True
uniform_positive,64,20260910,local,0.575,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.3233654390476524,1.1102230246251565e-16,-0.35922913041512633,0.0,0.0,True,-1,True
uniform_positive,64,20260910,local,0.6,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.4606653680281643,1.1102230246251565e-16,-0.3418552951745805,0.0,0.0,True,-1,True
uniform_positive,64,20260911,global,0.0,1.0,1.0,0.0,0.08552461687142394,0.019378709164903543,1.4094368901364667,0.3629844440373388,0.5824048647733611,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
