alpha,model,row_count,rmse
0.38,tm_selected_16,48,0.0012727931975729239
0.38,fourier_16,48,0.0023956238727807872
0.38,tm_full_80,48,0.0012084217017104203
0.38,tm_instant_16,48,0.13526811139826125
0.46,tm_selected_16,48,0.0011158745604845047
0.46,fourier_16,48,0.0023816813172704734
0.46,tm_full_80,48,0.0010867391245786976
0.46,tm_instant_16,48,0.049692002856622085
0.54,tm_selected_16,48,0.0010574608481723382
0.54,fourier_16,48,0.0024266923839942984
0.54,tm_full_80,48,0.001399151513169274
0.54,tm_instant_16,48,0.04551096016522571
0.62,tm_selected_16,48,0.001795868192618816
0.62,fourier_16,48,0.003167587489134301
0.62,tm_full_80,48,0.0015312039587822778
0.62,tm_instant_16,48,0.11403365413691158
