row_id,split,alpha,seed,estimated_location,estimated_scale
0,fit,0.34,20260830,-0.00361966028842234,0.7329462691165396
1,fit,0.34,20260831,0.015211216567060475,0.6944617174186039
2,fit,0.34,20260832,-0.020834537133530933,0.7128813446288573
3,fit,0.34,20260833,0.0029470599906503926,0.7398989696403444
4,fit,0.34,20260834,-0.009316235108208885,0.736374642822365
5,fit,0.34,20260835,-0.0019246034980208338,0.7166319861493129
6,fit,0.34,20260836,-0.0043357701485872875,0.71471156958305
7,fit,0.34,20260837,-0.013801743878452339,0.7187704707554481
8,fit,0.34,20260838,0.0024603925906408856,0.7102690277656947
9,fit,0.34,20260839,-0.003502257718387506,0.7139772039243444
10,fit,0.34,20260840,-0.008613241195423357,0.7288166286039174
11,fit,0.34,20260841,0.027417314574776912,0.706440680822755
12,fit,0.34,20260842,-0.033483127219562314,0.7156468679140264
13,fit,0.34,20260843,-0.02345422375015987,0.7046999107992172
14,fit,0.34,20260844,-0.0030057072653567932,0.7251895677870284
15,fit,0.34,20260845,0.013508392241278783,0.7398536860960503
16,fit,0.34,20260846,-0.004965535702708591,0.6919784111399592
17,fit,0.34,20260847,-0.008206603100794026,0.7154621710973768
18,fit,0.34,20260848,0.028549130346580482,0.7079457532550006
19,fit,0.34,20260849,-0.016297142335781535,0.7447180531541138
20,fit,0.34,20261830,-0.006364192617855554,0.7142106590682729
21,fit,0.34,20261831,0.022752259801383293,0.7063027176880385
22,fit,0.34,20261832,0.011018601968709352,0.7302100385808423
23,fit,0.34,20261833,-0.009380446462322702,0.6782980856915668
24,fit,0.34,20261834,0.02452504404212906,0.7213410251724759
25,fit,0.34,20261835,0.0333487580656591,0.6994241514793803
26,fit,0.34,20261836,-0.015725947605695127,0.7146694669460829
27,fit,0.34,20261837,-0.009072781953572749,0.7281429472562879
28,fit,0.42,20260830,-0.00046856735435189085,0.8480759048899444
29,fit,0.42,20260831,-0.0317011811887223,0.8506605307737066
30,fit,0.42,20260832,0.003919992520379858,0.8632557697373865
31,fit,0.42,20260833,0.0050953836768899575,0.8321693699545719
32,fit,0.42,20260834,-0.03184293964849722,0.8103416496149483
33,fit,0.42,20260835,0.019744378480904025,0.8550375922260525
34,fit,0.42,20260836,-0.005800584362756218,0.8406821134191557
35,fit,0.42,20260837,-0.005547752686133349,0.8487726045291921
36,fit,0.42,20260838,0.03551373843683243,0.8752694661160934
37,fit,0.42,20260839,0.0527994264669161,0.8207498916207498
38,fit,0.42,20260840,-0.002245209563063102,0.8661050816708624
39,fit,0.42,20260841,-0.007786663766614774,0.8371520984122502
40,fit,0.42,20260842,0.0012128606452543665,0.8626668805298066
41,fit,0.42,20260843,0.021862505511420938,0.8287499544786557
42,fit,0.42,20260844,-0.0009337841492847287,0.8458933374390903
43,fit,0.42,20260845,0.0006921230724622118,0.8157280623945468
44,fit,0.42,20260846,-0.014192792103394544,0.8823842832723139
45,fit,0.42,20260847,0.004996446004325724,0.835307629028458
46,fit,0.42,20260848,0.03091168543051582,0.8584950105247512
47,fit,0.42,20260849,0.018542851676586633,0.864168194121087
48,fit,0.42,20261830,0.009300435264671014,0.8504544650928507
49,fit,0.42,20261831,0.016259558385478066,0.8146646579505414
50,fit,0.42,20261832,0.03074073054045529,0.8358664009678258
51,fit,0.42,20261833,-0.03627639379071958,0.8754775343477759
52,fit,0.42,20261834,-0.015376589009736858,0.8645041051789536
53,fit,0.42,20261835,-0.001091748586839596,0.8415738166725619
54,fit,0.42,20261836,0.006548448549692163,0.8091474517584559
55,fit,0.42,20261837,-0.005887256731101203,0.858384939688721
56,fit,0.5,20260830,-0.025230861673531613,1.0504040908455061
57,fit,0.5,20260831,0.025170139575363376,0.9917211504274073
58,fit,0.5,20260832,-0.020079641358216715,0.9763686931085738
59,fit,0.5,20260833,0.0026432752487912103,0.9801263705958889
60,fit,0.5,20260834,-0.017254818935596716,0.9912005495477516
61,fit,0.5,20260835,-0.0301787558268643,1.0074243785219665
62,fit,0.5,20260836,-0.021553594379869034,1.0312239048241105
63,fit,0.5,20260837,0.0033943933889232503,0.9993674309416467
64,fit,0.5,20260838,-0.02715152004692714,0.9998786605536357
65,fit,0.5,20260839,-0.05304556821861095,1.0330339304355494
66,fit,0.5,20260840,-0.03144832914350046,1.0246969799013086
67,fit,0.5,20260841,0.0066557731950739885,1.025887282773045
68,fit,0.5,20260842,-0.003968587607771995,0.9754540537287619
69,fit,0.5,20260843,0.04930412257658259,0.9712996091992612
70,fit,0.5,20260844,-0.03327051263579084,1.0516960045371575
71,fit,0.5,20260845,-0.028848408157880007,0.9998985669734799
72,fit,0.5,20260846,-0.005690250049990742,0.9849794876114243
73,fit,0.5,20260847,0.008592605919272911,0.9537189634993992
74,fit,0.5,20260848,0.03917201527899186,0.939010965342201
75,fit,0.5,20260849,0.0021101939108238155,1.0066316155522352
76,fit,0.5,20261830,0.0015128689442373555,1.0361796944141783
77,fit,0.5,20261831,-0.022495103328825233,1.0001038487645562
78,fit,0.5,20261832,-0.020334387755083394,1.0317848867445822
79,fit,0.5,20261833,0.002359746663065987,1.0136292971179808
80,fit,0.5,20261834,-0.00613007803497484,0.9810932168202662
81,fit,0.5,20261835,-0.031999474075529,0.9965101629582286
82,fit,0.5,20261836,0.0030778882455973766,0.9873544618614671
83,fit,0.5,20261837,0.006253233666056401,0.962092664842549
84,fit,0.58,20260830,-0.03964410838059128,1.180788771099512
85,fit,0.58,20260831,-0.031533151284848925,1.1624353619133865
86,fit,0.58,20260832,-0.012854669960463704,1.1966087575320836
87,fit,0.58,20260833,-0.04526741655315314,1.1694731827708835
88,fit,0.58,20260834,0.04194263672006736,1.191683917785142
89,fit,0.58,20260835,0.02486699544441033,1.1312310985050051
90,fit,0.58,20260836,-0.02406254769288336,1.1714805051373598
91,fit,0.58,20260837,-0.04748493746271053,1.20866606725173
92,fit,0.58,20260838,0.009296279894767768,1.1893734149813826
93,fit,0.58,20260839,0.014447143132405041,1.1478360978894764
94,fit,0.58,20260840,0.0835393352723009,1.1628115085001203
95,fit,0.58,20260841,-0.016434816649251595,1.177011170506672
96,fit,0.58,20260842,0.05586314632605978,1.2299667447828408
97,fit,0.58,20260843,-0.05492028293154298,1.1956312717968647
98,fit,0.58,20260844,0.014702727104866156,1.1477572962723794
