collision_id,split,pair_seed,alpha_low,alpha_high,target_gap,rmse_floor,tm_feature_max_abs_difference,fourier_feature_max_abs_difference
160,test,20266830,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
161,test,20266830,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
162,test,20266830,0.38,0.62,0.24,0.12,0.0,0.0
163,test,20266830,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
164,test,20266830,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
165,test,20266830,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
166,test,20266831,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
167,test,20266831,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
168,test,20266831,0.38,0.62,0.24,0.12,0.0,0.0
169,test,20266831,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
170,test,20266831,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
171,test,20266831,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
172,test,20266832,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
173,test,20266832,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
174,test,20266832,0.38,0.62,0.24,0.12,0.0,0.0
175,test,20266832,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
176,test,20266832,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
177,test,20266832,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
178,test,20266833,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
179,test,20266833,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
180,test,20266833,0.38,0.62,0.24,0.12,0.0,0.0
181,test,20266833,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
182,test,20266833,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
183,test,20266833,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
184,test,20266834,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
185,test,20266834,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
186,test,20266834,0.38,0.62,0.24,0.12,0.0,0.0
187,test,20266834,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
188,test,20266834,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
189,test,20266834,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
190,test,20266835,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
191,test,20266835,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
192,test,20266835,0.38,0.62,0.24,0.12,0.0,0.0
193,test,20266835,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
194,test,20266835,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
195,test,20266835,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
196,test,20266836,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
197,test,20266836,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
198,test,20266836,0.38,0.62,0.24,0.12,0.0,0.0
199,test,20266836,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
200,test,20266836,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
201,test,20266836,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
202,test,20266837,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
203,test,20266837,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
204,test,20266837,0.38,0.62,0.24,0.12,0.0,0.0
205,test,20266837,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
206,test,20266837,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
207,test,20266837,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
208,test,20266838,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
209,test,20266838,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
210,test,20266838,0.38,0.62,0.24,0.12,0.0,0.0
211,test,20266838,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
212,test,20266838,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
213,test,20266838,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
214,test,20266839,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
215,test,20266839,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
216,test,20266839,0.38,0.62,0.24,0.12,0.0,0.0
217,test,20266839,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
218,test,20266839,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
219,test,20266839,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
220,test,20266840,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
221,test,20266840,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
222,test,20266840,0.38,0.62,0.24,0.12,0.0,0.0
223,test,20266840,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
224,test,20266840,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
225,test,20266840,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
226,test,20266841,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
227,test,20266841,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
228,test,20266841,0.38,0.62,0.24,0.12,0.0,0.0
229,test,20266841,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
230,test,20266841,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
231,test,20266841,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
232,test,20266842,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
233,test,20266842,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
234,test,20266842,0.38,0.62,0.24,0.12,0.0,0.0
235,test,20266842,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
236,test,20266842,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
237,test,20266842,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
238,test,20266843,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
239,test,20266843,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
240,test,20266843,0.38,0.62,0.24,0.12,0.0,0.0
241,test,20266843,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
242,test,20266843,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
243,test,20266843,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
244,test,20266844,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
245,test,20266844,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
246,test,20266844,0.38,0.62,0.24,0.12,0.0,0.0
247,test,20266844,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
248,test,20266844,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
249,test,20266844,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
250,test,20266845,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
251,test,20266845,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
252,test,20266845,0.38,0.62,0.24,0.12,0.0,0.0
253,test,20266845,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
254,test,20266845,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
255,test,20266845,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
256,test,20266846,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
257,test,20266846,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
258,test,20266846,0.38,0.62,0.24,0.12,0.0,0.0
259,test,20266846,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
260,test,20266846,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
261,test,20266846,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
262,test,20266847,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
263,test,20266847,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
