model,feature_dimension,penalty,cv_ordered_rmse,cv_permutation_invariant_rmse,selected
oracle_tm_full_rank,32,1e-06,0.00244908888818125,0.00244908888818125,False
oracle_tm_full_rank,32,0.0001,0.002449049490989345,0.002449049490989345,False
oracle_tm_full_rank,32,0.01,0.0024451510521374463,0.0024451510521374463,False
oracle_tm_full_rank,32,1.0,0.002428738280635927,0.002428738280635927,True
oracle_tm_full_rank,32,100.0,0.03470060622291569,0.03470060622291569,False
oracle_fourier_full_rank,32,1e-06,0.0031185565975750057,0.0031185565975750057,False
oracle_fourier_full_rank,32,0.0001,0.0031184540977953817,0.0031184540977953817,False
oracle_fourier_full_rank,32,0.01,0.0031087888624117986,0.0031087888624117986,True
oracle_fourier_full_rank,32,1.0,0.004132799759424908,0.004132799759424908,False
oracle_fourier_full_rank,32,100.0,0.012064007372313754,0.012064007372313754,False
direct_tm_full_rank,32,1e-06,0.009503235723672626,0.009503235723672626,False
direct_tm_full_rank,32,0.0001,0.009503226056996609,0.009503226056996609,False
direct_tm_full_rank,32,0.01,0.009502300792099181,0.009502300792099181,True
direct_tm_full_rank,32,1.0,0.009559091396215394,0.009559091396215394,False
direct_tm_full_rank,32,100.0,0.02423010786628804,0.02423010786628804,False
direct_fourier_full_rank,32,1e-06,0.011056138492080855,0.011056138492080855,False
direct_fourier_full_rank,32,0.0001,0.011056122897827248,0.011056122897827248,False
direct_fourier_full_rank,32,0.01,0.011054578965809761,0.011054578965809761,False
direct_fourier_full_rank,32,1.0,0.011008320994620447,0.011008320994620447,True
direct_fourier_full_rank,32,100.0,0.014649630416415666,0.014649630416415668,False
direct_tm_rank_one,16,1e-06,0.09001436224665268,0.09001436224665268,False
direct_tm_rank_one,16,0.0001,0.09001436187974857,0.09001436187974857,False
direct_tm_rank_one,16,0.01,0.09001432553033359,0.09001432553033359,False
direct_tm_rank_one,16,1.0,0.09001370975540281,0.09001370975540281,True
direct_tm_rank_one,16,100.0,0.09416854977487817,0.09416854977487817,False
direct_fourier_rank_one,16,1e-06,0.09033563372287455,0.09033563372287455,False
direct_fourier_rank_one,16,0.0001,0.09033563306679808,0.09033563306679808,False
direct_fourier_rank_one,16,0.01,0.09033556820708502,0.09033556820708502,False
direct_fourier_rank_one,16,1.0,0.09033544803814768,0.09033544803814768,True
direct_fourier_rank_one,16,100.0,0.09118670759432398,0.091186707594324,False
