alpha_low,alpha_high,model,row_count,ordered_rmse,permutation_invariant_rmse
0.38,0.46,oracle_tm_full_rank,64,0.0017289951349529298,0.0017289951349529298
0.38,0.46,oracle_fourier_full_rank,64,0.0026008384740739774,0.0026008384740739774
0.38,0.46,direct_tm_full_rank,64,0.0070803454797819096,0.0070803454797819096
0.38,0.46,direct_fourier_full_rank,64,0.009812535378952858,0.00981253537895286
0.38,0.46,direct_tm_rank_one,64,0.04093481576964538,0.04093481576964538
0.38,0.46,direct_fourier_rank_one,64,0.04178036136537333,0.041780361365373324
0.38,0.54,oracle_tm_full_rank,64,0.001843878665112429,0.0018438786651124289
0.38,0.54,oracle_fourier_full_rank,64,0.002808189990320044,0.0028081899903200434
0.38,0.54,direct_tm_full_rank,64,0.008332442456955474,0.008332442456955474
0.38,0.54,direct_fourier_full_rank,64,0.010110597042877872,0.010110597042877872
0.38,0.54,direct_tm_rank_one,64,0.08062951454253048,0.08062951454253048
0.38,0.54,direct_fourier_rank_one,64,0.08095599766222444,0.08095599766222446
0.38,0.62,oracle_tm_full_rank,64,0.0022909918256128372,0.002290991825612837
0.38,0.62,oracle_fourier_full_rank,64,0.0035272198799837264,0.0035272198799837264
0.38,0.62,direct_tm_full_rank,64,0.006248041128687842,0.006248041128687842
0.38,0.62,direct_fourier_full_rank,64,0.00781897250370126,0.00781897250370126
0.38,0.62,direct_tm_rank_one,64,0.12037122092506017,0.12037122092506017
0.38,0.62,direct_fourier_rank_one,64,0.12066393781199714,0.12066393781199714
0.46,0.54,oracle_tm_full_rank,64,0.0019137131491434492,0.0019137131491434492
0.46,0.54,oracle_fourier_full_rank,64,0.0025588067102863777,0.0025588067102863773
0.46,0.54,direct_tm_full_rank,64,0.008200464145188586,0.008200464145188586
0.46,0.54,direct_fourier_full_rank,64,0.008423467754941221,0.008423467754941221
0.46,0.54,direct_tm_rank_one,64,0.04130841711451087,0.04130841711451087
0.46,0.54,direct_fourier_rank_one,64,0.04176406140215949,0.041764061402159484
0.46,0.62,oracle_tm_full_rank,64,0.0023709132429131233,0.0023709132429131237
0.46,0.62,oracle_fourier_full_rank,64,0.0032845668238152778,0.0032845668238152773
0.46,0.62,direct_tm_full_rank,64,0.008059763928349154,0.008059763928349154
0.46,0.62,direct_fourier_full_rank,64,0.0077967749877414765,0.0077967749877414765
0.46,0.62,direct_tm_rank_one,64,0.08077695075443189,0.08077695075443189
0.46,0.62,direct_fourier_rank_one,64,0.08037184795053691,0.08037184795053691
0.54,0.62,oracle_tm_full_rank,64,0.002262677329485757,0.002262677329485757
0.54,0.62,oracle_fourier_full_rank,64,0.0033782787284387496,0.0033782787284387496
0.54,0.62,direct_tm_full_rank,64,0.008286130040970131,0.008286130040970131
0.54,0.62,direct_fourier_full_rank,64,0.010107761986134332,0.010107761986134332
0.54,0.62,direct_tm_rank_one,64,0.04125411430916662,0.041254114309166624
0.54,0.62,direct_fourier_rank_one,64,0.04118590746738123,0.04118590746738124
