row_id,split,collision_id,pair_seed,order_index,alpha1,alpha2,source_seed1,source_seed2
0,fit,0,20265830,0,0.34,0.42,20265830,21265830
1,fit,0,20265830,1,0.42,0.34,21265830,20265830
2,fit,1,20265830,0,0.34,0.5,20265830,21265830
3,fit,1,20265830,1,0.5,0.34,21265830,20265830
4,fit,2,20265830,0,0.34,0.58,20265830,21265830
5,fit,2,20265830,1,0.58,0.34,21265830,20265830
6,fit,3,20265830,0,0.34,0.66,20265830,21265830
7,fit,3,20265830,1,0.66,0.34,21265830,20265830
8,fit,4,20265830,0,0.42,0.5,20265830,21265830
9,fit,4,20265830,1,0.5,0.42,21265830,20265830
10,fit,5,20265830,0,0.42,0.58,20265830,21265830
11,fit,5,20265830,1,0.58,0.42,21265830,20265830
12,fit,6,20265830,0,0.42,0.66,20265830,21265830
13,fit,6,20265830,1,0.66,0.42,21265830,20265830
14,fit,7,20265830,0,0.5,0.58,20265830,21265830
15,fit,7,20265830,1,0.58,0.5,21265830,20265830
16,fit,8,20265830,0,0.5,0.66,20265830,21265830
17,fit,8,20265830,1,0.66,0.5,21265830,20265830
18,fit,9,20265830,0,0.58,0.66,20265830,21265830
19,fit,9,20265830,1,0.66,0.58,21265830,20265830
20,fit,10,20265831,0,0.34,0.42,20265831,21265831
21,fit,10,20265831,1,0.42,0.34,21265831,20265831
22,fit,11,20265831,0,0.34,0.5,20265831,21265831
23,fit,11,20265831,1,0.5,0.34,21265831,20265831
24,fit,12,20265831,0,0.34,0.58,20265831,21265831
25,fit,12,20265831,1,0.58,0.34,21265831,20265831
26,fit,13,20265831,0,0.34,0.66,20265831,21265831
27,fit,13,20265831,1,0.66,0.34,21265831,20265831
28,fit,14,20265831,0,0.42,0.5,20265831,21265831
29,fit,14,20265831,1,0.5,0.42,21265831,20265831
30,fit,15,20265831,0,0.42,0.58,20265831,21265831
31,fit,15,20265831,1,0.58,0.42,21265831,20265831
32,fit,16,20265831,0,0.42,0.66,20265831,21265831
33,fit,16,20265831,1,0.66,0.42,21265831,20265831
34,fit,17,20265831,0,0.5,0.58,20265831,21265831
35,fit,17,20265831,1,0.58,0.5,21265831,20265831
36,fit,18,20265831,0,0.5,0.66,20265831,21265831
37,fit,18,20265831,1,0.66,0.5,21265831,20265831
38,fit,19,20265831,0,0.58,0.66,20265831,21265831
39,fit,19,20265831,1,0.66,0.58,21265831,20265831
40,fit,20,20265832,0,0.34,0.42,20265832,21265832
41,fit,20,20265832,1,0.42,0.34,21265832,20265832
42,fit,21,20265832,0,0.34,0.5,20265832,21265832
43,fit,21,20265832,1,0.5,0.34,21265832,20265832
44,fit,22,20265832,0,0.34,0.58,20265832,21265832
45,fit,22,20265832,1,0.58,0.34,21265832,20265832
46,fit,23,20265832,0,0.34,0.66,20265832,21265832
47,fit,23,20265832,1,0.66,0.34,21265832,20265832
48,fit,24,20265832,0,0.42,0.5,20265832,21265832
49,fit,24,20265832,1,0.5,0.42,21265832,20265832
50,fit,25,20265832,0,0.42,0.58,20265832,21265832
51,fit,25,20265832,1,0.58,0.42,21265832,20265832
52,fit,26,20265832,0,0.42,0.66,20265832,21265832
53,fit,26,20265832,1,0.66,0.42,21265832,20265832
54,fit,27,20265832,0,0.5,0.58,20265832,21265832
55,fit,27,20265832,1,0.58,0.5,21265832,20265832
56,fit,28,20265832,0,0.5,0.66,20265832,21265832
57,fit,28,20265832,1,0.66,0.5,21265832,20265832
58,fit,29,20265832,0,0.58,0.66,20265832,21265832
59,fit,29,20265832,1,0.66,0.58,21265832,20265832
60,fit,30,20265833,0,0.34,0.42,20265833,21265833
61,fit,30,20265833,1,0.42,0.34,21265833,20265833
62,fit,31,20265833,0,0.34,0.5,20265833,21265833
63,fit,31,20265833,1,0.5,0.34,21265833,20265833
64,fit,32,20265833,0,0.34,0.58,20265833,21265833
65,fit,32,20265833,1,0.58,0.34,21265833,20265833
66,fit,33,20265833,0,0.34,0.66,20265833,21265833
67,fit,33,20265833,1,0.66,0.34,21265833,20265833
68,fit,34,20265833,0,0.42,0.5,20265833,21265833
69,fit,34,20265833,1,0.5,0.42,21265833,20265833
70,fit,35,20265833,0,0.42,0.58,20265833,21265833
71,fit,35,20265833,1,0.58,0.42,21265833,20265833
72,fit,36,20265833,0,0.42,0.66,20265833,21265833
73,fit,36,20265833,1,0.66,0.42,21265833,20265833
74,fit,37,20265833,0,0.5,0.58,20265833,21265833
