stage,beta,gamma0,condition,seed,dtype,theoretical_scale,gate,status,n,median,estimated_scale,ks,tail10,tail100,decision
A,0.5,0.1,0,0,float64,0.04995837495787998,0.007295692186922878,記述的評価,100000,-0.0004244319982823065,0.050311252998521405,0.004159100229261969,0.06396,0.00621,整合
A,0.5,0.1,0,0,float32,0.04995837495787998,0.007295692186922878,記述的評価,100000,-0.00042443201527930796,0.05031125294044614,0.004159109573364239,0.06396,0.00621,精度診断
A,0.5,0.1,0,1,float64,0.04995837495787998,0.007295692186922878,記述的評価,100000,-0.00041469215653114247,0.0498429008215474,0.0035531451419906768,0.06279,0.00611,整合
A,0.5,0.1,0,1,float32,0.04995837495787998,0.007295692186922878,記述的評価,100000,-0.0004146921564824879,0.04984290152788162,0.0035531601619720465,0.06279,0.00611,精度診断
A,0.5,0.1,0,2,float64,0.04995837495787998,0.007295692186922878,記述的評価,100000,-2.905342853870564e-05,0.05001388117287385,0.002279875744882698,0.06374,0.00615,整合
A,0.5,0.1,0,2,float32,0.04995837495787998,0.007295692186922878,記述的評価,100000,-2.9053429898340255e-05,0.050013881642371416,0.002279889278411884,0.06374,0.00615,精度診断
A,0.5,0.1,0,3,float64,0.04995837495787998,0.007295692186922878,記述的評価,100000,-0.00019997857165762203,0.05035447179890373,0.0022073865701583983,0.06445,0.00658,整合
A,0.5,0.1,0,3,float32,0.04995837495787998,0.007295692186922878,記述的評価,100000,-0.00019997855997644365,0.05035447096452117,0.002207375974655146,0.06445,0.00658,精度診断
A,0.5,0.1,0,4,float64,0.04995837495787998,0.007295692186922878,記述的評価,100000,0.00015381381444360347,0.05008601192613106,0.0021086301693366005,0.06439,0.00667,整合
A,0.5,0.1,0,4,float32,0.04995837495787998,0.007295692186922878,記述的評価,100000,0.00015381380217149854,0.050086012575775385,0.002108619766235331,0.06439,0.00667,精度診断
A,0.5,0.1,0,5,float64,0.04995837495787998,0.007295692186922878,記述的評価,100000,-5.36764602309151e-05,0.050100860861207935,0.0022504091068123733,0.06346,0.0063,整合
A,0.5,0.1,0,5,float32,0.04995837495787998,0.007295692186922878,記述的評価,100000,-5.367646008380689e-05,0.05010086018592119,0.0022504080963134665,0.06346,0.0063,精度診断
A,0.5,0.1,0,6,float64,0.04995837495787998,0.007295692186922878,記述的評価,100000,0.00010488185999425308,0.05043500548205282,0.002366151092244362,0.06425,0.00629,整合
A,0.5,0.1,0,6,float32,0.04995837495787998,0.007295692186922878,記述的評価,100000,0.0001048818594426848,0.05043500615283847,0.0023661713790893435,0.06425,0.00629,精度診断
A,0.5,0.1,0,7,float64,0.04995837495787998,0.007295692186922878,記述的評価,100000,-0.00014802545599431805,0.05026841734070194,0.0025229363949081374,0.0637,0.00655,整合
A,0.5,0.1,0,7,float32,0.04995837495787998,0.007295692186922878,記述的評価,100000,-0.0001480254577472806,0.050268417689949274,0.002522942829132069,0.0637,0.00655,精度診断
A,0.5,0.1,0,8,float64,0.04995837495787998,0.007295692186922878,記述的評価,100000,1.340191767755329e-05,0.05004697249251332,0.002275831065523537,0.06374,0.00603,整合
A,0.5,0.1,0,8,float32,0.04995837495787998,0.007295692186922878,記述的評価,100000,1.3401917385635898e-05,0.050046972930431366,0.002275843219757101,0.06374,0.00603,精度診断
A,0.5,0.1,0,9,float64,0.04995837495787998,0.007295692186922878,記述的評価,100000,-0.00012148178101690056,0.05025468343449792,0.0031695393274253636,0.06495,0.00637,整合
A,0.5,0.1,0,9,float32,0.04995837495787998,0.007295692186922878,記述的評価,100000,-0.00012148177484050393,0.05025468394160271,0.003169513053894013,0.06495,0.00637,精度診断
A,0.5,1.0,1,0,float64,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.0007328869287713473,0.4630612230161132,0.0018328886399012756,0.06221,0.00578,整合
A,0.5,1.0,1,0,float32,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.0007328869542106986,0.46306123211979866,0.0018328596115112505,0.06221,0.00578,精度診断
A,0.5,1.0,1,1,float64,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.001013347834575899,0.46785318007861476,0.004200882666996808,0.06521,0.00698,整合
A,0.5,1.0,1,1,float32,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.0010133478790521622,0.4678531773388386,0.004200849227905312,0.06521,0.00698,精度診断
A,0.5,1.0,1,2,float64,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.0007645937800488719,0.4622007575103504,0.0017729769215341085,0.06389,0.0063,整合
A,0.5,1.0,1,2,float32,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.0007644799188710749,0.4621594250202179,0.001772995853424053,0.06389,0.0063,精度診断
A,0.5,1.0,1,3,float64,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.0010872394699594054,0.45812779313126184,0.003726336737286451,0.06274,0.00622,整合
A,0.5,1.0,1,3,float32,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.0010872394777834415,0.4581277668476105,0.003726349067687984,0.06274,0.00622,精度診断
A,0.5,1.0,1,4,float64,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.002681800868380711,0.46443869964267925,0.0022073400835316836,0.0634,0.00594,整合
A,0.5,1.0,1,4,float32,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.0026818010956048965,0.46443870291113853,0.0022073333644866966,0.0634,0.00594,精度診断
A,0.5,1.0,1,5,float64,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.003159302017540975,0.46208581714586183,0.004913680279538313,0.06412,0.00622,整合
A,0.5,1.0,1,5,float32,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.0031593020539730787,0.4620858207345009,0.004913681640625001,0.06412,0.00622,精度診断
A,0.5,1.0,1,6,float64,0.46211715726000974,0.007295692186922878,記述的評価,100000,0.0005857615174708948,0.46304300074777227,0.0016835568494237285,0.06304,0.00638,整合
A,0.5,1.0,1,6,float32,0.46211715726000974,0.007295692186922878,記述的評価,100000,0.000585761503316462,0.4630430303514004,0.0016835486602783112,0.06304,0.00638,精度診断
A,0.5,1.0,1,7,float64,0.46211715726000974,0.007295692186922878,記述的評価,100000,0.0016584038420019427,0.46202775897085224,0.0019100841349316555,0.06377,0.00629,整合
A,0.5,1.0,1,7,float32,0.46211715726000974,0.007295692186922878,記述的評価,100000,0.001658403780311346,0.46202776581048965,0.0019100912475585874,0.06377,0.00629,精度診断
A,0.5,1.0,1,8,float64,0.46211715726000974,0.007295692186922878,記述的評価,100000,0.0007135436821867429,0.4623870811659034,0.002587583036772534,0.06381,0.00632,整合
A,0.5,1.0,1,8,float32,0.46211715726000974,0.007295692186922878,記述的評価,100000,0.0007135436753742397,0.4623870737850666,0.002587562637329066,0.06381,0.00632,精度診断
A,0.5,1.0,1,9,float64,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.0022488796236941754,0.461938253651693,0.0020614801781317915,0.06542,0.00645,整合
A,0.5,1.0,1,9,float32,0.46211715726000974,0.007295692186922878,記述的評価,100000,-0.00224887952208519,0.4619382284581661,0.0020614931106567314,0.06542,0.00645,精度診断
A,0.5,10.0,2,0,float64,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.0016087467863715238,1.0013551279567494,0.0021889231071253734,0.06312,0.00651,整合
A,0.5,10.0,2,0,float32,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.0016088355332612991,1.0013523697853088,0.0021889389801025283,0.06312,0.00651,精度診断
A,0.5,10.0,2,1,float64,0.9999092042625951,0.007295692186922878,記述的評価,100000,0.0032269474469257394,1.0004218669721037,0.002297202919145702,0.06328,0.00646,整合
A,0.5,10.0,2,1,float32,0.9999092042625951,0.007295692186922878,記述的評価,100000,0.003226984990760684,1.0004221498966217,0.002297153129577678,0.06328,0.00646,精度診断
A,0.5,10.0,2,2,float64,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.0005240777640586045,0.9959858579813985,0.0022166885223422472,0.06301,0.00608,整合
A,0.5,10.0,2,2,float32,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.0005238374578766525,0.9959857538342476,0.0022167023086547832,0.06301,0.00608,精度診断
A,0.5,10.0,2,3,float64,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.0032418383103691786,0.9951598559440599,0.003589159753327076,0.06167,0.00653,整合
A,0.5,10.0,2,3,float32,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.0032417834736406803,0.9951600879430771,0.0035891524124145313,0.06167,0.00653,精度診断
A,0.5,10.0,2,4,float64,0.9999092042625951,0.007295692186922878,記述的評価,100000,0.0005322582441913984,0.9967735542676266,0.0017389389126385435,0.06542,0.00679,整合
A,0.5,10.0,2,4,float32,0.9999092042625951,0.007295692186922878,記述的評価,100000,0.0005323616787791252,0.9967737644910812,0.0017389617347717268,0.06542,0.00679,精度診断
A,0.5,10.0,2,5,float64,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.0006694391962438425,1.0037843851657762,0.0029567564507779753,0.06406,0.00648,整合
A,0.5,10.0,2,5,float32,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.0006694072508253157,1.0037844255566597,0.0029570465087890296,0.06406,0.00648,精度診断
A,0.5,10.0,2,6,float64,0.9999092042625951,0.007295692186922878,記述的評価,100000,0.002347302541862795,1.0010260729517046,0.0031199964618493503,0.06333,0.00644,整合
A,0.5,10.0,2,6,float32,0.9999092042625951,0.007295692186922878,記述的評価,100000,0.0023471862077713013,1.0010260492563248,0.003120003089904788,0.06333,0.00644,精度診断
A,0.5,10.0,2,7,float64,0.9999092042625951,0.007295692186922878,記述的評価,100000,0.010422098814157274,0.9985730068213265,0.003792166569164923,0.06253,0.00612,整合
A,0.5,10.0,2,7,float32,0.9999092042625951,0.007295692186922878,記述的評価,100000,0.010421888902783394,0.998573049902916,0.003792151584625203,0.06253,0.00612,精度診断
A,0.5,10.0,2,8,float64,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.005507553885130375,1.002328693805888,0.002752854991788456,0.06301,0.00632,整合
A,0.5,10.0,2,8,float32,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.005507266614586115,1.0023290067911148,0.0027528332901001207,0.06301,0.00632,精度診断
A,0.5,10.0,2,9,float64,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.0020605304980183614,0.9971209552233125,0.0024213047292877543,0.06292,0.00643,整合
A,0.5,10.0,2,9,float32,0.9999092042625951,0.007295692186922878,記述的評価,100000,-0.002060428261756897,0.99712123721838,0.002421310157775858,0.06292,0.00643,精度診断
A,0.9,0.1,3,0,float64,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.00012223007895066044,0.09105330592927005,0.0035662325177210352,0.06359,0.00621,整合
A,0.9,0.1,3,0,float32,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.00012223007797729224,0.0910533033311367,0.003566210308074913,0.06359,0.00621,精度診断
A,0.9,0.1,3,1,float64,0.08975778474716012,0.007295692186922878,記述的評価,100000,-7.250261439818777e-05,0.09001936608010025,0.0013525984481037034,0.0634,0.00661,整合
A,0.9,0.1,3,1,float32,0.08975778474716012,0.007295692186922878,記述的評価,100000,-7.250261842273176e-05,0.0900193601846695,0.001352605133056628,0.0634,0.00661,精度診断
A,0.9,0.1,3,2,float64,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.0007182093614851793,0.08947593915275966,0.0031435699885207224,0.06243,0.00636,整合
A,0.9,0.1,3,2,float32,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.0007182093104347587,0.08947593532502651,0.00314357669830323,0.06243,0.00636,精度診断
A,0.9,0.1,3,3,float64,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.00039965094998876103,0.09003104150946024,0.002411667548082974,0.0635,0.00678,整合
A,0.9,0.1,3,3,float32,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.00039965094765648246,0.09003104083240032,0.0024116886901855983,0.0635,0.00678,精度診断
A,0.9,0.1,3,4,float64,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.00038979120713190495,0.08969825234749049,0.0022330870344927645,0.06244,0.00635,整合
A,0.9,0.1,3,4,float32,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.00038979121018201113,0.0896982466802001,0.0022331037330627357,0.06244,0.00635,精度診断
A,0.9,0.1,3,5,float64,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.00037887322405514884,0.08959329869289495,0.002211889096432995,0.0631,0.00692,整合
A,0.9,0.1,3,5,float32,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.0003788732283283025,0.08959329687058926,0.002211901054382348,0.0631,0.00692,精度診断
A,0.9,0.1,3,6,float64,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.00012035208003137072,0.08987477097159315,0.0020827915481400616,0.06354,0.00648,整合
A,0.9,0.1,3,6,float32,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.00012035208055749536,0.08987477049231529,0.0020827659988403857,0.06354,0.00648,精度診断
A,0.9,0.1,3,7,float64,0.08975778474716012,0.007295692186922878,記述的評価,100000,-0.0003885252343698326,0.08890211080438176,0.0027032726933376994,0.0627,0.00637,整合
A,0.9,0.1,3,7,float32,0.08975778474716012,0.007295692186922878,記述的評価,100000,-0.0003885252517648041,0.08890210743993521,0.002703306179046683,0.0627,0.00637,精度診断
A,0.9,0.1,3,8,float64,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.0003620568323725975,0.09026190420314384,0.0020174687773051314,0.06316,0.00619,整合
A,0.9,0.1,3,8,float32,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.00036205683136358857,0.09026189893484116,0.0020174637794494465,0.06316,0.00619,精度診断
A,0.9,0.1,3,9,float64,0.08975778474716012,0.007295692186922878,記述的評価,100000,0.000551423949290154,0.08977574762631794,0.002984755597285338,0.06436,0.00657,整合
