stage,beta,gamma0,condition,seed,dtype,nonfinite,first_failure_step,first_failure_index,zero_count,max_abs,min_pole
A,0.5,0.1,0,0,float64,0,,,0,4830.515766481814,0.0005511304551011342
A,0.5,0.1,0,0,float32,0,,,0,4830.515625,0.0005511482569833248
A,0.5,0.1,0,1,float64,0,,,0,8336.554821249523,0.001234824245338828
A,0.5,0.1,0,1,float32,0,,,0,8336.5546875,0.0012348453190664799
A,0.5,0.1,0,2,float64,0,,,0,5981.478741412666,0.0003554946031247841
A,0.5,0.1,0,2,float32,0,,,0,5981.478515625,0.0003554383900503666
A,0.5,0.1,0,3,float64,0,,,0,19950.38521684496,5.0124345384539026e-05
A,0.5,0.1,0,3,float32,0,,,0,19955.455078125,5.011161300139122e-05
A,0.5,0.1,0,4,float64,0,,,0,3141.602157143884,0.0005421961365481565
A,0.5,0.1,0,4,float32,0,,,0,3141.60205078125,0.000541142652926041
A,0.5,0.1,0,5,float64,0,,,0,28499.91208952648,0.0005445390056602051
A,0.5,0.1,0,5,float32,0,,,0,28499.912109375,0.0005445599595486073
A,0.5,0.1,0,6,float64,0,,,0,8743.454214589103,0.00011437127376634493
A,0.5,0.1,0,6,float32,0,,,0,8743.9013671875,0.00011436542006926231
A,0.5,0.1,0,7,float64,0,,,0,63155.67844131464,1.5833888964422727e-05
A,0.5,0.1,0,7,float32,0,,,0,63246.609375,1.581112412019081e-05
A,0.5,0.1,0,8,float64,0,,,0,6606.680521083916,0.00015136194177567397
A,0.5,0.1,0,8,float32,0,,,0,6607.11083984375,0.0001513520863394291
A,0.5,0.1,0,9,float64,0,,,0,14111.503506051744,0.0006118984814342809
A,0.5,0.1,0,9,float32,0,,,0,14111.50390625,0.0006119449946542233
A,0.5,1.0,1,0,float64,0,,,0,2172387.9115076484,4.6032294442888144e-07
A,0.5,1.0,1,0,float32,0,,,0,2308798.25,4.3312576814003023e-07
A,0.5,1.0,1,1,float64,0,,,0,283893.92301538854,1.8312799539010882e-05
A,0.5,1.0,1,1,float32,0,,,0,283893.9375,1.8314519200757218e-05
A,0.5,1.0,1,2,float64,0,,,0,237303.78129593222,4.214007861769176e-06
A,0.5,1.0,1,2,float32,0,,,0,237189.59375,4.2160365243404385e-06
A,0.5,1.0,1,3,float64,0,,,0,1030898.0956182865,1.0799971708941314e-05
A,0.5,1.0,1,3,float32,0,,,0,1030898.125,1.0772547449633407e-05
A,0.5,1.0,1,4,float64,0,,,0,88798.43565726331,1.1261459647915473e-05
A,0.5,1.0,1,4,float32,0,,,0,88643.28125,1.1281171117261124e-05
A,0.5,1.0,1,5,float64,0,,,0,98698.49520564754,1.0131866730489492e-05
A,0.5,1.0,1,5,float32,0,,,0,101762.421875,9.826809881374743e-06
A,0.5,1.0,1,6,float64,0,,,0,357469.27119123645,9.8874787628489e-06
A,0.5,1.0,1,6,float32,0,,,0,357469.28125,1.0025505202904128e-05
A,0.5,1.0,1,7,float64,0,,,0,132027.50590624762,2.2425900518818764e-05
A,0.5,1.0,1,7,float32,0,,,0,132027.5,2.236763504548378e-05
A,0.5,1.0,1,8,float64,0,,,0,471179.080879291,2.1223353086075036e-06
A,0.5,1.0,1,8,float32,0,,,0,483028.9375,2.070269312426376e-06
A,0.5,1.0,1,9,float64,0,,,0,74790.86112817243,6.020852017307732e-05
A,0.5,1.0,1,9,float32,0,,,0,74790.859375,6.0156979833081436e-05
A,0.5,10.0,2,0,float64,0,,,0,271136.237327668,3.078010470680681e-05
A,0.5,10.0,2,0,float32,0,,,0,271136.25,3.110963644026299e-05
A,0.5,10.0,2,1,float64,0,,,0,933003.0012298923,2.4900298234875606e-05
A,0.5,10.0,2,1,float32,0,,,0,933003.0,2.4958452906176376e-05
A,0.5,10.0,2,2,float64,0,,,0,945631.1708541425,5.093677966527821e-06
A,0.5,10.0,2,2,float32,0,,,0,945631.1875,4.732596940115741e-06
A,0.5,10.0,2,3,float64,0,,,0,546218.2382066345,1.5896815847682433e-05
A,0.5,10.0,2,3,float32,0,,,0,546218.25,1.497677764383809e-05
A,0.5,10.0,2,4,float64,0,,,0,225439.71390756,4.4357756787682945e-06
