beta,dtype,metric,n,mean,low,high,theoretical,error,status
1.0001,float32,lyapunov,20,0.031872755566419476,0.029806762743850523,0.03393874838898843,0.03444136656343561,-0.0025686109970161353,不一致（有限時間診断）
1.0001,float32,estimated_scale,20,0.01366206690436229,0.012483263199784295,0.014840870608940286,0.017318949386946766,-0.003656882482584476,不一致（有限時間診断）
1.0001,float32,ks,20,0.11093394559169367,0.09140337305962946,0.1304645181237579,,,記述的評価
1.0001,float64,lyapunov,20,0.03327400841988175,0.02909396216125132,0.03745405467851218,0.03444136656343561,-0.0011673581435538635,整合
1.0001,float64,estimated_scale,20,0.016139295735217475,0.01337565474293721,0.018902936727497738,0.017318949386946766,-0.0011796536517292913,整合
1.0001,float64,ks,20,0.1559548110293682,0.12210376242374499,0.18980585963499141,,,記述的評価
1.0002,float64,lyapunov,20,0.04915897417032891,0.045974033935324475,0.05234391440533335,0.048590790661474544,0.0005681835088543682,整合
1.0002,float64,estimated_scale,20,0.025991401630460053,0.023835478766530888,0.02814732449438922,0.024490489234231166,0.0015009123962288866,整合
1.0002,float64,ks,20,0.1124450162525223,0.08916040589271138,0.13572962661233323,,,記述的評価
1.0005,float64,lyapunov,20,0.07832490886969926,0.0747163619594279,0.08193345577997062,0.07646363999007622,0.0018612688796230403,整合
1.0005,float64,estimated_scale,20,0.03883860362902235,0.03636505017830912,0.041312157079735574,0.038712413809077896,0.0001261898199444514,整合
1.0005,float64,ks,20,0.06865591013110986,0.05318413106635244,0.08412768919586727,,,記述的評価
1.001,float64,lyapunov,20,0.10965053694188301,0.10684593495863513,0.11245513892513088,0.1075558663213407,0.002094670620542305,整合
1.001,float64,estimated_scale,20,0.05493599346123973,0.0531144142670248,0.05675757265545466,0.054723010317845995,0.0002129831433937343,整合
1.001,float64,ks,20,0.043686549170550835,0.03399271411140249,0.05338038422969918,,,記述的評価
1.002,float64,lyapunov,20,0.1520264143425928,0.14888361875822767,0.15516920992695796,0.15095191902001961,0.001074495322573199,整合
1.002,float64,estimated_scale,20,0.07840266954426489,0.0762954143978365,0.08050992469069328,0.07732051980933523,0.0010821497349296633,整合
1.002,float64,ks,20,0.0325525872773119,0.023638042688043023,0.04146713186658077,,,記述的評価
1.005,float64,lyapunov,20,0.2359172699571041,0.23209290683989367,0.23974163307431454,0.23508144636430392,0.0008358235928001834,整合
1.005,float64,estimated_scale,20,0.12207466502190742,0.11969184728826085,0.12445748275555399,0.12192611348882824,0.0001485515330791748,整合
1.005,float64,ks,20,0.019579165025450124,0.015852993567051565,0.023305336483848683,,,記述的評価
1.01,float32,lyapunov,20,0.3542450449050897,0.3473530757947413,0.3611370140154381,0.32679646140062063,0.02744858350446905,不一致（有限時間診断）
1.01,float32,estimated_scale,20,0.192271959874779,0.18749372128380215,0.19705019846575583,0.17166177927933182,0.02061018059544717,不一致（有限時間診断）
1.01,float32,ks,20,0.0534464165545103,0.049816765156383565,0.05707606795263704,,,記述的評価
1.01,float64,lyapunov,20,0.32502036900119063,0.3217278282642375,0.32831290973814375,0.32679646140062063,-0.001776092399429996,整合
1.01,float64,estimated_scale,20,0.17066621923525035,0.16857552558117847,0.17275691288932224,0.17166177927933182,-0.0009955600440814671,整合
1.01,float64,ks,20,0.012553910389772164,0.01047227983242532,0.014635540947119007,,,記述的評価
1.02,float64,lyapunov,20,0.45173778206028237,0.4476533875285414,0.45582217659202334,0.4510363593532758,0.0007014227070065715,整合
1.02,float64,estimated_scale,20,0.24180443933404794,0.2390728934808938,0.24453598518720207,0.24062696159732128,0.001177477736726662,整合
1.02,float64,ks,20,0.010496512364019628,0.008368033609143996,0.01262499111889526,,,記述的評価
1.05,float64,lyapunov,20,0.6789308313503667,0.6755839079474522,0.6822777547532812,0.6794416451037585,-0.0005108137533917922,整合
1.05,float64,estimated_scale,20,0.36980308836298775,0.3670126926072913,0.3725934841186842,0.37070573256992756,-0.0009026442069398066,整合
1.05,float64,ks,20,0.005997817529091026,0.00467484334852769,0.007320791709654362,,,記述的評価
1.1,float64,lyapunov,20,0.9102382119530142,0.9071161110587167,0.9133603128473118,0.9101573245261001,8.088742691414463e-05,整合
1.1,float64,estimated_scale,20,0.502822294981271,0.49977535925359723,0.5058692307089447,0.5029405749446393,-0.00011827996336832847,整合
1.1,float64,ks,20,0.00430811108346014,0.0036820895111246746,0.004934132655795604,,,記述的評価
1.5,float64,lyapunov,20,1.6447974893341104,1.6426158867876657,1.6469790918805551,1.6450687057641085,-0.00027121642999805573,整合
1.5,float64,estimated_scale,20,0.8582863048249859,0.8560371403903678,0.860535469259604,0.8585596366401104,-0.0002733318151244557,整合
1.5,float64,ks,20,0.002418887350848528,0.001967821233775345,0.002869953467921711,,,記述的評価
2.0,float32,lyapunov,20,2.027889555565912,2.0129319901650664,2.0428471209667576,2.0364875897668466,-0.008598034200934634,整合
2.0,float32,estimated_scale,20,0.956236495450139,0.9515893028123225,0.9608836880879555,0.9575040240772688,-0.0012675286271297548,整合
2.0,float32,ks,20,0.014825800183660084,0.013024746181099755,0.016626854186220414,,,記述的評価
2.0,float64,lyapunov,20,2.0361018737961203,2.0339598851848577,2.038243862407383,2.0364875897668466,-0.00038571597072634134,整合
2.0,float64,estimated_scale,20,0.9581312388416177,0.9569253803454539,0.9593370973377814,0.9575040240772688,0.0006272147643489046,整合
2.0,float64,ks,20,0.0020139657422702044,0.0016377988981340227,0.0023901325864063862,,,記述的評価
