stage,group,beta,gamma0,condition,seed,dtype,t,theoretical_scale,status,n,median,estimated_scale,ks,tail10,tail100,absolute_error,floored_error
B,wide,0.5,0.1,0,0,float64,0,0.1,記述的評価,4096,0.004112417578328173,0.10153043299017206,0.014352985738116164,0.056884765625,0.004638671875,0.0015304329901720537,0.015304329901720537
B,wide,0.5,0.1,0,0,float64,1,0.04995837495787998,記述的評価,4096,0.002212497135899804,0.05075346360612338,0.016838483613959787,0.060546875,0.007080078125,0.0007950886482434028,0.01591502223428492
B,wide,0.5,0.1,0,0,float64,2,0.02497399343895132,記述的評価,4096,0.0010541829808332318,0.025322593276452858,0.01562879581182408,0.059814453125,0.007080078125,0.0003485998375015384,0.013958514017939792
B,wide,0.5,0.1,0,0,float64,4,0.006243092761378258,記述的評価,4096,0.00026290340597894473,0.006334574041051257,0.015388096854109912,0.058837890625,0.005859375,9.14812796729992e-05,0.014653198850244749
B,wide,0.5,0.1,0,0,float64,8,0.0003901916143904286,記述的評価,4096,1.652995711608265e-05,0.0003954884106762694,0.01587660664185986,0.058837890625,0.005859375,5.296796285840825e-06,0.013574859352412458
B,wide,0.5,0.1,0,0,float64,16,1.5241859679289446e-06,記述的評価,4096,6.457014498665818e-08,1.5448766312446062e-06,0.015876607538070076,0.058837890625,0.005859375,2.069066331566163e-08,0.013574894239300724
B,wide,0.5,0.1,0,0,float64,32,2.325723217664416e-11,記述的評価,4096,9.852622220864595e-13,2.3572946643753338e-11,0.01587660753808373,0.058837890625,0.005859375,3.1571446710917904e-13,0.013574894239832722
B,wide,0.5,0.1,0,0,float64,64,5.414996337295547e-21,記述的評価,4096,2.293992373362322e-22,5.4885043398834154e-21,0.01587660753808373,0.058837890625,0.005859375,7.350800258786861e-23,7.350800258786861e-11
B,wide,0.5,0.1,0,0,float64,128,2.9354753964484406e-40,記述的評価,4096,1.243575757432304e-41,2.9753241644988592e-40,0.01587660753808373,0.058837890625,0.005859375,3.9848768050418614e-42,3.9848768050418615e-30
B,wide,0.5,0.1,0,0,float64,256,8.626586863757392e-79,記述的評価,4096,3.654540694203052e-80,8.743691868083629e-79,0.01587660753808373,0.058837890625,0.005859375,1.1710500432623685e-80,1.1710500432623685e-68
