stage,group,beta,gamma0,condition,seed,dtype,kind,x,argument,y,step,sample_index,pole_distance_fp,pole_distance_mp,reference,argument_error,multiplication_effect,tan_evaluation_error,total_error,scaled_error
B,wide,0.5,0.1,0,0,float64,pole,3.137476214286551,1.5687381071432756,485.8561073025501,1,1444,0.002058219651621007,0.00205821965162106840584308798381338300701670652349041048747229615390820314310449931401741267105853399,485.8561073025500989841448091507102824292194618904191461109303292922013131863567087416031384359100253,0.0,0.0,0.00000000000002714827767988444822798586008689041914611093032929220131318635670874160313843591002525277193603453636,0.00000000000002714827767988444822798586008689041914611093032929220131318635670874160313843591002525277193603453636,5.58771975320232e-17
B,wide,0.5,0.1,0,0,float64,pole,3.1527321921970763,1.5763660960985382,-179.53879320425622,0,3136,0.005569769303641614,0.00556976930364155281206896774281536755565114015619708951252770384609179685689550068598258732894146601,-179.5387932042562357289267418497482061992391611950817679681441143498662579546417198783218024272151652,0.0,0.0,0.00000000000001304916678402212054735524502057008176796814411434986625795464171987832180242721516519074351804170806,0.00000000000001304916678402212054735524502057008176796814411434986625795464171987832180242721516519074351804170806,7.26816001774973e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.129861339246024,-1.564930669623012,-170.48192589948596,0,3759,0.005865657171884475,0.00586565717188453645068855535893911900517039304692791048747229615390820314310449931401741267105853399,-170.4819258994859601112118424011691483998541493976993260853626439898124200218609488820953037029680571,0.0,0.0,0.000000000000002013199936142407265617871727522699326085362643989812420021860948882095303702968057084956025730781488,0.000000000000002013199936142407265617871727522699326085362643989812420021860948882095303702968057084956025730781488,1.1808876075985703e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.154684045830016,-1.577342022915008,152.76995747494357,3,1156,0.006545696120111355,0.00654569612011129381069642562695568022731251710932208951252770384609179685689550068598258732894146601,152.7699574749435769880079340650106521265804394055583448944255842918097368944456338172408090537822051,0.0,0.0,0.00000000000001006614236650004635769298668940555834489442558429180973689444563381724080905378220513672222986367145,0.00000000000001006614236650004635769298668940555834489442558429180973689444563381724080905378220513672222986367145,6.589085009172065e-17
B,wide,0.5,0.1,0,0,float64,pole,3.121247463241769,1.5606237316208844,98.29994104347195,0,669,0.010172595174012145,0.01017259517401220575781715438890481772419505125005291048747229615390820314310449931401741267105853399,98.29994104347194750146330583631068588946776959494019814570760946892289954269257201130920338640769456,0.0,0.0,0.00000000000000100128703301562935234759765240744019814570760946892289954269257201130920338640769456472583643805424,0.00000000000000100128703301562935234759765240744019814570760946892289954269257201130920338640769456472583643805424,1.018603899846514e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.16282317349431,-1.581411586747155,94.20046640093229,0,830,0.010615259952258427,0.01061525995225836554648614850637292084697194093744708951252770384609179685689550068598258732894146601,94.20046640093227998398330719753800754790846544784462403156217542369374306927067412021468863455447214,0.0,0.0,0.000000000000005198551235202851902196354229864655375968437824576306256930729325879785311365445527856701342387163286,0.000000000000005198551235202851902196354229864655375968437824576306256930729325879785311365445527856701342387163286,5.518604560912666e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.163537651876575,-1.5817688259382876,91.13328282806927,0,529,0.010972499143391046,0.01097249914339098447381295131097336826327748292963458951252770384609179685689550068598258732894146601,91.13328282806926464473072521280738324907524564582931831806968630600446337608182392782531937939356583,0.0,0.0,0.000000000000004854152206444328103353707957479170681681930313693995536623918176072174680620606434167039575656980884,0.000000000000004854152206444328103353707957479170681681930313693995536623918176072174680620606434167039575656980884,5.326431854322752e-17
B,wide,0.5,0.1,0,0,float64,pole,91.13328282806927,45.566641414034635,-73.80746000917598,1,529,0.013547936982634567,0.01354793698263279173313677101495148053264527156096559586330341153666210884996951989349503253930251431,-73.80746000917598662241937409107995392398052950494652959100135553653437494434034790356039821981927991,0.0,0.0,0.000000000000003249321822570166114583770568567446529591001355536534374944340347903560398219819279914679506755104077,0.000000000000003249321822570166114583770568567446529591001355536534374944340347903560398219819279914679506755104077,4.4024300824959964e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.191136672743333,-1.5955683363716664,40.35988431674845,0,1758,0.024772009576769838,0.02477200957676977660294616811486681518557972902338458951252770384609179685689550068598258732894146601,40.35988431674844658821240421582520562794557634271014720438693851576218520581019941439757848522169476,0.0,0.0,0.000000000000002307638338485615843947860087719789852795613061484237814794189800585602421514778305240133357680112389,0.000000000000002307638338485615843947860087719789852795613061484237814794189800585602421514778305240133357680112389,5.717653500627101e-17
B,wide,0.5,0.1,0,0,float64,pole,3.1915942560343504,1.5957971280171752,-39.99038413775448,1,2018,0.025000801222278657,0.02500080122227859563334297576264267382625050539057208951252770384609179685689550068598258732894146601,-39.99038413775448088787657728963642457223145518544856185399864217672069705156850291955247496008672904,0.0,0.0,0.00000000000000130879283711700589319968016590830143814600135782327930294843149708044752503991327095899684251412913,0.00000000000000130879283711700589319968016590830143814600135782327930294843149708044752503991327095899684251412913,3.272768855154329e-17
B,wide,0.5,0.1,0,0,float64,pole,3.1966545383810043,1.5983272691905022,-36.31358934020465,2,690,0.027530942395605607,0.02753094239560554528846316401657437500956959718744708951252770384609179685689550068598258732894146601,-36.31358934020465215725059404241691833211842755527245603684735055652457275784461276345903569006771034,0.0,0.0,0.000000000000001588783989587974059636134540836522456036847350556524572757844612763459035690067710342276478740816874,0.000000000000001588783989587974059636134540836522456036847350556524572757844612763459035690067710342276478740816874,4.375177498163061e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.084594177789764,-1.542297088894882,-35.079157320852865,1,11,0.02849923790001463,0.02849923790001469020925904174757400932308726316411541048747229615390820314310449931401741267105853399,-35.07915732085286253350748282438824743674559181320935595400709621101617200318237507015051706567188807,0.0,0.0,0.000000000000002109749424759757417732016615218040644045992903788983827996817624929849482934328111928691301316387599,0.000000000000002109749424759757417732016615218040644045992903788983827996817624929849482934328111928691301316387599,6.014253436771167e-17
B,wide,0.5,0.1,0,0,float64,pole,3.081424037874406,1.540712018937203,33.22989174281946,0,3667,0.03008430785769356,0.03008430785769362087255083593729162993427805906255291048747229615390820314310449931401741267105853399,33.22989174281946203847881387202359985929494020029137349381921901494764491027237522518595843491898611,0.0,0.0,0.0000000000000006963277699354133779965019714502913734938192190149476449102723752251859584349189861141304746904863785,0.0000000000000006963277699354133779965019714502913734938192190149476449102723752251859584349189861141304746904863785,2.095486122328041e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.2035069604584687,-1.6017534802292344,32.29239191062835,4,11,0.030957153434337803,0.03095715343433774174509855669501026687625355714838458951252770384609179685689550068598258732894146601,32.2923919106283563441067958129720206594372244776343916004380172774318286865948732233664718564265166,0.0,0.0,0.00000000000000288663817577717466310023312291513439160043801727743182868659487322336647185642651660456599396283976,0.00000000000000288663817577717466310023312291513439160043801727743182868659487322336647185642651660456599396283976,8.939065844878151e-17
B,wide,0.5,0.1,0,0,float64,pole,3.2117495347601897,1.6058747673800948,-28.495844855373697,0,548,0.03507844058519827,0.03507844058519820601073226584165146169665760988275958951252770384609179685689550068598258732894146601,-28.49584485537369562026541518733108349295586758905475897168331650470563410929208858240016477802479628,0.0,0.0,0.000000000000001537309082208795306010523136317195241028316683495294365890707911417599835221975203721123951852813896,0.000000000000001537309082208795306010523136317195241028316683495294365890707911417599835221975203721123951852813896,5.394853495347032e-17
B,wide,0.5,0.1,0,0,float64,pole,3.2223224260765377,1.6111612130382689,-24.760551211707543,0,442,0.04036488624337231,0.04036488624337224978201467905935620484355397218744708951252770384609179685689550068598258732894146601,-24.76055121170754342267555604092897480836779280308731675374723709511565617362165624270788794628795506,0.0,0.0,0.00000000000000005036399396732328826078503922816268324625276290488434382637834375729211205371204494112953993243885423,0.00000000000000005036399396732328826078503922816268324625276290488434382637834375729211205371204494112953993243885423,2.034041711620283e-18
B,wide,0.5,0.1,0,0,float64,pole,3.0361371659198833,1.5180685829599416,18.94776861664418,0,1076,0.05272774383495493,0.05272774383495499334405374525769824566837840085942791048747229615390820314310449931401741267105853399,18.94776861664417906715499773541174691758503490723818650253138613336473049521191293754828937714902354,0.0,0.0,0.0000000000000001510008434912777705804313225146368134974686138666352695047880870624517106228509764648896498908184123,0.0000000000000001510008434912777705804313225146368134974686138666352695047880870624517106228509764648896498908184123,7.969320638559782e-18
