stage,group,beta,gamma0,condition,seed,dtype,nonfinite,zero_count,max_abs,min_pole,first_failure_step,first_failure_index
B,wide,0.5,0.1,0,0,float64,0,12391359,485.8561073025501,0.002058219651621007,,
B,wide,0.5,0.1,0,1,float64,0,12391426,927.3535208046834,0.0010783369987410474,,
B,wide,0.5,0.1,0,2,float64,0,12391203,614.4520903616956,0.0016274647491729688,,
B,wide,0.5,0.1,0,3,float64,0,12391420,209.91623531382095,0.00476376890999175,,
B,wide,0.5,0.1,0,4,float64,0,12391470,3356.0693838988095,0.0002979676091330319,,
B,wide,0.5,1.0,1,0,float64,0,12378205,85239.2984261563,1.1731677974857746e-05,,
B,wide,0.5,1.0,1,1,float64,0,12378309,11910.183313635172,0.0007008120455100908,,
B,wide,0.5,1.0,1,2,float64,0,12378702,6720.191273133921,0.00026238751974494434,,
B,wide,0.5,1.0,1,3,float64,0,12378324,3564.3330768618525,0.00035600223934140196,,
B,wide,0.5,1.0,1,4,float64,0,12378294,45046.0889453643,2.2199485532503616e-05,,
B,wide,0.5,10.0,2,0,float64,0,12374570,44724.88054030275,0.0002094433233585935,,
B,wide,0.5,10.0,2,1,float64,0,12374257,31445.71026508007,0.00010493275544476433,,
B,wide,0.5,10.0,2,2,float64,0,12374104,72044.20466544208,1.388036698557471e-05,,
B,wide,0.5,10.0,2,3,float64,0,12374448,555793.3280586617,8.140159138747549e-05,,
B,wide,0.5,10.0,2,4,float64,0,12374248,40337.93617326065,0.00012489235507118224,,
B,wide,0.9,0.1,3,0,float64,0,0,535.2140087632876,0.001868409309127017,,
B,wide,0.9,0.1,3,1,float64,0,0,1184.387839358376,0.0008443178232204751,,
B,wide,0.9,0.1,3,2,float64,0,0,10085.76406297635,9.914965197266312e-05,,
B,wide,0.9,0.1,3,3,float64,0,0,3636.6781351660647,0.00027497621115446513,,
B,wide,0.9,0.1,3,4,float64,0,0,637.4573068684421,0.0015687312215566518,,
B,wide,0.9,1.0,4,0,float64,0,0,7755.729176988906,0.0001289369408912222,,
B,wide,0.9,1.0,4,1,float64,0,0,521304.3794357214,1.9182651047611188e-06,,
B,wide,0.9,1.0,4,2,float64,0,0,62728.29043284099,1.5941770341143524e-05,,
B,wide,0.9,1.0,4,3,float64,0,0,96841.64643424601,1.032613588036746e-05,,
B,wide,0.9,1.0,4,4,float64,0,0,29374.86264340772,3.4042712361070926e-05,,
B,wide,0.9,10.0,5,0,float64,0,0,512661.0914788191,9.107352484982734e-05,,
B,wide,0.9,10.0,5,1,float64,0,0,299973.4707313653,1.5646808448233074e-05,,
B,wide,0.9,10.0,5,2,float64,0,0,21271.950897557217,0.0003798941595123395,,
B,wide,0.9,10.0,5,3,float64,0,0,91281.38527475581,1.3462565962685247e-05,,
B,wide,0.9,10.0,5,4,float64,0,0,39341.94697910654,0.00014478570402975954,,
