stage,beta,gamma0,condition,seed,dtype,start,stop,status,n,median,estimated_scale,ks,tail10,tail100,theoretical_scale,lyapunov,theoretical_lyapunov,log_sensitivity
C,1.0001,0.017318949386946766,0,0,float64,0,200000,記述的評価,200000,0.008775251676624313,0.015424973944714874,0.23347235523224152,0.061265,0.00627,0.017318949386946766,0.034084572227804255,0.03444136656343561,6816.914445560851
C,1.0001,0.017318949386946766,0,0,float64,0,50000,記述的評価,50000,0.0076417994071587185,0.013124031437315692,0.31159235523224155,0.06592,0.00628,0.017318949386946766,0.036409176399696055,0.03444136656343561,1820.4588199848026
C,1.0001,0.017318949386946766,0,0,float64,50000,100000,記述的評価,50000,0.009640029754516478,0.020393847299083667,0.1676668582751848,0.07784,0.00756,0.017318949386946766,0.04030978581748357,0.03444136656343561,2015.4892908741783
C,1.0001,0.017318949386946766,0,0,float64,100000,150000,記述的評価,50000,0.0088462310384434,0.008212375746333073,0.37709971427290495,0.05588,0.00512,0.017318949386946766,0.028425404549651007,0.03444136656343561,1421.2702274825504
C,1.0001,0.017318949386946766,0,0,float64,150000,200000,記述的評価,50000,0.009059899871278525,0.013904577640193204,0.25409864509629315,0.04542,0.00612,0.017318949386946766,0.031193922144386373,0.03444136656343561,1559.6961072193187
C,1.0001,0.017318949386946766,0,0,float32,0,200000,記述的評価,200000,0.0027594079729169607,0.01733639626763761,0.11630815942295708,0.06423,0.006745,0.017318949386946766,0.03576125566194075,0.03444136656343561,7152.25113238815
C,1.0001,0.017318949386946766,0,0,float32,0,50000,記述的評価,50000,-0.007669449783861637,0.021857807645574212,0.1524533098279256,0.07418,0.00734,0.017318949386946766,0.039518587462482435,0.03444136656343561,1975.9293731241219
C,1.0001,0.017318949386946766,0,0,float32,50000,100000,記述的評価,50000,0.005736344726756215,0.01628242648439482,0.19476381829580153,0.04748,0.00514,0.017318949386946766,0.026615495598270623,0.03444136656343561,1330.7747799135311
C,1.0001,0.017318949386946766,0,0,float32,100000,150000,記述的評価,50000,0.0005399775400292128,0.018851749366149306,0.1154039449204527,0.074,0.00754,0.017318949386946766,0.040248754959899394,0.03444136656343561,2012.4377479949696
C,1.0001,0.017318949386946766,0,0,float32,150000,200000,記述的評価,50000,0.0034050075337290764,0.006717885727994144,0.2955163275527418,0.06126,0.00696,0.017318949386946766,0.036662184627110524,0.03444136656343561,1833.1092313555262
C,1.0001,0.017318949386946766,0,1,float64,0,200000,記述的評価,200000,-0.0036206068610784075,0.011232795704535274,0.2431704301604783,0.063035,0.006155,0.017318949386946766,0.03318875590366878,0.03444136656343561,6637.751180733756
C,1.0001,0.017318949386946766,0,1,float64,0,50000,記述的評価,50000,-0.0015403508725414525,0.016822461310584656,0.2711304301604783,0.09758,0.00866,0.017318949386946766,0.04788217540741286,0.03444136656343561,2394.108770370643
C,1.0001,0.017318949386946766,0,1,float64,50000,100000,記述的評価,50000,-0.003915638298438377,0.014958173509917301,0.12370646080682274,0.04906,0.00534,0.017318949386946766,0.027910064595701625,0.03444136656343561,1395.5032297850812
C,1.0001,0.017318949386946766,0,1,float64,100000,150000,記述的評価,50000,-0.00529914536012737,0.004387907457135076,0.5108437752632562,0.01568,0.00178,0.017318949386946766,0.010302158781489615,0.03444136656343561,515.1079390744808
C,1.0001,0.017318949386946766,0,1,float64,150000,200000,記述的評価,50000,-0.004783749679425377,0.023804584033367757,0.1420246677310777,0.08982,0.00884,0.017318949386946766,0.046660624830071065,0.03444136656343561,2333.0312415035532
C,1.0001,0.017318949386946766,0,1,float32,0,200000,記述的評価,200000,-0.002105194260366261,0.015046676620841026,0.054163180411351486,0.05334,0.005555,0.017318949386946766,0.030363800236885945,0.03444136656343561,6072.760047377189
C,1.0001,0.017318949386946766,0,1,float32,0,50000,記述的評価,50000,0.014741978608071804,0.033854187931865454,0.2438085773378209,0.1183,0.0121,0.017318949386946766,0.06627536022693585,0.03444136656343561,3313.7680113467923
C,1.0001,0.017318949386946766,0,1,float32,50000,100000,記述的評価,50000,0.005952003179118037,0.00716467852180358,0.4105833553804097,0.02182,0.00214,0.017318949386946766,0.01178261320908067,0.03444136656343561,589.1306604540335
C,1.0001,0.017318949386946766,0,1,float32,100000,150000,記述的評価,50000,-0.006071006180718541,0.005649739323416725,0.4186031804113516,0.03014,0.00336,0.017318949386946766,0.018948694992889,0.03444136656343561,947.43474964445
C,1.0001,0.017318949386946766,0,1,float32,150000,200000,記述的評価,50000,-0.008843012154102325,0.013121415162459016,0.2967049120639387,0.0431,0.00462,0.017318949386946766,0.02444853251863826,0.03444136656343561,1222.426625931913
C,1.0001,0.017318949386946766,0,2,float64,0,200000,記述的評価,200000,-0.00803914008241775,0.026643276478442803,0.18009929544497205,0.076525,0.007375,0.017318949386946766,0.04001936132963182,0.03444136656343561,8003.872265926364
