beta,epsilon,gamma,lyapunov,R_gamma,R_lambda
1.0001,9.999999999998899e-05,0.017318949386946766,0.03444136656343561,0.9999100090635771,0.994236612832961
1.0002,0.00019999999999997797,0.024490489234231166,0.048590790661474544,0.9998200362499066,0.9918553609917757
1.0005,0.0004999999999999449,0.038712413809077896,0.07646363999007622,0.9995502264937132,0.9871413475732698
1.001,0.0009999999999998899,0.054723010317845995,0.1075558663213407,0.9991009055224618,0.9818462362701956
1.002,0.0020000000000000018,0.07732051980933523,0.15095191902001961,0.9982036184721863,0.9743904474043106
1.005,0.004999999999999893,0.12192611348882824,0.23508144636430392,0.9955225478943522,0.9597159859800041
1.01,0.010000000000000009,0.17166177927933182,0.32679646140062063,0.9910897447649231,0.9433801247993269
1.02,0.020000000000000018,0.24062696159732128,0.4510363593532758,0.9823554571161999,0.9206741132150968
1.05,0.050000000000000044,0.37070573256992756,0.6794416451037585,0.9571580857246328,0.8771553920688752
1.1,0.10000000000000009,0.5029405749446393,0.9101573245261001,0.9182396599393212,0.8308561625358245
1.5,0.5,0.8585596366401104,1.6450687057641085,0.701011007839201,0.671596486823797
2.0,1.0,0.9575040240772688,2.0364875897668466,0.5528152060511611,0.5878833290766106
