stage,beta,gamma0,condition,seed,dtype,initial,cast_initial
C,1.0001,0.017318949386946766,0,0,float64,0.007727571654920974,0.007727571654920974
C,1.0001,0.017318949386946766,0,0,float32,0.007727571654920974,0.00772757176309824
C,1.0001,0.017318949386946766,0,1,float64,0.018310825591449732,0.018310825591449732
C,1.0001,0.017318949386946766,0,1,float32,0.018310825591449732,0.018310826271772385
C,1.0001,0.017318949386946766,0,2,float64,-0.025108989668780477,-0.025108989668780477
C,1.0001,0.017318949386946766,0,2,float32,-0.025108989668780477,-0.02510898932814598
C,1.0001,0.017318949386946766,0,3,float64,0.045323029309251625,0.045323029309251625
C,1.0001,0.017318949386946766,0,3,float32,0.045323029309251625,0.04532302916049957
C,1.0001,0.017318949386946766,0,4,float64,-0.012408102820337445,-0.012408102820337445
C,1.0001,0.017318949386946766,0,4,float32,-0.012408102820337445,-0.012408102862536907
C,1.0001,0.017318949386946766,0,5,float64,0.006023154625890976,0.006023154625890976
C,1.0001,0.017318949386946766,0,5,float32,0.006023154625890976,0.006023154594004154
C,1.0001,0.017318949386946766,0,6,float64,0.0003762402243639541,0.0003762402243639541
C,1.0001,0.017318949386946766,0,6,float32,0.0003762402243639541,0.00037624023389071226
C,1.0001,0.017318949386946766,0,7,float64,0.009040916221769738,0.009040916221769738
C,1.0001,0.017318949386946766,0,7,float32,0.009040916221769738,0.009040916338562965
C,1.0001,0.017318949386946766,0,8,float64,0.011876712010430782,0.011876712010430782
C,1.0001,0.017318949386946766,0,8,float32,0.011876712010430782,0.011876711621880531
C,1.0001,0.017318949386946766,0,9,float64,0.022555891573483925,0.022555891573483925
C,1.0001,0.017318949386946766,0,9,float32,0.022555891573483925,0.022555891424417496
C,1.0001,0.017318949386946766,0,10,float64,-0.0027396976487602245,-0.0027396976487602245
C,1.0001,0.017318949386946766,0,10,float32,-0.0027396976487602245,-0.0027396976947784424
C,1.0001,0.017318949386946766,0,11,float64,0.005586838752501364,0.005586838752501364
C,1.0001,0.017318949386946766,0,11,float32,0.005586838752501364,0.005586838815361261
C,1.0001,0.017318949386946766,0,12,float64,0.3518288502020531,0.3518288502020531
C,1.0001,0.017318949386946766,0,12,float32,0.3518288502020531,0.35182884335517883
