beta,multiplier,tau,tau_empirical,selected_points,asymptotic_tau
1.0001,0.9998000239975315,5000.099993615983,4999.429059199321,34532,5000.00000000055
1.0002,0.9996000959802553,2500.0999872392135,2499.764527706538,17267,2500.000000000275
1.0005,0.9990005996915833,1000.0999681040693,999.9657239988749,6907,1000.0000000001102
1.001,0.9980023975338945,500.0999362237513,500.0327581884762,3454,500.0000000000551
1.002,0.996009580290847,250.09987251412846,250.066251714107,1728,249.99999999999977
1.005,0.9900596929637568,100.09968178322103,100.08618096439669,692,100.00000000000213
1.01,0.9802375558700006,50.09936521820555,50.092550121267976,346,49.99999999999996
1.02,0.9609406386594901,25.098736984820672,25.095296147724103,174,24.99999999999998
1.05,0.9057061228317831,10.096890437830863,10.0954481864423,70,9.999999999999991
1.1,0.8217558558817912,5.093933655825516,5.093179338727755,36,4.999999999999996
1.5,0.3943130254986024,1.0745637599221174,1.0743276732248133,8,1.0
2.0,0.16637208775167434,0.557560137099753,0.5573466670496179,4,0.5
