orbit,window,unique_last_window,n
b1.0001_float64,50000,50000,50000
b1.0001_float32,50000,50000,50000
b1.0002_float64,50000,50000,50000
b1.0005_float64,50000,50000,50000
b1.001_float64,50000,50000,50000
b1.002_float64,50000,50000,50000
b1.005_float64,50000,50000,50000
b1.01_float64,50000,50000,50000
b1.01_float32,50000,3500,50000
b1.02_float64,50000,50000,50000
b1.05_float64,50000,50000,50000
b1.1_float64,50000,50000,50000
b1.5_float64,50000,50000,50000
b2.0_float64,50000,50000,50000
b2.0_float32,50000,4187,50000
