beta,gamma0,t,gamma,fixed,convergence_step,status,A,H,H_over_t,delta_H,Q
0.5,0.1,0,0.1,0.0,37,整合,,,,,
0.5,0.1,1,0.04995837495787998,0.0,37,整合,,,,,
0.5,0.1,2,0.02497399343895132,0.0,37,整合,,,,,
0.5,0.1,4,0.006243092761378258,0.0,37,整合,,,,,
0.5,0.1,8,0.0003901916143904286,0.0,37,整合,,,,,
0.5,0.1,16,1.5241859679289446e-06,0.0,37,整合,,,,,
0.5,0.1,32,2.325723217664416e-11,0.0,37,整合,,,,,
0.5,0.1,64,5.414996337295547e-21,0.0,37,整合,,,,,
0.5,0.1,128,2.9354753964484406e-40,0.0,37,整合,,,,,
0.5,0.1,256,8.626586863757392e-79,0.0,37,整合,,,,,
0.5,0.1,512,7.450065821057239e-156,0.0,37,整合,,,,,
0.5,0.1,1024,5.55651293633137e-310,0.0,37,整合,,,,,
0.5,0.1,2048,0.0,0.0,37,整合,,,,,
0.5,0.1,4096,0.0,0.0,37,整合,,,,,
0.5,1.0,0,1.0,0.0,40,整合,,,,,
0.5,1.0,1,0.46211715726000974,0.0,40,整合,,,,,
0.5,1.0,2,0.2270326087174543,0.0,40,整合,,,,,
0.5,1.0,4,0.05645551423322024,0.0,40,整合,,,,,
0.5,1.0,8,0.003527225540767175,0.0,40,整合,,,,,
0.5,1.0,16,1.3778205722357871e-05,0.0,40,整合,,,,,
0.5,1.0,32,2.1023873477275458e-10,0.0,40,整合,,,,,
0.5,1.0,64,4.895001993811563e-20,0.0,40,整合,,,,,
0.5,1.0,128,2.6535858980056862e-39,0.0,40,整合,,,,,
0.5,1.0,256,7.798188081318427e-78,0.0,40,整合,,,,,
0.5,1.0,512,6.734646669459448e-155,0.0,40,整合,,,,,
0.5,1.0,1024,5.02292895650712e-309,0.0,40,整合,,,,,
0.5,1.0,2048,0.0,0.0,40,整合,,,,,
0.5,1.0,4096,0.0,0.0,40,整合,,,,,
0.5,10.0,0,10.0,0.0,41,整合,,,,,
0.5,10.0,1,0.9999092042625951,0.0,41,整合,,,,,
0.5,10.0,2,0.46208145346007695,0.0,41,整合,,,,,
0.5,10.0,4,0.11302285825604029,0.0,41,整合,,,,,
0.5,10.0,8,0.00705396018653731,0.0,41,整合,,,,,
0.5,10.0,16,2.755437964119039e-05,0.0,41,整合,,,,,
0.5,10.0,32,4.204464666574996e-10,0.0,41,整合,,,,,
0.5,10.0,64,9.789282145386087e-20,0.0,41,整合,,,,,
0.5,10.0,128,5.3067804845505775e-39,0.0,41,整合,,,,,
0.5,10.0,256,1.5595226201607914e-77,0.0,41,整合,,,,,
0.5,10.0,512,1.3468300213191124e-154,0.0,41,整合,,,,,
0.5,10.0,1024,1.0045117206007577e-308,0.0,41,整合,,,,,
0.5,10.0,2048,0.0,0.0,41,整合,,,,,
0.5,10.0,4096,0.0,0.0,41,整合,,,,,
0.9,0.1,0,0.1,0.0,241,整合,,,,,
0.9,0.1,1,0.08975778474716012,0.0,241,整合,,,,,
0.9,0.1,2,0.08060674315739395,0.0,241,整合,,,,,
0.9,0.1,4,0.06508502540610224,0.0,241,整合,,,,,
0.9,0.1,8,0.04255659420519657,0.0,241,整合,,,,,
0.9,0.1,16,0.018280924816008303,0.0,241,整合,,,,,
0.9,0.1,32,0.003385939822164526,0.0,241,整合,,,,,
0.9,0.1,64,0.00011626057599394618,0.0,241,整合,,,,,
0.9,0.1,128,1.3707336237542437e-07,0.0,241,整合,,,,,
0.9,0.1,256,1.9054355965938837e-13,0.0,241,整合,,,,,
0.9,0.1,512,3.681939861587996e-25,0.0,241,整合,,,,,
0.9,0.1,1024,1.3748063318716144e-48,0.0,241,整合,,,,,
0.9,0.1,2048,1.9167752347540453e-95,0.0,241,整合,,,,,
0.9,0.1,4096,3.725894223301694e-189,0.0,241,整合,,,,,
0.9,1.0,0,1.0,0.0,256,整合,,,,,
0.9,1.0,1,0.7162978701990244,0.0,256,整合,,,,,
0.9,1.0,2,0.5680696145046881,0.0,256,整合,,,,,
0.9,1.0,4,0.4001567671802372,0.0,256,整合,,,,,
0.9,1.0,8,0.23374099357398992,0.0,256,整合,,,,,
0.9,1.0,16,0.0947852310505868,0.0,256,整合,,,,,
0.9,1.0,32,0.017351192511865052,0.0,256,整合,,,,,
0.9,1.0,64,0.0005955306567589541,0.0,256,整合,,,,,
0.9,1.0,128,7.021412826202464e-07,0.0,256,整合,,,,,
0.9,1.0,256,9.760357304707586e-13,0.0,256,整合,,,,,
0.9,1.0,512,1.8860279868700217e-24,0.0,256,整合,,,,,
0.9,1.0,1024,7.042274767947107e-48,0.0,256,整合,,,,,
0.9,1.0,2048,9.818443193491821e-95,0.0,256,整合,,,,,
0.9,1.0,4096,1.9085430630128723e-188,0.0,256,整合,,,,,
0.9,10.0,0,10.0,0.0,257,整合,,,,,
0.9,10.0,1,0.999999969540041,0.0,257,整合,,,,,
0.9,10.0,2,0.7162978568506896,0.0,257,整合,,,,,
0.9,10.0,4,0.4709284073279897,0.0,257,整合,,,,,
0.9,10.0,8,0.26460335854897554,0.0,257,整合,,,,,
0.9,10.0,16,0.1056340312444838,0.0,257,整合,,,,,
0.9,10.0,32,0.019281037745553228,0.0,257,整合,,,,,
0.9,10.0,64,0.0006617008030846117,0.0,257,整合,,,,,
0.9,10.0,128,7.801569749438006e-07,0.0,257,整合,,,,,
0.9,10.0,256,1.0844841369807913e-12,0.0,257,整合,,,,,
0.9,10.0,512,2.09558663664479e-24,0.0,257,整合,,,,,
0.9,10.0,1024,7.82474968453785e-48,0.0,257,整合,,,,,
0.9,10.0,2048,1.0909381245759572e-94,0.0,257,整合,,,,,
0.9,10.0,4096,2.1206033877303886e-188,0.0,257,整合,,,,,
0.95,0.1,0,0.1,0.0,494,整合,,,,,
0.95,0.1,1,0.09471523628617855,0.0,494,整合,,,,,
0.95,0.1,2,0.08973742454461724,0.0,494,整合,,,,,
0.95,0.1,4,0.08061706597714031,0.0,494,整合,,,,,
0.95,0.1,8,0.06522413506619147,0.0,494,整合,,,,,
0.95,0.1,16,0.0429563985746935,0.0,494,整合,,,,,
0.95,0.1,32,0.018820050100220965,0.0,494,整合,,,,,
0.95,0.1,64,0.00364183113774503,0.0,494,整合,,,,,
0.95,0.1,128,0.00013665099449592093,0.0,494,整合,,,,,
0.95,0.1,256,1.9241292809089248e-07,0.0,494,整合,,,,,
0.95,0.1,512,3.8148476846659475e-13,0.0,494,整合,,,,,
0.95,0.1,1024,1.4995574557307103e-24,0.0,494,整合,,,,,
0.95,0.1,2048,2.317047442512427e-47,0.0,494,整合,,,,,
0.95,0.1,4096,5.531953970061364e-93,0.0,494,整合,,,,,
0.95,1.0,0,1.0,0.0,520,整合,,,,,
0.95,1.0,1,0.7397830512740042,0.0,520,整合,,,,,
0.95,1.0,2,0.6061381812301552,0.0,520,整合,,,,,
0.95,1.0,4,0.45710658053383335,0.0,520,整合,,,,,
0.95,1.0,8,0.31024902505284213,0.0,520,整合,,,,,
0.95,1.0,16,0.17817249280765698,0.0,520,整合,,,,,
0.95,1.0,32,0.07286564062320874,0.0,520,整合,,,,,
0.95,1.0,64,0.013897431705283333,0.0,520,整合,,,,,
0.95,1.0,128,0.0005211791058658912,0.0,520,整合,,,,,
0.95,1.0,256,7.338513702120494e-07,0.0,520,整合,,,,,
0.95,1.0,512,1.4549600322155033e-12,0.0,520,整合,,,,,
0.95,1.0,1024,5.719222219195896e-24,0.0,520,整合,,,,,
0.95,1.0,2048,8.837080010175902e-47,0.0,520,整合,,,,,
0.95,1.0,4096,2.109854073295707e-92,0.0,520,整合,,,,,
0.95,10.0,0,10.0,0.0,521,整合,,,,,
