alpha,lag,degree,theory,observed_real,observed_imag,error
0.25,1,1,-0.5,-0.5,0.0,0.0
0.25,1,2,0.25,0.24999999999999997,0.0,2.7755575615628914e-17
0.25,1,4,0.0625,0.06249999999999998,-2.7755575615628914e-17,3.469446951953614e-17
0.25,2,1,0.25,0.25,2.7755575615628914e-17,2.7755575615628914e-17
0.25,2,2,0.0625,0.06249999999999995,0.0,4.85722573273506e-17
0.25,2,4,0.00390625,0.0039062499999999445,1.9081958235744878e-17,5.869931039739981e-17
0.25,3,1,-0.125,-0.12500000000000006,-3.469446951953614e-18,5.561946577567963e-17
0.25,3,2,0.015625,0.015624999999999955,0.0,4.5102810375396984e-17
0.25,3,4,0.000244140625,0.00024414062499997745,2.6020852139652106e-18,2.2701029126462325e-17
0.38,1,1,-0.24,-0.2400000000000001,0.0,1.1102230246251565e-16
0.38,1,2,0.0576,0.05759999999999993,0.0,6.938893903907228e-17
0.38,1,4,0.0033177599999999995,0.0033177599999999544,1.3877787807814457e-17,4.718958039861916e-17
0.38,2,1,0.0576,0.05759999999999996,-1.3877787807814457e-17,4.3885418357208765e-17
0.38,2,2,0.0033177599999999995,0.0033177599999999474,-1.3877787807814457e-17,5.3860300581534765e-17
0.38,2,4,1.1007531417599997e-05,1.1007531417557906e-05,6.938893903907228e-18,4.265888451734902e-17
0.38,3,1,-0.013823999999999998,-0.013824000000000034,0.0,3.642919299551295e-17
0.38,3,2,0.00019110297599999996,0.00019110297599996863,-3.469446951953614e-18,3.152493773035409e-17
0.38,3,4,3.652034743605656e-08,3.652034738857446e-08,-5.204170427930421e-18,4.7766443853877947e-17
0.5,1,1,0.0,-5.551115123125783e-17,0.0,5.551115123125783e-17
0.5,1,2,0.0,-5.551115123125783e-17,0.0,5.551115123125783e-17
0.5,1,4,0.0,-3.469446951953614e-17,0.0,3.469446951953614e-17
0.5,2,1,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,3.925231146709438e-17
0.5,2,2,0.0,-3.469446951953614e-17,6.938893903907228e-18,3.5381555418772973e-17
0.5,2,4,0.0,-3.9898639947466563e-17,-3.469446951953614e-18,4.0049201387917773e-17
0.5,3,1,0.0,-7.632783294297951e-17,6.938893903907228e-18,7.664258822861523e-17
0.5,3,2,0.0,-4.163336342344337e-17,-3.469446951953614e-18,4.1777673608052095e-17
0.5,3,4,0.0,-4.0766001685454967e-17,6.938893903907228e-18,4.1352329342229297e-17
0.62,1,1,0.24,0.23999999999999996,0.0,2.7755575615628914e-17
0.62,1,2,0.0576,0.0576,0.0,0.0
0.62,1,4,0.0033177599999999995,0.0033177599999999544,-1.3877787807814457e-17,4.718958039861916e-17
0.62,2,1,0.0576,0.05759999999999996,0.0,4.163336342344337e-17
0.62,2,2,0.0033177599999999995,0.003317759999999958,-3.469446951953614e-18,4.1777673608052095e-17
0.62,2,4,1.1007531417599997e-05,1.100753141755964e-05,1.734723475976807e-18,4.0393304488843153e-17
0.62,3,1,0.013823999999999998,0.01382399999999997,0.0,2.7755575615628914e-17
0.62,3,2,0.00019110297599999996,0.00019110297599996516,1.734723475976807e-18,3.4846095901390424e-17
0.62,3,4,3.652034743605656e-08,3.652034739377863e-08,-1.734723475976807e-18,4.231350314391294e-17
0.75,1,1,0.5,0.5,0.0,0.0
0.75,1,2,0.25,0.24999999999999994,0.0,5.551115123125783e-17
0.75,1,4,0.0625,0.062499999999999944,1.3877787807814457e-17,5.721958498152797e-17
0.75,2,1,0.25,0.24999999999999994,0.0,5.551115123125783e-17
0.75,2,2,0.0625,0.062499999999999986,-2.7755575615628914e-17,3.1031676915590914e-17
0.75,2,4,0.00390625,0.0039062499999999722,0.0,2.7755575615628914e-17
0.75,3,1,0.125,0.12499999999999994,2.7755575615628914e-17,6.206335383118183e-17
0.75,3,2,0.015625,0.015624999999999969,-6.938893903907228e-18,3.1986720415755645e-17
0.75,3,4,0.000244140625,0.0002441406249999536,1.0408340855860843e-17,4.755682002596558e-17
