alpha,lag,degree,theory,mean_real,mean_imag,seed_standard_error,absolute_error
0.25,1,1,-0.5,-0.5009065339156358,0.00025612212531571116,0.0012576361045189715,0.0009420203199900574
0.25,1,2,0.25,0.2493353645952674,-0.0004163602014765759,0.000674177653155143,0.0007842805866510332
0.25,1,4,0.0625,0.06236450637755345,0.00084693991171695,0.001269446852047481,0.0008577095870880797
0.25,2,1,0.25,0.24951682102220407,-0.0006002954326906472,0.0015726469168012795,0.000770594920235768
0.25,2,2,0.0625,0.06150519935294502,-0.00141630746166674,0.0018952358810860096,0.0017307672152412344
0.25,2,4,0.00390625,0.003313071500450351,-0.0005993585506493996,0.001410241178978296,0.0008432623580858578
0.25,3,1,-0.125,-0.12378764033117366,0.00019446723678480312,0.0015068806418449625,0.0012278572688954625
0.25,3,2,0.015625,0.017259033079294432,-0.00010287304135175466,0.0009199637761466365,0.0016372681414067165
0.25,3,4,0.000244140625,0.0005190980783194979,-0.0024437217092626784,0.0012142604980771123,0.002459141596870268
0.38,1,1,-0.24,-0.23918022780981135,-0.0001930347023591116,0.0014322497598043221,0.0008421928758435023
0.38,1,2,0.0576,0.05850091794286849,0.00031047455622996875,0.0006478354724712836,0.0009529153109529686
0.38,1,4,0.0033177599999999995,0.002346635234022049,-0.0011731497931680365,0.0021215928195572192,0.00152294574700018
0.38,2,1,0.0576,0.058961167969539444,0.0016569928829207414,0.0016787669957718874,0.0021443888768947965
0.38,2,2,0.0033177599999999995,0.005862417743145325,0.0018359790468321445,0.0017441793249227805,0.003137849915173785
0.38,2,4,1.1007531417599997e-05,0.0022102045794510916,0.0012576974618940528,0.0011224432091475637,0.00253343059145775
0.38,3,1,-0.013823999999999998,-0.013357112435098045,-0.0009677153274857218,0.0009517709470415072,0.0010744565851214616
0.38,3,2,0.00019110297599999996,0.0013085681047673016,-0.0003866596906857597,0.001012964346188966,0.0011824694627820753
0.38,3,4,3.652034743605656e-08,0.0006601857858435814,-0.0004921457629913737,0.0010804915728874446,0.000823410289445949
0.5,1,1,0.0,0.0005280472774197234,-0.004312539007412219,0.0011689082712585618,0.004344747014227912
0.5,1,2,0.0,0.000540728369954688,-0.004282717242448546,0.001171735235676476,0.0043167179834730845
0.5,1,4,0.0,0.0005549340307771604,-0.0042981563737153,0.0011682575251708803,0.00433383202159752
0.5,2,1,0.0,-0.0010973843231996709,-0.001014935834410239,0.0013756133453306923,0.0014947732606567484
0.5,2,2,0.0,-0.0011106241146898255,-0.0010187744903414717,0.0013794042207482223,0.001507112267318226
0.5,2,4,0.0,-0.0011262808928402682,-0.0010152938210889917,0.0013764111589392874,0.0015163542438093275
0.5,3,1,0.0,-0.0013488626469161237,0.00015216217902585833,0.0015236578465950095,0.0013574180523963386
0.5,3,2,0.0,-0.0013475367255075918,0.00013097145633540405,0.001527260384500095,0.0013538865347459289
0.5,3,4,0.0,-0.001356826530972065,0.00014941977737876816,0.0015335385152314173,0.0013650291224078731
0.62,1,1,0.24,0.23831798701205453,0.0013919083777909104,0.0013221103741722696,0.0021832490979688353
0.62,1,2,0.0576,0.055283717602895306,0.002161185797666925,0.0019927784276389934,0.003167947000057653
0.62,1,4,0.0033177599999999995,0.0014374239989348168,0.0014290682893212572,0.002070195481513136,0.002361757746350245
0.62,2,1,0.0576,0.056457430813165205,0.0003709867378346867,0.001486184185010684,0.0012012891019040938
0.62,2,2,0.0033177599999999995,0.001339805195128761,8.176342490524629e-05,0.0013203748972938918,0.0019796440255170768
0.62,2,4,1.1007531417599997e-05,-0.002578682234472776,-0.0008057271327818159,0.001116877076566269,0.0027121374036095875
0.62,3,1,0.013823999999999998,0.014117626858077001,-0.0002603827812709282,0.0014010561837580575,0.00039244862665902756
0.62,3,2,0.00019110297599999996,0.0006335019177839227,0.00040017100613545884,0.0015393723578841615,0.0005965347079952683
0.62,3,4,3.652034743605656e-08,0.0012820319414291051,-0.0002152895289181569,0.0014330204887851735,0.0012999468608124595
0.75,1,1,0.5,0.5002776017875569,-0.0008807121924237509,0.0010836911740393336,0.0009234266177334392
0.75,1,2,0.25,0.25046794142447143,-0.00268206183745401,0.0019093019623828377,0.002722576881680944
0.75,1,4,0.0625,0.06300837676549992,0.0010272805985920952,0.0024023687789718655,0.001146190369853059
0.75,2,1,0.25,0.250574494508812,0.0006206718286788661,0.0016363330777607928,0.0008457407756344012
0.75,2,2,0.0625,0.06186916257216752,0.0013254087755350673,0.002535578795637735,0.001467877475343111
0.75,2,4,0.00390625,0.004780688550754251,-0.0008587234323184046,0.0018646705407974382,0.0012255809692786098
0.75,3,1,0.125,0.12710092896161077,-0.00016810659409623933,0.0014058169363936693,0.002107643786011651
0.75,3,2,0.015625,0.016235370357162125,-0.0025081113772579145,0.001976847204775357,0.0025813125834801202
0.75,3,4,0.000244140625,0.0007925202414555994,0.0013290466705566367,0.0019723702576586737,0.001437736156692761
