m,omega,horizon,degree,retained,theory_rank,observed_rank,theory_nmse,observed_nmse,q1_theory_nmse,q1_observed_nmse
2,-1.5707963267948966,1,8,4,8,8,0.5,0.5,0,1.0356475614616404e-31
2,-1.5707963267948966,2,8,2,4,4,0.75,0.75,0,4.5735820425053695e-31
2,-1.5707963267948966,3,8,1,2,2,0.875,0.8750000000000002,0,1.949511927413061e-30
2,-1.5707963267948966,4,8,0,0,0,1.0,1.0,1,1.0
2,-1.5707963267948966,5,8,0,0,0,1.0,1.0,1,1.0
3,0.17,1,8,2,4,4,0.75,0.75,0,1.9907503195198564e-31
3,0.17,2,8,0,0,0,1.0,1.0,1,1.0
3,0.17,3,8,0,0,0,1.0,1.0,1,1.0
3,0.17,4,8,0,0,0,1.0,1.0,1,1.0
3,0.17,5,8,0,0,0,1.0,1.0,1,1.0
