key,beta,dtype,scale_name,scale,start,stop,n,order,lag,k,pairs,real,imag,theory,error
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1,1,199999,0.9998089522863918,1.943878881624034e-05,0.9998000239975315,2.1391139581942456e-05
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1,2,199999,0.9996172308814849,2.9069143784666264e-05,0.9996000879854646,3.3747503675618046e-05
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1,3,199999,0.9994313510932686,0.00010166218358824385,0.9994001919558022,0.00010633010589471675
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1,4,199999,0.9992025958658184,0.00017339707825890908,0.9992003359005487,0.00017341180522601827
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1,5,199999,0.9989478891899624,0.0001850340595576705,0.9990005198117101,0.00019237355728360275
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1,6,199999,0.9987578390522338,0.00022220705232223127,0.9988007436812942,0.00022631124871854582
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1,7,199999,0.9985739269559953,0.00027051678604381467,0.9986010075013103,0.00027186887917897347
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1,8,199999,0.9983419766133526,0.00029459355342888204,0.9984013112637693,0.000300509504778023
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,2,1,199998,0.9996188021160584,3.788751981500094e-05,0.9996000879854646,4.225734068314513e-05
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,2,2,199998,0.9992363735910064,5.553923194018681e-05,0.9992003359005487,6.620665690117129e-05
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,2,3,199998,0.9988682633031126,0.00019906223471154494,0.9988007436812942,0.0002102015047968322
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,2,4,199998,0.9984079834288433,0.0003436425875999929,0.9984013112637693,0.00034370735488085415
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,2,5,199998,0.9979030896980489,0.0003614935351522205,0.998002038584067,0.00037479121921555155
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,2,6,199998,0.9975262215465334,0.00043599854921451094,0.9976029255783064,0.000442694300174965
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,2,7,199998,0.9971536164741048,0.0005321215254009643,0.9972039721826321,0.0005344988448783915
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,2,8,199998,0.9966870019167273,0.0005790701311726126,0.9968051783332139,0.0005910058225008273
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4,1,199996,0.9992389032388653,7.290399455398102e-05,0.9992003359005487,8.247685740107465e-05
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4,2,199996,0.9984754739633004,0.000109236315207593,0.9984013112637693,0.00013203286924804415
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4,3,199996,0.9977367845457848,0.0003896062198454608,0.9976029255783064,0.00041196022831901816
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4,4,199996,0.9968211644231096,0.0006752902555290999,0.9968051783332139,0.0006754794477130383
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4,5,199996,0.9958171746055103,0.0007000279353501736,0.9960080690179536,0.0007255892687827446
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4,6,199996,0.9950666145396213,0.0008262373725779206,0.995211597122396,0.0008388612192445768
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4,7,199996,0.9943294278641539,0.0010158562575875822,0.9944157621368197,0.001019518289544911
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4,8,199996,0.9933899488375563,0.0011106058614662904,0.9936205635519103,0.001134296489459381
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,8,1,199992,0.9984763409183697,0.0001471610724928141,0.9984013112637693,0.00016518423147106787
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,8,2,199992,0.9969585505698341,0.00023502198781642607,0.9968051783332139,0.0002806392305488534
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,8,3,199992,0.9954869476738017,0.0007935185789700333,0.995211597122396,0.000839934319652464
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,8,4,199992,0.9936893504994205,0.0013537406450181352,0.9936205635519103,0.0013554871368337993
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,8,5,199992,0.9916915793315545,0.0014035924230176961,0.9920320735488727,0.00144430190818257
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,8,6,199992,0.9902427814065992,0.001611981618831858,0.9904461230469104,0.0016247561546694424
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,8,7,199992,0.988776726362913,0.001995556688387571,0.988862707986152,0.0019974081546101606
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,8,8,199992,0.986905273354684,0.0022049187736513684,0.9872818243132159,0.0022368409471331444
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16,1,199984,0.9969663925202329,0.0003094437302060122,0.9968051783332139,0.00034892038670734156
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16,2,199984,0.9939339580813243,0.000515763503613175,0.9936205635519103,0.0006035131504167759
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16,3,199984,0.9910139318064243,0.001644456376113376,0.9904461230469104,0.00173972513930237
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16,4,199984,0.9874929765333024,0.002755831175786992,0.9872818243132159,0.002763908596442178
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16,5,199984,0.9835206461126962,0.002870908140453989,0.9841276349496758,0.0029343736979367267
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16,6,199984,0.980640483641308,0.0032601645920810897,0.9809835226586556,0.003278162432656764
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16,7,199984,0.9778722624500096,0.003967597924907755,0.9778494552457055,0.003967663476443093
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16,8,199984,0.9742871383889685,0.004473020235889672,0.9747254006192315,0.004494439210085458
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,64,1,199936,0.9878588350208044,0.0010864058492257897,0.9872818243132159,0.0012301296784907791
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,64,2,199936,0.9755935779157265,0.0020567581396086537,0.9747254006192315,0.0022324842357776807
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,64,3,199936,0.96421124557961,0.006489105990727565,0.9623286717277851,0.006756669361932043
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,64,4,199936,0.9509048148762181,0.010187893011822694,0.9500896066123214,0.01022045637600744
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,64,5,199936,0.9358851247029026,0.009938396542884406,0.9380062000772383,0.010162218585881237
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,64,6,199936,0.92375003338162,0.01111258134563085,0.9260764724293632,0.011353492097417742
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,64,7,199936,0.9137247737226338,0.012932443510703448,0.9142984691536092,0.012945162092652908
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,64,8,199936,0.9001446878037153,0.013628096086174771,0.9026702605927558,0.013860141443966367
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,256,1,199744,0.9528232577976499,0.0037458158107708246,0.9500896066123214,0.004637238929715417
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,256,2,199744,0.9043013719086617,0.008021718032515618,0.9026702605927558,0.008185871017678108
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,256,3,199744,0.8622108867309428,0.02163937707097392,0.857617632787213,0.022121496825743527
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,256,4,199744,0.8213132560200836,0.0301700957867862,0.8148135993585937,0.03086227821307276
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,256,5,199744,0.7743444954988931,0.033413287078278925,0.7741459320769759,0.03341387706938548
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,256,6,199744,0.7354511672613314,0.028233289793292857,0.735508004067543,0.028233347002695145
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,256,7,199744,0.705532137793966,0.030535681593672287,0.6987985102447457,0.031269307481326704
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,256,8,199744,0.6732557498624814,0.031262823600997136,0.6639212016997068,0.032626644462926645
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1024,1,198976,0.8315002615292825,0.010445698357946669,0.8148135993585937,0.019686475270700617
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1024,2,198976,0.678074239198523,0.025009813516623396,0.6639212016997068,0.028736722892131892
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1024,3,198976,0.5705102061253653,0.027596377144653357,0.540972024047421,0.04042356035754073
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1024,4,198976,0.46151360158778076,0.016799584741502217,0.4407913620663827,0.02667653010174123
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1024,5,198976,0.3625717696608958,0.012358575689594989,0.35916279629148634,0.012820120612100002
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1024,6,198976,0.3028926771961325,0.020800301384812817,0.29265073080196335,0.02318512461989541
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1024,7,198976,0.23072691588039626,0.02506428158807418,0.2384557953196706,0.026228873191830256
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,1024,8,198976,0.17439095829717152,0.04062294283604933,0.19429702487233688,0.04523798151062718
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4096,1,195904,0.4547325904918352,0.05870846458401937,0.4407913620663827,0.06034104460335188
