key,beta,dtype,scale_name,scale,start,stop,n,k,real,imag,theory,error
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,1,-0.9649290612392367,-0.007212529073874464,-0.9659517806143619,0.00728467779395499
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,2,0.9321142644965867,0.012768521389751236,0.9330628424720564,0.012803708004171329
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,3,-0.9010386924556235,-0.016980800204644556,-0.9012937141109808,0.016982715084307272
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,4,0.870549849690008,0.02028548184414822,0.8706062680020336,0.02028556029976
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,5,-0.841229270236641,-0.02317304162734192,-0.8409636747905886,0.02317456362487728
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,6,0.8125015545830542,0.02533815084776076,0.8123303590959663,0.025338729176473684
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,7,-0.7845545861913573,-0.027585535407398696,-0.7846719568158528,0.02758578509987239
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,8,0.7579980162164399,0.029432329833955793,0.7579552738844286,0.02943236086965689
b1.0001_float32,1.0001,float32,fixed,1.0,0,50000,50000,1,-0.9609600468583934,-0.001944355130827643,-0.9659517806143619,0.005357044219086796
b1.0001_float32,1.0001,float32,fixed,1.0,0,50000,50000,2,0.9225918120024679,0.0030970956763143693,0.9330628424720564,0.010919454231933778
b1.0001_float32,1.0001,float32,fixed,1.0,0,50000,50000,3,-0.8844286507821983,-0.004112494572140025,-0.9012937141109808,0.017359233067440624
b1.0001_float32,1.0001,float32,fixed,1.0,0,50000,50000,4,0.8454693606405853,0.00464502570651961,0.8706062680020336,0.02556247983886264
b1.0001_float32,1.0001,float32,fixed,1.0,0,50000,50000,5,-0.8071042446841735,-0.004421724991573084,-0.8409636747905886,0.034146927519651205
b1.0001_float32,1.0001,float32,fixed,1.0,0,50000,50000,6,0.7698343263910684,0.0025518923486367033,0.8123303590959663,0.04257258449066465
b1.0001_float32,1.0001,float32,fixed,1.0,0,50000,50000,7,-0.7337771040477918,0.0005220058964735606,-0.7846719568158528,0.050897529688959886
