beta,seed,n,k,lag,real,imag
1.0001,0,50000,1,1,0.9997402857177143,-4.90826691754021e-05
1.0001,0,50000,1,64,0.9836860259936601,-0.0026798988282625766
1.0001,0,50000,1,1024,0.7558821543227938,0.0016836730341332272
1.0001,0,50000,1,4096,0.34475945841913064,0.06422812108380523
1.0001,0,200000,1,1,0.9997703129212567,-4.832528420990691e-05
1.0001,0,200000,1,64,0.9853134183476236,-0.002939304344185377
1.0001,0,200000,1,1024,0.780603185129165,-0.04028848840745183
1.0001,0,200000,1,4096,0.36727858311598544,-0.1157337253305009
1.0001,0,1000000,1,1,0.9997810553492481,-2.8302671743729446e-05
1.0001,0,1000000,1,64,0.9860556678132257,-0.0017145453143827146
1.0001,0,1000000,1,1024,0.8024460496001558,-0.017374540623719934
1.0001,0,1000000,1,4096,0.4088463046712081,-0.016617347975454572
1.0001,0,50000,4,1,0.9988980597817643,-0.00044985433504056665
1.0001,0,50000,4,64,0.9266778201661297,-0.032009650248729773
1.0001,0,50000,4,1024,0.21478237571400224,-0.18369154444530053
1.0001,0,50000,4,4096,-0.1768058672667611,0.1370190796185939
1.0001,0,200000,4,1,0.9990654517492126,-0.00030500434700737736
1.0001,0,200000,4,64,0.9378745384717792,-0.018036230189012008
1.0001,0,200000,4,1024,0.33688961953786123,-0.13795760685886976
1.0001,0,200000,4,4096,-0.007524828138112549,-0.09927683687265176
1.0001,0,1000000,4,1,0.9990534425321864,-0.00023991256623139595
1.0001,0,1000000,4,64,0.9405417303341158,-0.013904355631665763
1.0001,0,1000000,4,1024,0.37005860651808337,-0.0893630854615857
1.0001,0,1000000,4,4096,0.026597574329454133,-0.04149164824491972
1.0001,1,50000,1,1,0.9997177327467228,3.833519499281294e-05
1.0001,1,50000,1,64,0.9819110550777096,0.003243137919959611
1.0001,1,50000,1,1024,0.6967584332000489,-0.0003501615588187501
1.0001,1,50000,1,4096,0.2828361461892062,0.05853080891105178
1.0001,1,200000,1,1,0.9997908569730568,-3.753087124890668e-05
1.0001,1,200000,1,64,0.986600329298852,-0.002291718135003287
1.0001,1,200000,1,1024,0.8004881952153806,-0.040817538286555884
1.0001,1,200000,1,4096,0.46399957247457446,-0.12203437954130063
1.0001,1,1000000,1,1,0.9998103389507619,-1.2578030011506503e-05
1.0001,1,1000000,1,64,0.9881553050797567,-0.0006442842041421347
1.0001,1,1000000,1,1024,0.8229488027826246,-0.011378087945121846
1.0001,1,1000000,1,4096,0.4539207675071862,-0.025447040612238316
1.0001,1,50000,4,1,0.9987973313202777,0.00011577901937377451
1.0001,1,50000,4,64,0.9226979787530769,0.010771429062254376
1.0001,1,50000,4,1024,0.19226517269570156,0.04857928429638355
1.0001,1,50000,4,4096,-0.051654803101378585,-0.10582646132655538
1.0001,1,200000,4,1,0.99912964966954,-0.00011878020381372185
1.0001,1,200000,4,64,0.9442720554116678,-0.007964641415875643
1.0001,1,200000,4,1024,0.4462362657254808,-0.11925173672994165
1.0001,1,200000,4,4096,0.03867687613484315,-0.17517477240073806
1.0001,1,1000000,4,1,0.9992509663323709,-6.895003168066313e-05
1.0001,1,1000000,4,64,0.9536153735482653,-0.0038128286190334633
1.0001,1,1000000,4,1024,0.4802977150187157,-0.049867817372539334
1.0001,1,1000000,4,4096,0.06636963885116615,-0.0288012425511806
1.0001,2,50000,1,1,0.9997313531393499,0.0001281352912439138
1.0001,2,50000,1,64,0.9822417746085478,0.008601034081617904
1.0001,2,50000,1,1024,0.7535725067567932,0.07920525222076943
1.0001,2,50000,1,4096,0.48220358357990944,-0.08969462116265395
1.0001,2,200000,1,1,0.9998167113304541,5.520916820244024e-05
1.0001,2,200000,1,64,0.9882587353902925,0.0036222634840568785
1.0001,2,200000,1,1024,0.8237030938115594,0.03305286574362875
1.0001,2,200000,1,4096,0.44942204584041723,0.03579020457989968
1.0001,2,1000000,1,1,0.9998128162926028,1.2028942985679075e-05
1.0001,2,1000000,1,64,0.9879466094398297,0.0008216661055661053
1.0001,2,1000000,1,1024,0.8245568265166652,0.0056910452931446505
1.0001,2,1000000,1,4096,0.4433376421488376,0.015959652084335363
1.0001,2,50000,4,1,0.9992082030534196,0.0008865047270198099
1.0001,2,50000,4,64,0.9492444292205094,0.05590039103833254
1.0001,2,50000,4,1024,0.2773306887428883,0.46397724363396065
1.0001,2,50000,4,4096,-0.19768135061306943,0.17894233311590832
1.0001,2,200000,4,1,0.9993625898266723,0.0002876480000471527
1.0001,2,200000,4,64,0.9601966987225943,0.017828222534783222
1.0001,2,200000,4,1024,0.5097013986453981,0.16634242625139534
1.0001,2,200000,4,4096,0.1431247731834572,0.1737729150104283
1.0001,2,1000000,4,1,0.9992879469076646,7.688872653581205e-05
1.0001,2,1000000,4,64,0.9555755371422228,0.0041322166172404065
1.0001,2,1000000,4,1024,0.4864726675594497,0.02700759214994032
1.0001,2,1000000,4,4096,0.04111597528459551,0.013715135420827657
1.0001,3,50000,1,1,0.9997968585135134,3.474819612478548e-05
1.0001,3,50000,1,64,0.987195679808938,0.0022773899448086236
1.0001,3,50000,1,1024,0.8023734722700344,0.038248530591375764
1.0001,3,50000,1,4096,0.3026198137542544,0.2412591647671343
1.0001,3,200000,1,1,0.9997773197698662,4.869306256582762e-05
1.0001,3,200000,1,64,0.9858112076771867,0.0032175092114986458
1.0001,3,200000,1,1024,0.7972297406065493,0.036873437653019515
1.0001,3,200000,1,4096,0.4109362211002639,0.06441440060825877
1.0001,3,1000000,1,1,0.9997832556035268,1.2366623597138833e-06
1.0001,3,1000000,1,64,0.986171282792147,-8.553181546709724e-06
1.0001,3,1000000,1,1024,0.7990841846157631,0.0010437169632040563
1.0001,3,1000000,1,4096,0.39444122377536467,0.02080609091373691
1.0001,3,50000,4,1,0.9993506653577979,0.00021062728124137775
1.0001,3,50000,4,64,0.9610781293516388,0.015687176718053635
1.0001,3,50000,4,1024,0.4339519286071712,0.17843426780762286
1.0001,3,50000,4,4096,-0.13943809939330126,0.18200015022751406
1.0001,3,200000,4,1,0.9991833975034199,0.0004090864363204631
1.0001,3,200000,4,64,0.9467384323721675,0.025657232239022075
1.0001,3,200000,4,1024,0.3478052709933784,0.16456078881658312
1.0001,3,200000,4,4096,-0.081973565816268,0.0368325296997643
1.0001,3,1000000,4,1,0.9991422902752405,-7.177022480035014e-06
1.0001,3,1000000,4,64,0.9463974086650042,-0.0007747834358392183
1.0001,3,1000000,4,1024,0.3883761032471143,-0.006322966265647144
1.0001,3,1000000,4,4096,-0.012584026822936674,0.010528945715472256
1.0001,4,50000,1,1,0.9997168506930844,4.7735259174054955e-05
1.0001,4,50000,1,64,0.9819746971215595,0.002780350459892923
1.0001,4,50000,1,1024,0.733903574145382,0.05425481395585835
1.0001,4,50000,1,4096,0.23341856653330426,0.11697361265394442
1.0001,4,200000,1,1,0.999768666812087,-4.733443177117467e-07
1.0001,4,200000,1,64,0.985529287340304,0.00016428992046617255
1.0001,4,200000,1,1024,0.7973189012312405,0.008192173184942782
1.0001,4,200000,1,4096,0.37141759065373864,-0.008432146762277945
1.0001,4,1000000,1,1,0.9997849295760831,4.129258025005161e-06
1.0001,4,1000000,1,64,0.9862922323489375,9.871059803644638e-05
1.0001,4,1000000,1,1024,0.804104035908252,-0.0056994705894284885
1.0001,4,1000000,1,4096,0.4110486234989828,-0.01140507700643535
1.0001,4,50000,4,1,0.9987362775539809,0.0005664901199081273
1.0001,4,50000,4,64,0.9215968807787074,0.031236435751880585
1.0001,4,50000,4,1024,0.23728478961741528,0.2062495302254132
1.0001,4,50000,4,4096,-0.010229126268144133,0.11397881744054929
1.0001,4,200000,4,1,0.9989359562630253,-6.370969400838925e-05
1.0001,4,200000,4,64,0.9350182530040049,-0.002442891278291201
1.0001,4,200000,4,1024,0.37236968726875475,0.013018647128632585
1.0001,4,200000,4,4096,-0.04390900748072603,-0.06917484806102014
1.0001,4,1000000,4,1,0.9990402494529819,6.105620114498464e-05
1.0001,4,1000000,4,64,0.9409100330864233,0.0023539926449557495
1.0001,4,1000000,4,1024,0.3979322804776882,0.005285512283556857
1.0001,4,1000000,4,4096,0.04575536247258205,0.020714905152137926
1.0001,5,50000,1,1,0.999780563818644,0.00010699045302472624
1.0001,5,50000,1,64,0.9861390813876972,0.006218664912141295
1.0001,5,50000,1,1024,0.7998966768427298,0.06265633794246771
1.0001,5,50000,1,4096,0.3622666909594739,0.018299752415906402
1.0001,5,200000,1,1,0.9997866413599753,1.720639976745495e-05
1.0001,5,200000,1,64,0.9860640568189667,0.0009571075528374969
1.0001,5,200000,1,1024,0.7951714264302642,0.012678135112235719
1.0001,5,200000,1,4096,0.45994426011813305,-0.007390212194534877
1.0001,5,1000000,1,1,0.9997938614164633,-3.6628586562063458e-06
1.0001,5,1000000,1,64,0.9868554229241784,-0.00024797338119860807
1.0001,5,1000000,1,1024,0.8098861350418836,-0.006432716993446996
1.0001,5,1000000,1,4096,0.43142426394375655,-0.013001210728952486
1.0001,5,50000,4,1,0.9991231563088441,0.0009110233150050719
1.0001,5,50000,4,64,0.9446148858311401,0.05103322525611304
1.0001,5,50000,4,1024,0.30678247993809044,0.3260473742925515
1.0001,5,50000,4,4096,-0.009661991753370298,0.2044085704831818
1.0001,5,200000,4,1,0.9991349630291813,0.0001738191197056544
1.0001,5,200000,4,64,0.9433917223591981,0.00998955157658599
1.0001,5,200000,4,1024,0.3683216575149479,0.07560010819297475
