beta,seed,n,k,real,imag,square
1.0001,0,50000,1,0.3581819407719968,0.23871956936906696,0.18528133549494696
1.0001,0,200000,1,0.17279624645387626,0.23082447964643663,0.08313848319259698
1.0001,0,1000000,1,0.09581693500748588,0.13226362418025345,0.0266745513155241
1.0001,0,50000,2,-0.2285551294796629,0.1636627335377044,0.07902293756049909
1.0001,0,200000,2,-0.09263632595385109,-0.056251706417650614,0.0117457433611257
1.0001,0,1000000,2,-0.019813081231852672,0.0015906454790361008,0.00039508834093997063
1.0001,0,50000,4,0.06930161474455042,-0.047375407511827866,0.0070471430431138455
1.0001,0,200000,4,0.00831350227402386,-0.08152166713896816,0.0067148965331769225
1.0001,0,1000000,4,-0.005300508937356727,-0.04807716273167069,0.002339508971322544
1.0001,0,50000,8,0.03345423375028075,-0.0023519209859150817,0.0011247172881424113
1.0001,0,200000,8,0.006124736988301418,-0.01669233306248732,0.0003161463862448748
1.0001,0,1000000,8,0.00468132217386448,-0.035446936362534646,0.0012784000747850964
1.0001,1,50000,1,0.36271591297889505,-0.03380351900957974,0.13270551142554443
1.0001,1,200000,1,0.036600679625651875,0.22813458635902686,0.0533849992422639
1.0001,1,1000000,1,-0.05233350580331866,0.07188083807876607,0.00790565071257177
1.0001,1,50000,2,-0.07774629764491793,-0.09937657001094169,0.015920189464631765
1.0001,1,200000,2,0.02185435654099889,-0.1921007382098066,0.03738030652057375
1.0001,1,1000000,2,0.019358940545936055,-0.03818656898251406,0.0018329826297173917
1.0001,1,50000,4,-0.06242887516405589,-0.09561106828599672,0.013038840833038802
1.0001,1,200000,4,-0.08424868909364595,-0.1246422830756669,0.022633540344312496
1.0001,1,1000000,4,-0.030095566002420002,-0.029978190570462464,0.001804435002884983
1.0001,1,50000,8,-0.04975168498103526,0.06438033427314689,0.006620057599574301
1.0001,1,200000,8,-0.06204174518084852,-0.018321312859814216,0.0041848486499925334
1.0001,1,1000000,8,-0.040677959472283136,-0.0040138624559548815,0.0016708074786440335
1.0001,2,50000,1,0.18165693656710044,-0.6240755494300432,0.4224695339993538
1.0001,2,200000,1,-0.12556411775941403,-0.25104984459840085,0.07879237214158122
1.0001,2,1000000,1,-0.06489045259610657,-0.05351029450545441,0.0070741224561880174
1.0001,2,50000,2,-0.16302728752656165,-0.012534016848743305,0.026734998056632785
1.0001,2,200000,2,0.08778490423751192,0.07747059385477807,0.013707882324201117
1.0001,2,1000000,2,0.003865098768211897,0.004115061023705496,3.1872715716853245e-05
1.0001,2,50000,4,-0.004813823199133985,0.0863510428176581,0.0074796754894895425
1.0001,2,200000,4,0.1907610718419815,0.015288085908371251,0.036623512101043365
1.0001,2,1000000,4,0.011681940763649134,-0.004660875899284929,0.00015819150415394243
1.0001,2,50000,8,-0.0999182960355682,0.013861456673393207,0.010175805863759801
1.0001,2,200000,8,0.07201147969577244,-0.05815336624491562,0.008567467213589938
1.0001,2,1000000,8,-0.0002584172738140015,0.010239008867901586,0.00010490408208437278
1.0001,3,50000,1,-0.014044153972439277,-0.20912800240771567,0.04393175965184312
1.0001,3,200000,1,0.1514062327177296,-0.26945784117683685,0.09553137547745674
1.0001,3,1000000,1,0.08866043338622577,-0.0053037828655577105,0.007888802560918362
1.0001,3,50000,2,-0.10240760288163366,0.09788185673534171,0.020068175005920338
1.0001,3,200000,2,-0.14537216042453655,-0.014273592489421866,0.021336800469051273
1.0001,3,1000000,2,-0.07984663395718522,0.02347206279379057,0.006926422686088371
1.0001,3,50000,4,-0.07620902679145514,-0.003798330137252547,0.005822243076332287
1.0001,3,200000,4,-0.05876066463480135,-0.0010661633399450382,0.003453952412591037
1.0001,3,1000000,4,-0.023251891780727185,-0.02943050846102594,0.001406805299657168
1.0001,3,50000,8,-0.14789130976074516,-0.11436167798819878,0.03495043289502514
1.0001,3,200000,8,-0.05465778537332741,-0.02413080930230073,0.003569769459500728
1.0001,3,1000000,8,-0.03381524905409171,0.0010174441598193296,0.0011445062612086008
1.0001,4,50000,1,0.30303551869475764,-0.236392254185888,0.1477118234296863
1.0001,4,200000,1,0.14492134395952597,0.00773353253364926,0.02106200346048425
1.0001,4,1000000,1,0.07334304167053833,-0.019404327816565713,0.005755729699499068
1.0001,4,50000,2,-0.12292791978621312,-0.1618867351147086,0.04131858846906546
1.0001,4,200000,2,-0.08598117334898264,-0.07219733845247016,0.01260521785008833
1.0001,4,1000000,2,0.02143440130312673,0.005320855809583818,0.00048774506576986274
1.0001,4,50000,4,-0.03645014857006598,-0.04410360493173894,0.0032737412987547906
1.0001,4,200000,4,-0.048740571234876046,-0.059414217422484615,0.005905692516228301
1.0001,4,1000000,4,0.0460523300413752,0.0018317374170507973,0.0021241723642047724
1.0001,4,50000,8,0.024489635444125836,0.04639387978285104,0.002752134325491819
1.0001,4,200000,8,-0.010444861476705616,0.0038427770426317036,0.0001238620666669463
1.0001,4,1000000,8,0.011255016571055404,0.02131987747919059,0.0005812125737424299
1.0001,5,50000,1,0.19453624041114087,-0.47448646469467687,0.26298175401175405
1.0001,5,200000,1,0.08520739329916016,-0.08096696230738382,0.013815948858123074
1.0001,5,1000000,1,0.03190526572152763,0.01807947452840574,0.0013448133799845582
1.0001,5,50000,2,-0.2494778348902414,-0.04889881224382791,0.0646302839403797
1.0001,5,200000,2,-0.01662371437028454,-0.05093948820465323,0.0028711793380168105
1.0001,5,1000000,2,-0.05995635495318528,-0.0252173930119672,0.0042306814095923575
1.0001,5,50000,4,-0.0011433024342722366,0.005885806906797409,3.594986340031691e-05
1.0001,5,200000,4,-0.0401980333098352,-0.02110929737108359,0.0020614843174794565
1.0001,5,1000000,4,-0.023630939979177278,0.012230548569849694,0.0007080076426189315
1.0001,5,50000,8,0.021363913062489883,0.027660656560784,0.0012215287027152687
1.0001,5,200000,8,-0.03581795361579799,0.005709658066812998,0.0013155259964633787
1.0001,5,1000000,8,-0.029477018310966035,-0.002584615738209613,0.0008755748470192276
1.0001,6,50000,1,0.006519037735221139,0.6531243040957831,0.42661385445359423
1.0001,6,200000,1,0.08209911250392457,0.07164211685685372,0.011872857181663147
1.0001,6,1000000,1,-0.11906508284008015,-0.002791045534891114,0.014184283886892983
1.0001,6,50000,2,-0.2071560552319945,-0.09624867521155292,0.05217743869926016
1.0001,6,200000,2,-0.1139003630287641,0.05618523133829893,0.016130072918622416
1.0001,6,1000000,2,0.06057031420677459,0.011654375684138633,0.003804587435694441
1.0001,6,50000,4,-0.0968552996782617,-0.007530920455469852,0.009437663838672495
1.0001,6,200000,4,-0.05219824895396847,0.015185550020680531,0.0029552581232910606
1.0001,6,1000000,4,0.06370813848557941,0.005497595032162785,0.004088950460435426
1.0001,6,50000,8,-0.08388123446441516,0.0404467611112542,0.008672001979665056
1.0001,6,200000,8,-0.03399787425100173,0.021897191506558486,0.0016353424494618231
1.0001,6,1000000,8,0.027984961820194835,0.010962030491833159,0.0009033242005816424
1.0001,7,50000,1,0.004407585275370672,-0.3894309447879978,0.15167588756643224
1.0001,7,200000,1,-0.009283083166707175,-0.08719130742799457,0.007688499724083064
1.0001,7,1000000,1,-0.02907052600004504,0.004895247560547531,0.0008690589305983411
1.0001,7,50000,2,0.28743402195503437,0.16506746060313335,0.10986558352721416
1.0001,7,200000,2,0.16199101143256003,0.06747352859129886,0.030793764845504626
1.0001,7,1000000,2,0.02919296506336213,0.04661509274706771,0.0030251960810084065
1.0001,7,50000,4,-0.017569212362560076,0.20442991595062673,0.04210026775862104
1.0001,7,200000,4,0.07889632662085941,-0.020285795740367946,0.00663614386308526
1.0001,7,1000000,4,0.0005254364839202874,-0.02008615912616146,0.0004037298719401138
1.0001,7,50000,8,-0.08349525629315437,0.14150512955801425,0.026995159514689938
1.0001,7,200000,8,-0.04582430915586643,-0.016160402111268492,0.0023610259060103146
1.0001,7,1000000,8,-0.020608093887401226,-0.018173808501602905,0.0007549808491248778
1.0001,8,50000,1,-0.19491619338000185,-0.5373295670485408,0.32671538606632256
1.0001,8,200000,1,-0.19275300280144061,-0.0109187859059587,0.03727293997463233
1.0001,8,1000000,1,0.08682594137572162,-0.0775005829341631,0.01354508445091534
1.0001,8,50000,2,0.026652063261775407,0.4333374746884201,0.18849169944544683
1.0001,8,200000,2,0.09601429012684844,-0.004419225435029862,0.00923827346200824
1.0001,8,1000000,2,-0.011858620232538752,-0.006036207167669674,0.00017706267079060423
1.0001,8,50000,4,-0.24667819125781928,0.05432015893490017,0.06380080970894209
1.0001,8,200000,4,0.05724659481963809,-0.10661045861599529,0.014642962504756659
1.0001,8,1000000,4,-0.0449858502765028,0.009711849526920039,0.002118046746333464
1.0001,8,50000,8,0.007900263842836997,-0.10604143610456293,0.01130720033990454
1.0001,8,200000,8,0.00790970450361366,-0.0851261648022076,0.0073090273592670936
1.0001,8,1000000,8,-0.005129598050340255,-0.0020340575167931496,3.045016613967726e-05
1.0001,9,50000,1,-0.3073023906311614,0.4725886879948501,0.31777482730832063
1.0001,9,200000,1,-0.1622983401565809,0.019685129167888404,0.02672825552793769
1.0001,9,1000000,1,-0.17418217695130814,0.04839497049246222,0.03268150393646311
1.0001,9,50000,2,0.057807513806014454,-0.2777646526466528,0.08049491091234821
1.0001,9,200000,2,0.05710538656278596,0.026937906947827963,0.003986676005215054
1.0001,9,1000000,2,0.17606815985106986,-0.03343154471897655,0.03211766509563882
1.0001,9,50000,4,0.05941957031187542,-0.09162878646999088,0.011926519846011091
1.0001,9,200000,4,0.005291122583038102,0.052261363631460056,0.002759246106808432
1.0001,9,1000000,4,0.0976890210892161,0.0012731898605704475,0.009544765853790367
1.0001,9,50000,8,-0.18344344846670496,-0.07163941883850403,0.03878370511687524
1.0001,9,200000,8,-0.0973434146974131,-0.06998956265702205,0.014374279265873757
1.0001,9,1000000,8,0.046080807358548824,-0.0005768287102868843,0.002123773538176699
1.0001,10,50000,1,0.2348257580614291,0.5124208968971298,0.3177183122259837
1.0001,10,200000,1,-0.04164864548783539,-0.06991476101501506,0.006622683478758062
1.0001,10,1000000,1,0.13116315708033277,-0.1338972620683279,0.035132250564674526
1.0001,10,50000,2,-0.18518872478965118,-0.16947951384510995,0.06301816940239198
1.0001,10,200000,2,-0.09429543007995882,0.07753262507211992,0.014902936084538321
1.0001,10,1000000,2,-0.09803524296885009,0.09630786017050892,0.01888611279458377
1.0001,10,50000,4,-0.10231951190408979,0.132719632369207,0.02808378333250863
1.0001,10,200000,4,-0.10544592747605891,0.06438290171319426,0.015264001654297107
1.0001,10,1000000,4,-0.0697606915886749,0.01770652355220639,0.005180075067235055
1.0001,10,50000,8,0.04247545793681055,-0.09614539306427954,0.011048101134426572
1.0001,10,200000,8,0.04691260063189959,0.03316557488724687,0.0033007474556496857
1.0001,10,1000000,8,-0.002256372509117559,-0.012156184766622486,0.00015286404498016605
1.0001,11,50000,1,-0.12022669527017799,0.11251335000693594,0.02711371218537151
1.0001,11,200000,1,0.20061459800685036,0.0801137406820755,0.046664428379525
1.0001,11,1000000,1,-0.03359697820339111,0.04000335130635621,0.002729025060138888
1.0001,11,50000,2,-0.09727355197818235,0.21273262461323442,0.054717313489287454
1.0001,11,200000,2,-0.021693712069095143,0.12102926943147181,0.015118701202452602
1.0001,11,1000000,2,0.08072073467457305,0.007481098771246496,0.006571803845227967
1.0001,11,50000,4,-0.08880052364134247,0.22858648852176464,0.06013731573368746
1.0001,11,200000,4,0.0007891902984936687,0.02424118617865056,0.0005882579286752355
1.0001,11,1000000,4,0.0822124556578251,0.003881393690107149,0.006773953082267461
1.0001,11,50000,8,-0.10333094705476978,-0.04090759722284311,0.012350716129781999
1.0001,11,200000,8,-0.028535726678451796,-0.05460107727545945,0.0037955653367080003
1.0001,11,1000000,8,0.06717999800923591,-0.03889743383573099,0.006026162491526011
1.0001,12,50000,1,0.30262524324251744,0.3509661546580397,0.21475927956304391
1.0001,12,200000,1,0.368004575789748,0.17731713325974008,0.1668687335496448
1.0001,12,1000000,1,0.012088898744985468,0.04649277191239894,0.0023077193129648634
1.0001,12,50000,2,-0.2167034417529306,-0.09056339912578182,0.055162110928781455
1.0001,12,200000,2,-0.11791583435964165,-0.0770591655594044,0.01984225898944214
1.0001,12,1000000,2,0.02232849391487203,-0.05901364558386387,0.003981172005604373
1.0001,12,50000,4,-0.07130753224969946,0.08382948097402224,0.012112146035915887
1.0001,12,200000,4,0.009381295749618651,0.028943397061100273,0.000925728943378321
1.0001,12,1000000,4,0.08719628603256924,0.01696520395492737,0.007891010443105913
1.0001,12,50000,8,-0.007039861456568172,0.026453942175003787,0.0007493707059261183
1.0001,12,200000,8,-0.00013494109537731447,0.0071802704877258075,5.157449337612784e-05
1.0001,12,1000000,8,0.06956130964816007,0.029702564900878727,0.0057210181616581205
1.0001,13,50000,1,-0.20094426932140974,0.07527703400731166,0.046045231222053215
1.0001,13,200000,1,-0.02535724090799592,0.0046171250395607676,0.0006643075100970809
1.0001,13,1000000,1,0.010091872209600276,-0.0660077148905967,0.004458864309773203
1.0001,13,50000,2,0.1648444939427272,-0.28980162194548226,0.11115868726546604
1.0001,13,200000,2,0.0957734546876551,-0.2128345703380318,0.054471108953782925
1.0001,13,1000000,2,-0.015919193465146482,-0.015314189934209296,0.00048794513392179986
1.0001,13,50000,4,0.07004844716594215,-0.19183911979440768,0.041709032833852897
1.0001,13,200000,4,0.08349435002681993,-0.16175082562615758,0.033134636077144765
1.0001,13,1000000,4,-0.018837720260053654,0.03070600535121977,0.001297718469225173
1.0001,13,50000,8,-0.08140552045161116,-0.12508117308665828,0.022272158620732247
1.0001,13,200000,8,0.03515265746427331,-0.0763832075750613,0.007070103726255433
1.0001,13,1000000,8,-0.015106193273696307,0.005011855004286902,0.00025331576580626323
1.0001,14,50000,1,-0.044101825821039886,0.21282692601535314,0.04724027147789393
1.0001,14,200000,1,-0.14039296751212693,-0.06938212657219926,0.024524064814541807
1.0001,14,1000000,1,0.0532475069730779,0.013377416240293536,0.003014252264114049
1.0001,14,50000,2,0.2352087443330279,-0.2548019157180502,0.12024716966430807
1.0001,14,200000,2,0.1811468605391115,0.012472875333940687,0.03296975770227233
1.0001,14,1000000,2,-0.02327233783596003,-0.03479645698795082,0.0017523951272653683
1.0001,14,50000,4,0.04699178843492789,-0.16214384423730535,0.028498854404364556
1.0001,14,200000,4,0.1283515825062734,0.020961811504707096,0.016913526273423577
1.0001,14,1000000,4,0.015267743905600548,0.011459465775262488,0.00036442335982141496
1.0001,14,50000,8,-0.021526021442732354,-0.13840684151039342,0.019619823376036134
1.0001,14,200000,8,0.08957212674659532,0.03318963264978088,0.009124717605335536
1.0001,14,1000000,8,0.013593222267241686,0.017661177465836893,0.00049669288108642
1.0001,15,50000,1,0.27677980016334663,0.5593568440982021,0.3894871368179625
1.0001,15,200000,1,0.1201183704573032,0.19592106674400195,0.05281348731542559
1.0001,15,1000000,1,0.06327234184060566,0.08439872506783017,0.011126534035069642
1.0001,15,50000,2,-0.04900813351371887,-0.06257030582490279,0.00631684032152036
1.0001,15,200000,2,-0.04800732275607393,0.0250974729573934,0.0029345861870529472
1.0001,15,1000000,2,-0.0741063602948654,-0.040531938165843724,0.007134590647632184
1.0001,15,50000,4,-0.02234481503239902,0.12808442723359256,0.016904911258589592
1.0001,15,200000,4,-0.0672200896947546,0.04442334557354671,0.006491974090517606
1.0001,15,1000000,4,0.020424330236689905,-0.04242627768694164,0.002217142303986848
1.0001,15,50000,8,0.0626344970089065,-0.03358627764225065,0.005051118261421064
1.0001,15,200000,8,-0.02127051668863722,0.02846686612632444,0.0012627973472556723
1.0001,15,1000000,8,0.02390045275201509,-0.033564563802081504,0.0016978115849753059
1.0001,16,50000,1,-0.06989427371061765,0.4840918212090429,0.23923010085902274
1.0001,16,200000,1,0.1437237229246691,0.10989820489776835,0.03273412397107892
1.0001,16,1000000,1,-0.0665905651718078,0.05797007738100353,0.007794833241460319
1.0001,16,50000,2,0.013224700895709967,-0.21462501644978593,0.046238790399851876
1.0001,16,200000,2,-0.051752330854661056,-0.016932450667877977,0.0029650116345104243
1.0001,16,1000000,2,0.09113782053092591,0.011563951259659862,0.008439827299863051
1.0001,16,50000,4,-0.1250539883792609,-0.06660102994628325,0.020074197199466043
1.0001,16,200000,4,-0.10844281633507377,-0.07234306645175528,0.016993363678325626
1.0001,16,1000000,4,0.07330934183371422,0.015054359094252888,0.005600893327831076
1.0001,16,50000,8,-0.0774876951454033,-0.03740526653135705,0.007403496863228817
1.0001,16,200000,8,-0.004981598661791304,0.009869135916067735,0.00012221616895697902
1.0001,16,1000000,8,0.07698859386396634,-0.01160987192779946,0.0060620327113306595
1.0001,17,50000,1,-0.28213634247608094,0.26642631859110133,0.15058389898378743
