beta,epsilon,t,log_gain,theory
1.0001,0.0,1,0.0005069142306163637,0.03444136656343564
1.0001,0.0,2,0.0010140202910565055,0.06888273312687128
1.0001,0.0,4,0.0020288084716970933,0.13776546625374256
1.0001,0.0,8,0.004060693072738351,0.2755309325074851
1.0001,0.0,16,0.008133727370675045,0.5510618650149702
1.0001,0.0,32,0.016317115560368727,1.1021237300299405
1.0001,0.0,64,0.032835278473204894,2.204247460059881
1.0001,0.0,128,0.06649458793126871,4.408494920119762
1.0001,0.0,256,0.13645451207906736,8.816989840239524
1.0001,0.0,512,0.28831951747150414,17.633979680479047
1.0001,0.0,1024,0.6550864864096371,35.267959360958095
1.0001,0.0,2048,1.9443399269010668,70.53591872191619
1.0001,0.0,4096,403.56950534995366,141.07183744383238
1.0001,0.0,8192,439.96958282570995,282.14367488766476
1.0001,0.0,16384,441.0841904211263,564.2873497753295
1.0001,0.0,32768,943.5607686781594,1128.574699550659
1.0001,0.0,65536,3054.3214591106002,2257.149399101318
1.0001,0.0,131072,5121.937216594819,4514.298798202636
1.0001,0.0,200000,8136.557723488954,6888.273312687128
1.0001,0.01,1,-0.0017038068947247572,0.31127443637525015
1.0001,0.01,2,-0.0031944444837208974,0.6225488727505003
1.0001,0.01,4,-0.005509011839493291,1.2450977455010006
1.0001,0.01,8,-0.007264519008809916,2.490195491002001
1.0001,0.01,16,0.0026681806353089244,4.980390982004002
1.0001,0.01,32,0.09894605962520915,9.960781964008005
1.0001,0.01,64,1.1596820594037074,19.92156392801601
1.0001,0.01,128,31.88301091869372,39.84312785603202
1.0001,0.01,256,34.65657360152043,79.68625571206404
1.0001,0.01,512,215.52144660967892,159.37251142412808
1.0001,0.01,1024,385.16705203592255,318.74502284825616
1.0001,0.01,2048,652.7094364449822,637.4900456965123
1.0001,0.01,4096,1256.7270267415981,1274.9800913930246
1.0001,0.01,8192,2662.8744571947136,2549.9601827860492
1.0001,0.01,16384,4892.119300034306,5099.9203655720985
1.0001,0.01,32768,9986.818279648041,10199.840731144197
1.0001,0.01,65536,20086.854185713975,20399.681462288394
1.0001,0.01,131072,41098.67420667378,40799.36292457679
1.0001,0.01,200000,59870.3906103624,62254.88727505003
1.0001,0.1,1,4.193512883208196,0.7765127506126089
1.0001,0.1,2,6.186597940001281,1.5530255012252179
1.0001,0.1,4,10.203191808028269,3.1060510024504357
1.0001,0.1,8,13.37795516311291,6.2121020049008715
1.0001,0.1,16,27.930427079077564,12.424204009801743
1.0001,0.1,32,30.33070893263745,24.848408019603486
1.0001,0.1,64,33.30843056090143,49.69681603920697
1.0001,0.1,128,79.13227227033022,99.39363207841394
1.0001,0.1,256,179.75432292805758,198.7872641568279
1.0001,0.1,512,380.86210464146455,397.5745283136558
1.0001,0.1,1024,758.0589119655945,795.1490566273116
1.0001,0.1,2048,1358.9126001109557,1590.298113254623
1.0001,0.1,4096,2833.689978179437,3180.596226509246
1.0001,0.1,8192,6053.800841320992,6361.192453018492
1.0001,0.1,16384,12585.960052561164,12722.384906036985
1.0001,0.1,32768,25948.79475534852,25444.76981207397
1.0001,0.1,65536,51206.61002635121,50889.53962414794
1.0001,0.1,131072,101030.63694774434,101779.07924829588
1.0001,0.1,200000,154238.83526423224,155302.5501225218
1.0001,0.5,1,8.177100840160696,1.0193481125546648
1.0001,0.5,2,8.462467420724572,2.0386962251093297
1.0001,0.5,4,7.613481434172081,4.077392450218659
1.0001,0.5,8,20.074304611850046,8.154784900437319
1.0001,0.5,16,31.805290538083163,16.309569800874637
1.0001,0.5,32,52.98065932096686,32.619139601749275
1.0001,0.5,64,67.98832314978432,65.23827920349855
1.0001,0.5,128,124.07561984447864,130.4765584069971
1.0001,0.5,256,276.4868458322448,260.9531168139942
1.0001,0.5,512,536.0760577018561,521.9062336279884
1.0001,0.5,1024,1029.6918547588132,1043.8124672559768
1.0001,0.5,2048,1947.583198705229,2087.6249345119536
1.0001,0.5,4096,4023.272494237531,4175.249869023907
1.0001,0.5,8192,8198.14837460673,8350.499738047814
1.0001,0.5,16384,16677.706071190656,16700.99947609563
1.0001,0.5,32768,32934.80336080621,33401.99895219126
1.0001,0.5,65536,66433.48787019578,66803.99790438252
1.0001,0.5,131072,132952.76032189035,133607.99580876503
