beta,epsilon,observable,mean,half95,theory,error
1.0001,0.0,parallel,0.03322836006387192,0.003535700813827373,0.03444136656343564,-0.0012130064995637194
1.0001,0.0,transverse,0.03322836006387192,0.003535700813827373,0.03444136656343564,-0.0012130064995637194
1.0001,0.0,scale,0.016264922654914794,0.0024005248032020103,0.017318949386946836,-0.0010540267320320422
1.0001,0.01,parallel,0.3268394405782482,0.002994785825002141,0.32831835651021557,-0.0014789159319673617
1.0001,0.01,transverse,0.3097872669532015,0.0030187394509433017,0.31127443637525015,-0.0014871694220486287
1.0001,0.01,scale,0.1745251366229698,0.0019149429546593305,0.17510696545523138,-0.0005818288322615717
1.0001,0.1,parallel,0.9076333641686118,0.0016340251044947907,0.9079114155546602,-0.0002780513860483058
1.0001,0.1,transverse,0.7762186235858497,0.0017492655631741831,0.7765127506126089,-0.00029412702675923885
1.0001,0.1,scale,0.5836453890404347,0.0018261519650326432,0.5840505052694493,-0.00040511622901462374
1.0001,0.5,parallel,1.560508553204702,0.0016067510227726833,1.5608106953011647,-0.0003021420964626209
1.0001,0.5,transverse,1.0189697957278092,0.0019037827605553092,1.0193481125546648,-0.0003783168268556292
1.0001,0.5,scale,1.9159507651961976,0.0038425681229640506,1.915046257790955,0.0009045074052425051
1.0001,0.9,parallel,1.7334588634111943,0.0013195524495395183,1.7329326263669431,0.0005262370442511433
1.0001,0.9,transverse,0.5503500074436245,0.002030927531511624,0.5498559194119739,0.0004940880316506302
1.0001,0.9,scale,10.008208184543502,0.03851682667335464,9.999999958859293,0.00820822568420887
1.01,0.0,parallel,0.32678962250744187,0.001918337636504997,0.32679646140062435,-6.838893182481431e-06
1.01,0.0,transverse,0.32678962250744187,0.001918337636504997,0.32679646140062435,-6.838893182481431e-06
1.01,0.0,scale,0.17159422318189987,0.001482202625874879,0.17166177927933404,-6.755609743416824e-05
1.01,0.01,parallel,0.453626493212946,0.003505195345578858,0.45100579041866456,0.0026207027942814487
1.01,0.01,transverse,0.4376967579885932,0.003533306396491369,0.43505911312357254,0.0026376448650206608
1.01,0.01,scale,0.24550001291559237,0.0024698979909853567,0.2442385800986332,0.0012614328169591738
1.01,0.1,parallel,0.9422643714694492,0.002090737601324818,0.9431510542054893,-0.0008866827360400897
1.01,0.1,transverse,0.8138243550591661,0.0022299795694511737,0.8147809606835363,-0.000956605624370277
1.01,0.1,scale,0.6058487117143998,0.002131372849964094,0.6069192182711459,-0.0010705065567461203
1.01,0.5,parallel,1.5711586915411444,0.0014877593448365774,1.5705178572750937,0.0006408342660506605
1.01,0.5,transverse,1.0364760316309245,0.0018121865680225486,1.0355591314790602,0.0009169001518642972
1.01,0.5,scale,1.9203191649602767,0.003345017854128114,1.9187384098662001,0.0015807550940765136
1.01,0.9,parallel,1.740594264817652,0.0011434037319921063,1.7400873086901316,0.000506956127520386
1.01,0.9,transverse,0.5818070007086009,0.001758548634429167,0.5803330239824791,0.0014739767261218173
1.01,0.9,scale,9.992368341180523,0.05238189750301826,9.999999966249396,-0.007631625068873049
1.1,0.0,parallel,0.9089484563832722,0.0019956172754336064,0.9101573245261023,-0.0012088681428301662
1.1,0.0,transverse,0.9089484563832722,0.0019956172754336064,0.9101573245261023,-0.0012088681428301662
1.1,0.0,scale,0.5021655988196996,0.0018293007177531107,0.5029405749446408,-0.0007749761249412623
1.1,0.01,parallel,0.9461445802840327,0.0016844887623230346,0.9457994844815094,0.00034509580252328753
1.1,0.01,transverse,0.9342276590955878,0.001695666178318933,0.9338800986171674,0.0003475604784204389
1.1,0.01,scale,0.531271941617319,0.0017564977665599205,0.530736881472736,0.0005350601445830439
1.1,0.1,parallel,1.1877142334744415,0.0019513866054651906,1.188731441883952,-0.0010172084095105838
1.1,0.1,transverse,1.0794672142853865,0.002047778009793664,1.0805003606110113,-0.0010331463256247897
