beta,name,seed,center,lambda0,estimate,target
1.0001,uncoupled,0,-0.13157073981777198,0.03841068633820143,0.03841068633820143,0.03444136656343575
1.0001,q-1.0,0,-0.13157073981777198,0.03841068633820143,-0.03047204678867007,-0.03444136656343575
1.0001,q-0.25,0,-0.13157073981777198,0.03841068633820143,-0.004641021866093255,-0.008610341640858938
1.0001,q0.0,0,-0.13157073981777198,0.03841068633820143,0.003969319774765688,0.0
1.0001,q0.25,0,-0.13157073981777198,0.03841068633820143,0.012579661415624617,0.008610341640858938
1.0001,q0.75,0,-0.13157073981777198,0.03841068633820143,0.029800344697342496,0.025831024922576815
1.0001,one_step,0,-0.13157073981777198,0.03841068633820143,,
1.0001,uncoupled,1,0.059779021772428546,0.02691566495843464,0.02691566495843464,0.03444136656343575
1.0001,q-1.0,1,0.059779021772428546,0.02691566495843464,-0.04196706816843686,-0.03444136656343575
1.0001,q-0.25,1,0.059779021772428546,0.02691566495843464,-0.016136043245860047,-0.008610341640858938
1.0001,q0.0,1,0.059779021772428546,0.02691566495843464,-0.007525701605001104,0.0
1.0001,q0.25,1,0.059779021772428546,0.02691566495843464,0.001084640035857825,0.008610341640858938
1.0001,q0.75,1,0.059779021772428546,0.02691566495843464,0.0183053233175757,0.025831024922576815
1.0001,one_step,1,0.059779021772428546,0.02691566495843464,,
1.0001,uncoupled,2,-0.05516502873101162,0.0383244396848536,0.0383244396848536,0.03444136656343575
1.0001,q-1.0,2,-0.05516502873101162,0.0383244396848536,-0.0305582934420179,-0.03444136656343575
1.0001,q-0.25,2,-0.05516502873101162,0.0383244396848536,-0.004727268519441087,-0.008610341640858938
1.0001,q0.0,2,-0.05516502873101162,0.0383244396848536,0.0038830731214178557,0.0
1.0001,q0.25,2,-0.05516502873101162,0.0383244396848536,0.012493414762276785,0.008610341640858938
1.0001,q0.75,2,-0.05516502873101162,0.0383244396848536,0.029714098043994663,0.025831024922576815
1.0001,one_step,2,-0.05516502873101162,0.0383244396848536,,
1.0001,uncoupled,3,0.0549518513762071,0.02484853528765401,0.02484853528765401,0.03444136656343575
1.0001,q-1.0,3,0.0549518513762071,0.02484853528765401,-0.04403419783921749,-0.03444136656343575
1.0001,q-0.25,3,0.0549518513762071,0.02484853528765401,-0.018203172916640677,-0.008610341640858938
1.0001,q0.0,3,0.0549518513762071,0.02484853528765401,-0.009592831275781734,0.0
1.0001,q0.25,3,0.0549518513762071,0.02484853528765401,-0.0009824896349228049,0.008610341640858938
1.0001,q0.75,3,0.0549518513762071,0.02484853528765401,0.016238193646795074,0.025831024922576815
1.0001,one_step,3,0.0549518513762071,0.02484853528765401,,
1.0001,uncoupled,4,-0.03304197199764901,0.05404887392333716,0.05404887392333716,0.03444136656343575
