beta,name,kappa,regime,seed,initial,x0,y0,initial_equal,tail_real,tail_chord,finite_sync,first_exact,first_escape,max_abs
1.0001,uncoupled,0.0,unstable,0,near,-0.13157073973117722,-0.13157073990436674,0,143912.4158198022,1.999999998246,0,-1,87,4433.749635417032
1.0001,uncoupled,0.0,unstable,0,independent,-0.005462657694507116,0.013031140051117121,0,78183.26448431342,1.9999999989370545,0,-1,1,17009.039791736886
1.0001,q-1.0,0.03328193260141849,stable,0,near,-0.13157073973117722,-0.13157073990436674,0,0.0,0.0,1,804,89,428238.50506540475
1.0001,q-1.0,0.03328193260141849,stable,0,independent,-0.005462657694507116,0.013031140051117121,0,0.0,0.0,1,580,1,2984.4188695762336
1.0001,q-0.25,0.021069070265121483,stable,0,near,-0.13157073973117722,-0.13157073990436674,0,0.0,0.0,1,1951,87,626.0986884193514
1.0001,q-0.25,0.021069070265121483,stable,0,independent,-0.005462657694507116,0.013031140051117121,0,0.0,0.0,1,865,1,1236.9086034688755
1.0001,q0.0,0.016927506786723823,neutral,0,near,-0.13157073973117722,-0.13157073990436674,0,0.0,0.0,1,3511,87,3639.441759734226
1.0001,q0.0,0.016927506786723823,neutral,0,independent,-0.005462657694507116,0.013031140051117121,0,0.0,0.0,1,1092,1,2442.317094145781
1.0001,q0.25,0.012750129066687833,unstable,0,near,-0.13157073973117722,-0.13157073990436674,0,0.0,0.0,1,1696,87,1722.7283898885194
1.0001,q0.25,0.012750129066687833,unstable,0,independent,-0.005462657694507116,0.013031140051117121,0,0.0,0.0,1,1455,1,1228.2454373576466
1.0001,q0.75,0.004286689406437763,unstable,0,near,-0.13157073973117722,-0.13157073990436674,0,0.0,0.0,1,9158,87,6200.911522482513
1.0001,q0.75,0.004286689406437763,unstable,0,independent,-0.005462657694507116,0.013031140051117121,0,0.0,0.0,1,4456,1,36850.27887725354
1.0001,one_step,0.5,one_step,0,near,-0.13157073973117722,-0.13157073990436674,0,0.0,0.0,1,1,-1,7723.598836469375
1.0001,one_step,0.5,one_step,0,independent,-0.005462657694507116,0.013031140051117121,0,0.0,0.0,1,1,-1,2294.6488425577454
1.0001,uncoupled,0.0,unstable,1,near,0.05977902185902329,0.0597790216858338,0,11665.500417301317,1.9999999999631901,0,-1,417,14575.131224059458
1.0001,uncoupled,0.0,unstable,1,independent,-0.02834471567801568,-0.00976495233225451,0,14489.755919577314,1.9999999995045028,0,-1,1,2783.3791893920998
1.0001,q-1.0,0.03328193260141849,stable,1,near,0.05977902185902329,0.0597790216858338,0,0.0,0.0,1,262,-1,3052.098140369308
1.0001,q-1.0,0.03328193260141849,stable,1,independent,-0.02834471567801568,-0.00976495233225451,0,0.0,0.0,1,516,1,3308.1657182852173
1.0001,q-0.25,0.021069070265121483,stable,1,near,0.05977902185902329,0.0597790216858338,0,0.0,0.0,1,2023,475,773.5441692591338
