beta,name,kappa,regime,initial,runs,synchronized,exact
1.0001,uncoupled,0.0,unstable,near,32,0,0
1.0001,q-1.0,0.03328193260141849,stable,near,32,32,32
1.0001,q-0.25,0.021069070265121483,stable,near,32,32,32
1.0001,q0.0,0.016927506786723823,neutral,near,32,32,32
1.0001,q0.25,0.012750129066687833,unstable,near,32,32,32
1.0001,q0.75,0.004286689406437763,unstable,near,32,32,32
1.0001,one_step,0.5,one_step,near,32,32,32
1.0001,uncoupled,0.0,unstable,independent,32,0,0
1.0001,q-1.0,0.03328193260141849,stable,independent,32,32,32
1.0001,q-0.25,0.021069070265121483,stable,independent,32,32,32
1.0001,q0.0,0.016927506786723823,neutral,independent,32,32,32
1.0001,q0.25,0.012750129066687833,unstable,independent,32,32,32
1.0001,q0.75,0.004286689406437763,unstable,independent,32,32,32
1.0001,one_step,0.5,one_step,independent,32,32,32
1.01,uncoupled,0.0,unstable,near,32,0,0
1.01,q-1.0,0.2399132639382234,stable,near,32,32,32
1.01,q-0.25,0.1676752938025044,stable,near,32,32,32
1.01,q0.0,0.13938473683038835,neutral,near,32,32,32
1.01,q0.25,0.10868582562259013,unstable,near,32,32,32
1.01,q0.75,0.039225401503332806,unstable,near,32,31,31
1.01,one_step,0.5,one_step,near,32,32,32
1.01,uncoupled,0.0,unstable,independent,32,0,0
1.01,q-1.0,0.2399132639382234,stable,independent,32,32,32
1.01,q-0.25,0.1676752938025044,stable,independent,32,32,32
1.01,q0.0,0.13938473683038835,neutral,independent,32,32,32
1.01,q0.25,0.10868582562259013,unstable,independent,32,32,32
1.01,q0.75,0.039225401503332806,unstable,independent,32,32,32
1.01,one_step,0.5,one_step,independent,32,32,32
1.1,uncoupled,0.0,unstable,near,32,0,0
1.1,q-1.0,0.4190126111476618,stable,near,32,32,32
1.1,q-0.25,0.33972173790715965,stable,near,32,32,32
1.1,q0.0,0.2987695489589881,neutral,near,32,32,32
1.1,q0.25,0.24735379646983366,unstable,near,32,32,32
1.1,q0.75,0.10175445300727688,unstable,near,32,0,0
1.1,one_step,0.5,one_step,near,32,32,32
1.1,uncoupled,0.0,unstable,independent,32,0,0
1.1,q-1.0,0.4190126111476618,stable,independent,32,32,32
1.1,q-0.25,0.33972173790715965,stable,independent,32,32,32
1.1,q0.0,0.2987695489589881,neutral,independent,32,32,32
1.1,q0.25,0.24735379646983366,unstable,independent,32,32,32
1.1,q0.75,0.10175445300727688,unstable,independent,32,0,0
1.1,one_step,0.5,one_step,independent,32,32,32
2.0,uncoupled,0.0,unstable,near,32,0,0
2.0,q-1.0,0.49148667214114505,stable,near,32,32,32
2.0,q-0.25,0.46078738088413185,stable,near,32,32,32
2.0,q0.0,0.4347568859616015,neutral,near,32,32,32
2.0,q0.25,0.391446579560279,unstable,near,32,0,0
2.0,q0.75,0.19948844645283387,unstable,near,32,0,0
2.0,one_step,0.5,one_step,near,32,32,32
2.0,uncoupled,0.0,unstable,independent,32,0,0
2.0,q-1.0,0.49148667214114505,stable,independent,32,32,32
2.0,q-0.25,0.46078738088413185,stable,independent,32,32,32
2.0,q0.0,0.4347568859616015,neutral,independent,32,32,32
2.0,q0.25,0.391446579560279,unstable,independent,32,1,1
2.0,q0.75,0.19948844645283387,unstable,independent,32,0,0
2.0,one_step,0.5,one_step,independent,32,32,32
