beta,name,initial,t,error
1.0001,uncoupled,near,1,1.0176179875758867e-08
1.0001,uncoupled,near,2,1.0357602092071814e-08
1.0001,uncoupled,near,4,1.0737070430653455e-08
1.0001,uncoupled,near,8,1.1569509356226482e-08
1.0001,uncoupled,near,16,1.3598068204050191e-08
1.0001,uncoupled,near,32,2.0028500485794323e-08
1.0001,uncoupled,near,64,7.600630898250033e-08
1.0001,uncoupled,near,128,28.537530743092482
1.0001,uncoupled,near,256,11.966350666193213
1.0001,uncoupled,near,512,14.073907512580575
1.0001,uncoupled,near,1024,41.45826562494325
1.0001,uncoupled,near,2048,14.638770854990408
1.0001,uncoupled,near,4096,3.266393414302827
1.0001,uncoupled,near,8192,5.419168216596198
1.0001,uncoupled,near,16384,0.48742052658442875
1.0001,uncoupled,near,32768,1.3624606508838168
1.0001,uncoupled,near,65536,0.6893732178764381
1.0001,uncoupled,near,131072,6.0453608367154
1.0001,uncoupled,near,200000,1.1027505674170097
1.0001,uncoupled,independent,1,1.0679885335726238
1.0001,uncoupled,independent,2,1.0681410972167835
1.0001,uncoupled,independent,4,1.0684463335014132
1.0001,uncoupled,independent,8,1.0690572424954132
1.0001,uncoupled,independent,16,1.0702808097070349
1.0001,uncoupled,independent,32,1.072734969361695
1.0001,uncoupled,independent,64,1.0776716185507784
1.0001,uncoupled,independent,128,1.08766010501496
1.0001,uncoupled,independent,256,1.108113396429657
1.0001,uncoupled,independent,512,1.1510606018376306
1.0001,uncoupled,independent,1024,1.246410066155048
1.0001,uncoupled,independent,2048,1.49047900940778
1.0001,uncoupled,independent,4096,2.6428423193707573
1.0001,uncoupled,independent,8192,1.4476437557316146
1.0001,uncoupled,independent,16384,7.567910863320642
1.0001,uncoupled,independent,32768,5.887731992083211
1.0001,uncoupled,independent,65536,2.0670102377516675
1.0001,uncoupled,independent,131072,4.511985682748097
1.0001,uncoupled,independent,200000,25.945021524800513
1.0001,q-1.0,near,1,9.498813001481497e-09
1.0001,q-1.0,near,2,9.024610995797183e-09
1.0001,q-1.0,near,4,8.151250946665494e-09
1.0001,q-1.0,near,8,6.6679395470137244e-09
1.0001,q-1.0,near,16,4.516796821184138e-09
1.0001,q-1.0,near,32,2.2098079819190507e-09
1.0001,q-1.0,near,64,9.252622778295369e-10
1.0001,q-1.0,near,128,14.818854568128
1.0001,q-1.0,near,256,1.0280061193018828
1.0001,q-1.0,near,512,3.3441185214537436e-08
1.0001,q-1.0,near,1024,0.0
1.0001,q-1.0,near,2048,0.0
1.0001,q-1.0,near,4096,0.0
1.0001,q-1.0,near,8192,0.0
1.0001,q-1.0,near,16384,0.0
1.0001,q-1.0,near,32768,0.0
1.0001,q-1.0,near,65536,0.0
1.0001,q-1.0,near,131072,0.0
1.0001,q-1.0,near,200000,0.0
1.0001,q-1.0,independent,1,0.9968990887857201
1.0001,q-1.0,independent,2,0.9306711456631888
1.0001,q-1.0,independent,4,0.8111148937921624
1.0001,q-1.0,independent,8,0.6160883187837701
1.0001,q-1.0,independent,16,0.3554173327645761
1.0001,q-1.0,independent,32,0.11827605352676172
1.0001,q-1.0,independent,64,0.013097743289695166
1.0001,q-1.0,independent,128,0.00016061922595945408
1.0001,q-1.0,independent,256,2.4155508390273842e-08
1.0001,q-1.0,independent,512,5.508982620541293e-16
1.0001,q-1.0,independent,1024,0.0
1.0001,q-1.0,independent,2048,0.0
1.0001,q-1.0,independent,4096,0.0
1.0001,q-1.0,independent,8192,0.0
1.0001,q-1.0,independent,16384,0.0
1.0001,q-1.0,independent,32768,0.0
1.0001,q-1.0,independent,65536,0.0
1.0001,q-1.0,independent,131072,0.0
1.0001,q-1.0,independent,200000,0.0
1.0001,q-0.25,near,1,9.747375092094067e-09
1.0001,q-0.25,near,2,9.50309197852785e-09
1.0001,q-0.25,near,4,9.038520075117525e-09
1.0001,q-0.25,near,8,8.198572907049303e-09
1.0001,q-0.25,near,16,6.828474906455831e-09
1.0001,q-0.25,near,32,5.050567956760966e-09
1.0001,q-0.25,near,64,4.833189512353629e-09
1.0001,q-0.25,near,128,3.2238515313166656
1.0001,q-0.25,near,256,20.96505532015241
1.0001,q-0.25,near,512,0.12098847717420454
1.0001,q-0.25,near,1024,14.061625312116918
1.0001,q-0.25,near,2048,0.0
1.0001,q-0.25,near,4096,0.0
1.0001,q-0.25,near,8192,0.0
1.0001,q-0.25,near,16384,0.0
1.0001,q-0.25,near,32768,0.0
1.0001,q-0.25,near,65536,0.0
1.0001,q-0.25,near,131072,0.0
1.0001,q-0.25,near,200000,0.0
1.0001,q-0.25,independent,1,1.0229854826602525
1.0001,q-0.25,independent,2,0.9800164479445888
1.0001,q-0.25,independent,4,0.8994114926799948
1.0001,q-0.25,independent,8,0.7575296347098033
1.0001,q-0.25,independent,16,0.5373505139024705
1.0001,q-0.25,independent,32,0.2703505473289305
1.0001,q-0.25,independent,64,0.06842575430550421
1.0001,q-0.25,independent,128,0.004383196435339257
1.0001,q-0.25,independent,256,1.7986595748028492e-05
1.0001,q-0.25,independent,512,3.0292387972384946e-10
1.0001,q-0.25,independent,1024,0.0
1.0001,q-0.25,independent,2048,0.0
1.0001,q-0.25,independent,4096,0.0
1.0001,q-0.25,independent,8192,0.0
1.0001,q-0.25,independent,16384,0.0
1.0001,q-0.25,independent,32768,0.0
1.0001,q-0.25,independent,65536,0.0
1.0001,q-0.25,independent,131072,0.0
1.0001,q-0.25,independent,200000,0.0
1.0001,q0.0,near,1,9.831666132067883e-09
1.0001,q0.0,near,2,9.668159527890216e-09
1.0001,q0.0,near,4,9.355242904590968e-09
1.0001,q0.0,near,8,8.783217393697102e-09
1.0001,q0.0,near,16,7.837076272062354e-09
1.0001,q0.0,near,32,6.652766005936987e-09
1.0001,q0.0,near,64,8.386041782686557e-09
1.0001,q0.0,near,128,2.3412075849640055
1.0001,q0.0,near,256,2.350619411370405
1.0001,q0.0,near,512,0.008815555368998943
1.0001,q0.0,near,1024,0.002047784985698586
1.0001,q0.0,near,2048,1.918102201362802e-06
1.0001,q0.0,near,4096,0.0
1.0001,q0.0,near,8192,0.0
1.0001,q0.0,near,16384,0.0
1.0001,q0.0,near,32768,0.0
1.0001,q0.0,near,65536,0.0
1.0001,q0.0,near,131072,0.0
1.0001,q0.0,near,200000,0.0
1.0001,q0.0,independent,1,1.031831767272236
1.0001,q0.0,independent,2,0.9970396045612229
1.0001,q0.0,independent,4,0.9309303696956467
1.0001,q0.0,independent,8,0.8115571640596483
1.0001,q0.0,independent,16,0.6167376742782449
1.0001,q0.0,independent,32,0.35613438787313567
1.0001,q0.0,independent,64,0.11873460833222148
1.0001,q0.0,independent,128,0.013196952584956666
1.0001,q0.0,independent,256,0.00016303407814404695
1.0001,q0.0,independent,512,2.4886075209227818e-08
1.0001,q0.0,independent,1024,6.510615824276073e-16
1.0001,q0.0,independent,2048,0.0
1.0001,q0.0,independent,4096,0.0
1.0001,q0.0,independent,8192,0.0
1.0001,q0.0,independent,16384,0.0
