case,window,method,budget,terms,actual_bytes,under_budget,qr_prequant_mse,decoded_mse,codec_roundtrip
b1.01_float64,0,fixed_tm_a0,48,4,48,True,0.08782178862178586,0.08782178862178591,True
b1.01_float64,0,fixed_tm_a0,80,8,80,True,0.0672951846857536,0.06729518468575366,True
b1.01_float64,0,fixed_tm_a0,144,16,144,True,0.054192475076628555,0.0541924750766286,True
b1.01_float64,0,fourier_low,48,4,48,True,0.06789623603196412,0.06789623603196418,True
b1.01_float64,0,fourier_low,80,8,80,True,0.04967363077153906,0.04967363077153912,True
b1.01_float64,0,fourier_low,144,16,144,True,0.031580918954605554,0.03158091895460563,True
b1.01_float64,0,adaptive_tm,48,3,43,True,0.06728741146871843,0.06728741146871867,True
b1.01_float64,0,adaptive_tm,80,7,79,True,0.05060550153220844,0.05060550153220869,True
b1.01_float64,0,adaptive_tm,144,14,142,True,0.04543797145585925,0.04543797145585952,True
b1.01_float64,0,fixed_tm_a0,diagnostic_m,2,,,0.10986168582998486,0.10986168582998486,
b1.01_float64,0,adaptive_tm,diagnostic_m,2,,,0.09087022754497484,0.09087022754497484,
b1.01_float64,0,fixed_tm_a0,diagnostic_m,4,,,0.08782178862178586,0.08782178862178586,
b1.01_float64,0,adaptive_tm,diagnostic_m,4,,,0.061044372569968496,0.061044372569968496,
b1.01_float64,0,fixed_tm_a0,diagnostic_m,8,,,0.0672951846857536,0.0672951846857536,
b1.01_float64,0,adaptive_tm,diagnostic_m,8,,,0.049024089419539674,0.049024089419539674,
b1.01_float64,1,fixed_tm_a0,48,4,48,True,0.14251736171495355,0.1425173617149537,True
b1.01_float64,1,fixed_tm_a0,80,8,80,True,0.1416034081712682,0.14160340817126837,True
b1.01_float64,1,fixed_tm_a0,144,16,144,True,0.1405885032092088,0.14058850320920896,True
b1.01_float64,1,fourier_low,48,4,48,True,0.11041304156636685,0.11041304156636701,True
b1.01_float64,1,fourier_low,80,8,80,True,0.0776154699285301,0.07761546992853027,True
b1.01_float64,1,fourier_low,144,16,144,True,0.049990012375161985,0.04999001237516219,True
b1.01_float64,1,adaptive_tm,48,3,43,True,0.1404973525161686,0.14049735251616874,True
b1.01_float64,1,adaptive_tm,80,7,79,True,0.13901329885252106,0.1390132988525212,True
b1.01_float64,1,adaptive_tm,144,14,142,True,0.13610147922458649,0.13610147922458665,True
b1.01_float64,1,fixed_tm_a0,diagnostic_m,2,,,0.14600290749777675,0.14600290749777675,
b1.01_float64,1,adaptive_tm,diagnostic_m,2,,,0.1423090683194501,0.1423090683194501,
b1.01_float64,1,fixed_tm_a0,diagnostic_m,4,,,0.14251736171495355,0.14251736171495355,
b1.01_float64,1,adaptive_tm,diagnostic_m,4,,,0.1402044435696278,0.1402044435696278,
b1.01_float64,1,fixed_tm_a0,diagnostic_m,8,,,0.1416034081712682,0.1416034081712682,
b1.01_float64,1,adaptive_tm,diagnostic_m,8,,,0.1383760857267144,0.1383760857267144,
b1.01_float64,2,fixed_tm_a0,48,4,48,True,6.0773028286398115e-05,6.077302828655093e-05,True
b1.01_float64,2,fixed_tm_a0,80,8,80,True,5.583900582979522e-05,5.5839005829948095e-05,True
b1.01_float64,2,fixed_tm_a0,144,16,144,True,5.354960510551676e-05,5.354960510566959e-05,True
b1.01_float64,2,fourier_low,48,4,48,True,3.361657673229507e-05,3.361657673244778e-05,True
b1.01_float64,2,fourier_low,80,8,80,True,1.6367265231886673e-05,1.636726523203939e-05,True
b1.01_float64,2,fourier_low,144,16,144,True,8.051274750048084e-06,8.05127475020083e-06,True
b1.01_float64,2,adaptive_tm,48,3,43,True,5.4259608939651914e-05,5.4259608939804556e-05,True
b1.01_float64,2,adaptive_tm,80,7,79,True,5.263584703000505e-05,5.2635847030157636e-05,True
b1.01_float64,2,adaptive_tm,144,14,142,True,5.220158845609463e-05,5.2201588456246666e-05,True
b1.01_float64,2,fixed_tm_a0,diagnostic_m,2,,,7.249218627837622e-05,7.249218627837622e-05,
b1.01_float64,2,adaptive_tm,diagnostic_m,2,,,5.681334543414661e-05,5.681334543414661e-05,
b1.01_float64,2,fixed_tm_a0,diagnostic_m,4,,,6.0773028286398115e-05,6.0773028286398115e-05,
b1.01_float64,2,adaptive_tm,diagnostic_m,4,,,5.2918138555513705e-05,5.2918138555513705e-05,
b1.01_float64,2,fixed_tm_a0,diagnostic_m,8,,,5.583900582979522e-05,5.583900582979522e-05,
b1.01_float64,2,adaptive_tm,diagnostic_m,8,,,5.254268329881222e-05,5.254268329881222e-05,
b1.01_float64,3,fixed_tm_a0,48,4,48,True,0.001045756677489432,0.0010457566774896047,True
b1.01_float64,3,fixed_tm_a0,80,8,80,True,0.000954740975380485,0.0009547409753806575,True
b1.01_float64,3,fixed_tm_a0,144,16,144,True,0.000912560289113141,0.0009125602891133135,True
b1.01_float64,3,fourier_low,48,4,48,True,0.0006071530235544121,0.0006071530235545849,True
b1.01_float64,3,fourier_low,80,8,80,True,0.00029915158788785374,0.00029915158788802705,True
b1.01_float64,3,fourier_low,144,16,144,True,0.0001476241546811524,0.0001476241546813259,True
b1.01_float64,3,adaptive_tm,48,3,43,True,0.000923187538497804,0.0009231875384979758,True
b1.01_float64,3,adaptive_tm,80,7,79,True,0.0008958687918088339,0.0008958687918090059,True
b1.01_float64,3,adaptive_tm,144,14,142,True,0.0008877716718004999,0.0008877716718006731,True
b1.01_float64,3,fixed_tm_a0,diagnostic_m,2,,,0.0012604770429913452,0.0012604770429913452,
b1.01_float64,3,adaptive_tm,diagnostic_m,2,,,0.0009750377926098742,0.0009750377926098742,
b1.01_float64,3,fixed_tm_a0,diagnostic_m,4,,,0.001045756677489432,0.001045756677489432,
b1.01_float64,3,adaptive_tm,diagnostic_m,4,,,0.0009006120741498894,0.0009006120741498894,
b1.01_float64,3,fixed_tm_a0,diagnostic_m,8,,,0.000954740975380485,0.000954740975380485,
b1.01_float64,3,adaptive_tm,diagnostic_m,8,,,0.0008939868219516732,0.0008939868219516732,
b1.01_float64,4,fixed_tm_a0,48,4,48,True,0.22605781747525028,0.22605781747525053,True
b1.01_float64,4,fixed_tm_a0,80,8,80,True,0.1903258317104548,0.19032583171045503,True
b1.01_float64,4,fixed_tm_a0,144,16,144,True,0.15849037200305097,0.15849037200305124,True
b1.01_float64,4,fourier_low,48,4,48,True,0.22313575140643127,0.2231357514064315,True
b1.01_float64,4,fourier_low,80,8,80,True,0.16267634375338905,0.16267634375338935,True
b1.01_float64,4,fourier_low,144,16,144,True,0.09408167798897975,0.09408167798898007,True
b1.01_float64,4,adaptive_tm,48,3,43,True,0.22279378578624381,0.22279378578624426,True
b1.01_float64,4,adaptive_tm,80,7,79,True,0.16416233419118637,0.16416233419118675,True
b1.01_float64,4,adaptive_tm,144,14,142,True,0.1464708033754991,0.1464708033754995,True
b1.01_float64,4,fixed_tm_a0,diagnostic_m,2,,,0.3397716322113902,0.3397716322113902,
b1.01_float64,4,adaptive_tm,diagnostic_m,2,,,0.26638645170223346,0.26638645170223346,
b1.01_float64,4,fixed_tm_a0,diagnostic_m,4,,,0.22605781747525028,0.22605781747525028,
b1.01_float64,4,adaptive_tm,diagnostic_m,4,,,0.18839803907560565,0.18839803907560565,
b1.01_float64,4,fixed_tm_a0,diagnostic_m,8,,,0.1903258317104548,0.1903258317104548,
b1.01_float64,4,adaptive_tm,diagnostic_m,8,,,0.16065699294209362,0.16065699294209362,
b1.01_float64,5,fixed_tm_a0,48,4,48,True,0.45729576474038136,0.45729576474038147,True
b1.01_float64,5,fixed_tm_a0,80,8,80,True,0.4295028662383889,0.4295028662383891,True
b1.01_float64,5,fixed_tm_a0,144,16,144,True,0.38075195361966296,0.3807519536196632,True
b1.01_float64,5,fourier_low,48,4,48,True,0.4808285753034961,0.48082857530349626,True
b1.01_float64,5,fourier_low,80,8,80,True,0.31183116410845974,0.31183116410846,True
b1.01_float64,5,fourier_low,144,16,144,True,0.21441313323708588,0.21441313323708627,True
b1.01_float64,5,adaptive_tm,48,3,43,True,0.4614275931863506,0.4614275931863506,True
b1.01_float64,5,adaptive_tm,80,7,79,True,0.3951791790225401,0.3951791790225403,True
b1.01_float64,5,adaptive_tm,144,14,142,True,0.3479784523927119,0.3479784523927121,True
b1.01_float64,5,fixed_tm_a0,diagnostic_m,2,,,0.5219518751907681,0.5219518751907681,
b1.01_float64,5,adaptive_tm,diagnostic_m,2,,,0.48477852612237926,0.48477852612237926,
b1.01_float64,5,fixed_tm_a0,diagnostic_m,4,,,0.45729576474038136,0.45729576474038136,
b1.01_float64,5,adaptive_tm,diagnostic_m,4,,,0.4443064367410735,0.4443064367410735,
b1.01_float64,5,fixed_tm_a0,diagnostic_m,8,,,0.4295028662383889,0.4295028662383889,
b1.01_float64,5,adaptive_tm,diagnostic_m,8,,,0.3755263551092426,0.3755263551092426,
b1.01_float64,6,fixed_tm_a0,48,4,48,True,0.0009316228655452339,0.0009316228655455598,True
b1.01_float64,6,fixed_tm_a0,80,8,80,True,0.0008510777367713434,0.0008510777367716695,True
b1.01_float64,6,fixed_tm_a0,144,16,144,True,0.0008137513731344913,0.0008137513731348174,True
b1.01_float64,6,fourier_low,48,4,48,True,0.0005383917280312579,0.0005383917280315842,True
b1.01_float64,6,fourier_low,80,8,80,True,0.000264933121692154,0.0002649331216924803,True
b1.01_float64,6,fourier_low,144,16,144,True,0.00013069113150498648,0.0001306911315053127,True
b1.01_float64,6,adaptive_tm,48,3,43,True,0.0008234145281759364,0.0008234145281762628,True
b1.01_float64,6,adaptive_tm,80,7,79,True,0.0007989682526618137,0.0007989682526621401,True
b1.01_float64,6,adaptive_tm,144,14,142,True,0.0007918123925371933,0.0007918123925375209,True
b1.01_float64,6,fixed_tm_a0,diagnostic_m,2,,,0.0011218705203757335,0.0011218705203757335,
b1.01_float64,6,adaptive_tm,diagnostic_m,2,,,0.0008688293459928053,0.0008688293459928053,
b1.01_float64,6,fixed_tm_a0,diagnostic_m,4,,,0.0009316228655452339,0.0009316228655452339,
b1.01_float64,6,adaptive_tm,diagnostic_m,4,,,0.0008032043048077457,0.0008032043048077457,
b1.01_float64,6,fixed_tm_a0,diagnostic_m,8,,,0.0008510777367713434,0.0008510777367713434,
b1.01_float64,6,adaptive_tm,diagnostic_m,8,,,0.000797316876198353,0.000797316876198353,
b1.01_float64,7,fixed_tm_a0,48,4,48,True,0.2671315294845615,0.26713152948456165,True
b1.01_float64,7,fixed_tm_a0,80,8,80,True,0.18509107759323484,0.18509107759323506,True
