case,window,actual_bytes,decoded_mse
b1.01_float64,0,1040,3.633298905300125e-16
b1.01_float64,1,1040,3.276441915588376e-16
b1.01_float64,2,1040,3.1376237076623313e-16
b1.01_float64,3,1040,3.2590014538056263e-16
b1.01_float64,4,1040,4.3669085045909136e-16
b1.01_float64,5,1040,3.9555142508425816e-16
b1.01_float64,6,1040,3.1538850152662626e-16
b1.01_float64,7,1040,3.8906158024388923e-16
b1.01_float64,8,1040,3.5406933188243864e-16
b1.01_float64,9,1040,4.360664012345899e-16
b1.01_float64,10,1040,4.1929474392164394e-16
b1.01_float64,11,1040,3.9769693516014817e-16
b1.1_float64,0,1040,4.554021096657694e-16
b1.1_float64,1,1040,3.997356430075506e-16
b1.1_float64,2,1040,3.638441062098344e-16
b1.1_float64,3,1040,3.762847673793972e-16
b1.1_float64,4,1040,4.2792734356893327e-16
b1.1_float64,5,1040,4.2172790514234584e-16
b1.1_float64,6,1040,4.095892611469063e-16
b1.1_float64,7,1040,3.8409728244248146e-16
b1.1_float64,8,1040,4.027409118799549e-16
b1.1_float64,9,1040,4.230821673115737e-16
b1.1_float64,10,1040,3.8854915355291235e-16
b1.1_float64,11,1040,4.412799349933123e-16
b1.5_float64,0,1040,3.7894157552703207e-16
b1.5_float64,1,1040,4.2261080862782944e-16
b1.5_float64,2,1040,4.674308953184493e-16
b1.5_float64,3,1040,4.692176942886253e-16
b1.5_float64,4,1040,3.6590184662853476e-16
b1.5_float64,5,1040,4.1569093278040957e-16
b1.5_float64,6,1040,4.175792570044728e-16
b1.5_float64,7,1040,4.658376909923008e-16
b1.5_float64,8,1040,4.126539683707729e-16
b1.5_float64,9,1040,4.268665684025535e-16
b1.5_float64,10,1040,4.577214097306569e-16
b1.5_float64,11,1040,4.240338911737155e-16
b2.0_float64,0,1040,4.252770139455868e-16
b2.0_float64,1,1040,4.2631712435429444e-16
b2.0_float64,2,1040,4.352926638667507e-16
b2.0_float64,3,1040,4.832582887432353e-16
b2.0_float64,4,1040,4.321047822298728e-16
b2.0_float64,5,1040,4.311281432600896e-16
b2.0_float64,6,1040,3.6639253620092325e-16
b2.0_float64,7,1040,4.65458404137413e-16
b2.0_float64,8,1040,4.259273809113986e-16
b2.0_float64,9,1040,4.1131580805075947e-16
b2.0_float64,10,1040,4.204135474797464e-16
b2.0_float64,11,1040,4.2267778655136084e-16
