key,initial_key,suite,beta,gamma,kappa_c,delta,kappa,lambda_perp,eta,horizon,pairs,invalid,confirmed_rate,confirmed_ci_low,confirmed_ci_high,unconfirmed_rate,ever_entered_rate,releave_given_entered,median_candidate_time,median_tail_dwell
main_0_0,main_0,main,1.2,0.6585696604057538,0.3485318486896931,-0.01,0.3385318486896931,0.06393253723082126,1e-06,7500,1024,0,0.2548828125,0.22914112169919046,0.28245670723449007,0.7451171875,1.0,1.0,,93.5
main_0_0,main_0,main,1.2,0.6585696604057538,0.3485318486896931,-0.01,0.3385318486896931,0.06393253723082126,1e-06,15000,1024,0,0.2353515625,0.21038750961728048,0.2622938116617133,0.7646484375,1.0,1.0,,71.5
main_0_0,main_0,main,1.2,0.6585696604057538,0.3485318486896931,-0.01,0.3385318486896931,0.06393253723082126,1e-06,30000,1024,0,0.2431640625,0.21788018794453826,0.27036773639633027,0.7568359375,1.0,1.0,,94.0
main_0_1,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.0,0.3485318486896931,2.220446049250313e-16,1e-06,7500,1024,0,0.798828125,0.7731785562154585,0.8222440109012497,0.201171875,1.0,0.9384765625,4196.0,3305.0
main_0_1,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.0,0.3485318486896931,2.220446049250313e-16,1e-06,15000,1024,0,0.8564453125,0.8336357874540887,0.8765904772439457,0.1435546875,1.0,0.96484375,8848.0,6153.0
main_0_1,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.0,0.3485318486896931,2.220446049250313e-16,1e-06,30000,1024,0,0.9013671875,0.8815771788633225,0.9181570534404916,0.0986328125,1.0,0.978515625,15556.0,14445.0
main_0_2,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.001,0.3495318486896931,-0.006623937881581776,1e-06,7500,1024,0,0.8564453125,0.8336357874540887,0.8765904772439457,0.1435546875,1.0,0.9140625,3607.5,3893.5
main_0_2,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.001,0.3495318486896931,-0.006623937881581776,1e-06,15000,1024,0,0.8994140625,0.8794728394507054,0.91636974208764,0.1005859375,1.0,0.9296875,5898.0,9103.0
main_0_2,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.001,0.3495318486896931,-0.006623937881581776,1e-06,30000,1024,0,0.9521484375,0.9373003675889091,0.9636167846170907,0.0478515625,1.0,0.939453125,9596.0,20405.0
main_0_3,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.002,0.3505318486896931,-0.013292045053434176,1e-06,7500,1024,0,0.8828125,0.8616663349746726,0.9010972150571889,0.1171875,1.0,0.888671875,2448.5,5052.5
main_0_3,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.002,0.3505318486896931,-0.013292045053434176,1e-06,15000,1024,0,0.93359375,0.9166653321421131,0.9472811377919342,0.06640625,1.0,0.90234375,3520.5,11480.5
main_0_3,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.002,0.3505318486896931,-0.013292045053434176,1e-06,30000,1024,0,0.97265625,0.9607644868075458,0.9810149984358751,0.02734375,1.0,0.9111328125,4399.5,25601.5
main_0_4,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.005,0.3535318486896931,-0.033567372851736055,1e-06,7500,1024,0,0.966796875,0.9539609698563387,0.9761435630906761,0.033203125,1.0,0.80078125,892.5,6608.5
main_0_4,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.005,0.3535318486896931,-0.033567372851736055,1e-06,15000,1024,0,0.9892578125,0.980867229044482,0.9939912877054227,0.0107421875,1.0,0.8056640625,934.5,14066.5
main_0_4,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.005,0.3535318486896931,-0.033567372851736055,1e-06,30000,1024,0,1.0,0.9962625959599825,1.0000000000000002,0.0,1.0,0.8056640625,943.0,29058.0
main_0_5,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.01,0.3585318486896931,-0.06830076780529959,1e-06,7500,1024,0,0.998046875,0.9929067260218678,0.9994642191726459,0.001953125,1.0,0.654296875,311.0,7190.0
main_0_5,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.01,0.3585318486896931,-0.06830076780529959,1e-06,15000,1024,0,1.0,0.9962625959599825,1.0000000000000002,0.0,1.0,0.654296875,311.0,14690.0
main_0_5,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.01,0.3585318486896931,-0.06830076780529959,1e-06,30000,1024,0,1.0,0.9962625959599825,1.0000000000000002,0.0,1.0,0.654296875,311.0,29690.0
