trajectory,s0,common_mean,common_theory,k0_positive_fraction_w256,k0_positive_fraction_w4096,k1_positive_fraction_w256,k1_positive_fraction_w4096,k2_positive_fraction_w256,k2_positive_fraction_w4096,k3_positive_fraction_w256,k3_positive_fraction_w4096,k4_positive_fraction_w256,k4_positive_fraction_w4096,k5_positive_fraction_w256,k5_positive_fraction_w4096,k6_positive_fraction_w256,k6_positive_fraction_w4096,k7_positive_fraction_w256,k7_positive_fraction_w4096,k8_positive_fraction_w256,k8_positive_fraction_w4096
0,0.7035968712045263,1.1878937356306678,1.1942327179468006,1.0,1.0,0.7890625,1.0,0.65625,0.875,0.5625,0.625,0.5234375,0.25,0.4765625,0.25,0.296875,0.125,0.0,0.0,0.0,0.0
1,0.07337185425718785,1.2006754781904323,1.1942327179468006,1.0,1.0,0.8359375,1.0,0.6953125,0.875,0.5546875,0.875,0.53125,0.75,0.515625,0.5,0.3515625,0.0,0.0,0.0,0.0,0.0
2,0.5657977097850588,1.1892231812905452,1.1942327179468006,1.0,1.0,0.78125,1.0,0.625,1.0,0.4921875,0.5,0.46875,0.375,0.3984375,0.375,0.265625,0.0,0.015625,0.0,0.0,0.0
3,-0.5729229730797238,1.190260627344838,1.1942327179468006,1.0,1.0,0.7890625,1.0,0.6640625,1.0,0.5546875,0.625,0.515625,0.125,0.484375,0.125,0.2890625,0.125,0.0078125,0.0,0.0,0.0
4,0.029896316285865195,1.2022200037814994,1.1942327179468006,1.0,1.0,0.796875,1.0,0.640625,1.0,0.546875,0.875,0.5,0.625,0.484375,0.5,0.3515625,0.0,0.0,0.0,0.0,0.0
5,-1.4558537553532278,1.1856432583858565,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.6328125,1.0,0.4765625,0.5,0.46875,0.375,0.421875,0.25,0.2734375,0.0,0.0,0.0,0.0,0.0
6,-0.3236704486282876,1.2075343295610386,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.6953125,1.0,0.5234375,0.625,0.5078125,0.625,0.484375,0.625,0.3671875,0.125,0.0078125,0.0,0.0,0.0
7,-5.117887663419677,1.1944025002819372,1.1942327179468006,1.0,1.0,0.7734375,1.0,0.671875,0.875,0.59375,0.625,0.53125,0.625,0.5234375,0.625,0.3359375,0.0,0.0,0.0,0.0,0.0
8,-0.5150773563692076,1.1952244814422806,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.703125,1.0,0.546875,0.5,0.5,0.5,0.4453125,0.375,0.3359375,0.0,0.0,0.0,0.0,0.0
9,0.9221391015831971,1.2093778876919576,1.1942327179468006,1.0,1.0,0.828125,1.0,0.75,1.0,0.625,0.875,0.5625,0.75,0.53125,0.625,0.359375,0.0,0.0,0.0,0.0,0.0
10,-0.14139626928031335,1.1862351980961445,1.1942327179468006,1.0,1.0,0.7578125,1.0,0.6640625,0.875,0.5625,0.625,0.5,0.5,0.4765625,0.25,0.3203125,0.0,0.0,0.0,0.0,0.0
11,-0.32975597774714205,1.1874349131818867,1.1942327179468006,1.0,1.0,0.828125,1.0,0.6484375,1.0,0.46875,0.5,0.4296875,0.375,0.3828125,0.125,0.25,0.0,0.0,0.0,0.0,0.0
12,-0.03511772307615884,1.1999824977904892,1.1942327179468006,1.0,1.0,0.828125,1.0,0.6953125,1.0,0.53125,0.625,0.5,0.375,0.4765625,0.375,0.359375,0.0,0.0,0.0,0.0,0.0
13,-0.34201038614333734,1.1786192944144065,1.1942327179468006,1.0,1.0,0.7421875,1.0,0.609375,0.875,0.484375,0.5,0.421875,0.375,0.40625,0.25,0.296875,0.0,0.0,0.0,0.0,0.0
14,-0.832323639183481,1.196426046993902,1.1942327179468006,1.0,1.0,0.8515625,1.0,0.7109375,1.0,0.5078125,0.625,0.46875,0.5,0.40625,0.375,0.2890625,0.0,0.0,0.0,0.0,0.0
15,-0.47692794402745936,1.2030163643416654,1.1942327179468006,1.0,1.0,0.8203125,1.0,0.65625,1.0,0.4921875,0.625,0.453125,0.5,0.4140625,0.5,0.3046875,0.0,0.0078125,0.0,0.0,0.0
16,-39.01629394245592,1.1779584769310927,1.1942327179468006,1.0,1.0,0.796875,1.0,0.6484375,1.0,0.4765625,0.25,0.4140625,0.125,0.3828125,0.125,0.2421875,0.0,0.0078125,0.0,0.0,0.0
17,-0.13505257462796869,1.1931155657354389,1.1942327179468006,1.0,1.0,0.8203125,1.0,0.65625,1.0,0.53125,0.5,0.5,0.5,0.4765625,0.5,0.2890625,0.0,0.0,0.0,0.0,0.0
18,-1.3813532121030354e-05,1.1772247198181087,1.1942327179468006,1.0,1.0,0.7421875,1.0,0.5859375,0.875,0.484375,0.25,0.46875,0.25,0.4453125,0.25,0.3046875,0.125,0.0078125,0.0,0.0,0.0
